"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
"
"NIFTY 500","23,984.40","24,032.10","23,918.80","23,906.30","23,975.45","-","69.15","0.29","2,95,56,97,821","72,543.47","24,032.10","19,519.85","1.09","8.96"
"JPPOWER","21.22","22.79","21.06","20.27","21.57","-","1.30","6.41","71,41,54,580","1,570.43","27.70","12.36","21.03","29.89"
"RADICO","3,262.00","3,591.90","3,261.70","3,229.50","3,400.00","-","170.50","5.28","59,02,795","2,033.05","3,591.90","1,845.50","3.48","49.28"
"M&MFIN","331.95","348.95","331.45","329.85","346.15","-","16.30","4.94","1,19,47,280","410.83","348.95","231.02","16.76","-82.82"
"NATCOPHARM","831.70","887.65","828.30","830.15","869.00","-","40.35","4.87","77,51,429","675.79","1,505.00","726.80","4.28","-36.30"
"NETWEB","3,425.10","3,499.00","3,366.00","3,288.00","3,436.00","-","148.00","4.50","38,14,814","1,311.70","4,479.00","1,251.55","-11.75","20.96"
"IEX","137.50","143.73","137.30","137.11","142.86","-","5.75","4.19","2,49,15,170","352.35","215.40","130.26","3.50","-11.91"
"TBOTEK","1,644.00","1,710.00","1,610.00","1,610.20","1,675.00","-","64.80","4.02","9,60,256","161.29","1,845.55","996.00","5.73","10.08"
"POWERINDIA","21,700.00","22,450.00","21,690.00","21,624.00","22,425.00","-","801.00","3.70","1,86,683","415.78","22,450.00","8,801.00","28.33","90.95"
"ERIS","1,611.00","1,680.00","1,596.30","1,610.90","1,670.30","-","59.40","3.69","1,41,566","23.37","1,910.00","1,097.20","4.18","22.01"
"WELSPUNLIV","136.50","141.50","136.06","136.62","141.40","-","4.78","3.50","23,71,305","32.96","180.70","104.80","15.13","-5.57"
"ECLERX","4,469.40","4,620.00","4,426.20","4,425.40","4,578.10","-","152.70","3.45","84,743","38.58","4,867.90","2,168.00","6.52","42.55"
"EICHERMOT","6,906.00","7,138.00","6,886.50","6,896.50","7,125.00","-","228.50","3.31","8,57,232","606.15","7,138.00","4,646.00","1.60","43.50"
"GRSE","2,835.00","2,963.70","2,829.00","2,829.40","2,919.50","-","90.10","3.18","31,07,722","909.84","3,538.40","1,184.90","10.77","107.28"
"TARIL","304.00","318.40","300.80","303.30","312.90","-","9.60","3.17","31,38,003","98.18","648.90","282.20","-35.04","-66.43"
"IGIL","326.20","339.50","322.70","326.20","336.00","-","9.80","3.00","43,44,046","143.54","642.30","282.00","0.48","-"
"AIAENG","3,750.00","3,851.00","3,697.40","3,733.40","3,845.00","-","111.60","2.99","92,106","34.90","3,851.00","3,001.10","15.98","11.38"
"CUMMINSIND","4,290.00","4,394.70","4,278.00","4,261.30","4,385.00","-","123.70","2.90","9,41,176","409.92","4,495.00","2,580.00","9.22","32.55"
"ZENTEC","1,439.00","1,466.80","1,416.30","1,401.70","1,442.00","-","40.30","2.88","14,20,724","205.64","2,627.00","945.35","5.29","-18.27"
"GLAND","1,771.00","1,830.00","1,768.10","1,769.80","1,820.20","-","50.40","2.85","2,66,354","47.87","2,131.00","1,277.80","-5.58","1.92"
"MAHSCOOTER","14,784.00","15,166.00","14,711.00","14,710.00","15,100.00","-","390.00","2.65","2,795","4.20","18,538.00","8,822.00","-12.44","51.16"
"AFCONS","390.60","403.70","390.60","388.95","399.00","-","10.05","2.58","9,22,063","36.88","570.00","386.20","-10.81","-16.98"
