,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,1681575028.585854,1415787646.498899,727725411.330252,427382350.0
Tax Rate For Calcs,0.24615,0.2026,0.226276,0.0995
Normalized EBITDA,16126800000.0,10007500000.0,9665000000.0,7264300000.0
Total Unusual Items,6831500000.0,6988100000.0,3216100000.0,4295300000.0
Total Unusual Items Excluding Goodwill,6831500000.0,6988100000.0,3216100000.0,4295300000.0
Net Income From Continuing Operation Net Minority Interest,10153000000.0,8042100000.0,6579300000.0,5777400000.0
Reconciled Depreciation,705300000.0,566400000.0,463100000.0,417400000.0
Reconciled Cost Of Revenue,8472700000.0,8870200000.0,5468300000.0,7319200000.0
EBITDA,22958300000.0,16995600000.0,12881100000.0,11559600000.0
EBIT,22253000000.0,16429200000.0,12418000000.0,11142200000.0
Net Interest Income,-6202400000.0,-4365300000.0,-3139300000.0,-2570400000.0
Interest Expense,8784800000.0,6343800000.0,3915100000.0,3629200000.0
Interest Income,2667800000.0,2069600000.0,852700000.0,1128100000.0
Normalized Income,5003075028.585854,2469787646.498899,4090925411.330252,1909482350.0
Net Income From Continuing And Discontinued Operation,10153000000.0,8042100000.0,6579300000.0,5777400000.0
Total Expenses,13518800000.0,12693300000.0,8125000000.0,9688100000.0
Rent Expense Supplemental,82100000.0,73600000.0,65200000.0,35100000.0
Diluted Average Shares,389295685.0,367832675.0,363074671.0,360544712.0
Basic Average Shares,374033088.0,357668671.0,355447523.0,353304995.0
Diluted EPS,26.08,21.86,18.12,16.02
Basic EPS,27.14,22.48,18.51,16.35
Diluted NI Availto Com Stockholders,10153000000.0,8042100000.0,6579300000.0,5777400000.0
Net Income Common Stockholders,10153000000.0,8042100000.0,6579300000.0,5777400000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,10153000000.0,8042100000.0,6579300000.0,5777400000.0
Minority Interests,0.0,0.0,400000.0,0.0
Net Income Including Noncontrolling Interests,10153000000.0,8042100000.0,6578900000.0,5777400000.0
Net Income Continuous Operations,10153000000.0,8042100000.0,6578900000.0,5777400000.0
Tax Provision,3315200000.0,2043300000.0,1924000000.0,1735600000.0
Pretax Income,13468200000.0,10085400000.0,8502900000.0,7513000000.0
Other Non Operating Income Expenses,3700000.0,36900000.0,48800000.0,57900000.0
Special Income Charges,-985200000.0,-32400000.0,4600000.0,123600000.0
Other Special Charges,874800000.0,-1300000.0,-100000.0,-1000000.0
Write Off,110400000.0,33700000.0,-4500000.0,-122600000.0
Net Non Operating Interest Income Expense,-6202400000.0,-4365300000.0,-3139300000.0,-2570400000.0
Total Other Finance Cost,85400000.0,91100000.0,76900000.0,69300000.0
Interest Expense Non Operating,8784800000.0,6343800000.0,3915100000.0,3629200000.0
Interest Income Non Operating,2667800000.0,2069600000.0,852700000.0,1128100000.0
Operating Income,12834300000.0,7367900000.0,8346500000.0,5258300000.0
Operating Expense,5046100000.0,3823100000.0,2656700000.0,2368900000.0
Other Operating Expenses,1508000000.0,1101600000.0,773300000.0,553500000.0
Depreciation And Amortization In Income Statement,705300000.0,566400000.0,463100000.0,417400000.0
Amortization,253000000.0,201200000.0,,
Depreciation Income Statement,452300000.0,365200000.0,463100000.0,417400000.0
Selling General And Administration,1329600000.0,1227800000.0,825700000.0,808200000.0
Selling And Marketing Expense,603600000.0,446400000.0,368300000.0,292400000.0
General And Administrative Expense,726000000.0,781400000.0,457400000.0,515800000.0
Rent And Landing Fees,82100000.0,73600000.0,65200000.0,35100000.0
Gross Profit,17880400000.0,11191000000.0,11003200000.0,7627200000.0
Cost Of Revenue,8472700000.0,8870200000.0,5468300000.0,7319200000.0
Total Revenue,26353100000.0,20061200000.0,16471500000.0,14946400000.0
Operating Revenue,26353100000.0,20061200000.0,16471500000.0,14946400000.0
