,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-7798813.5,-16450910.4,19172420.0,14009060.0,
Tax Rate For Calcs,0.3845,0.2532,0.2575,0.26,
Normalized EBITDA,8415242000.0,8435754000.0,6647011000.0,4207501000.0,
Total Unusual Items,-20283000.0,-64972000.0,74456000.0,53881000.0,
Total Unusual Items Excluding Goodwill,-20283000.0,-64972000.0,74456000.0,53881000.0,
Net Income From Continuing Operation Net Minority Interest,4760674000.0,5834168000.0,4510192000.0,2719711000.0,
Reconciled Depreciation,552870000.0,529356000.0,576791000.0,551172000.0,
Reconciled Cost Of Revenue,27455107000.0,25962476000.0,25287625000.0,21476365000.0,
EBITDA,8394959000.0,8370782000.0,6721467000.0,4261382000.0,
EBIT,7842089000.0,7841426000.0,6144676000.0,3710210000.0,
Net Interest Income,506909000.0,634832000.0,376683000.0,264484000.0,
Interest Expense,108023000.0,29284000.0,70295000.0,35029000.0,
Interest Income,618660000.0,666997000.0,449386000.0,301688000.0,
Normalized Income,4773158186.5,5882689089.6,4454908420.0,2679839060.0,
Net Income From Continuing And Discontinued Operation,4760674000.0,5834168000.0,4510192000.0,2719711000.0,
Total Expenses,37165987000.0,34654586000.0,33813633000.0,29871697000.0,
Rent Expense Supplemental,65648000.0,92237000.0,33603000.0,34871000.0,
Diluted Average Shares,11265070.0,11265070.0,11265070.0,11265070.0,
Basic Average Shares,11265070.0,11265070.0,11265070.0,11265070.0,
Diluted EPS,422.6,517.9,400.37,241.43,
Basic EPS,422.6,517.9,400.37,241.43,
Diluted NI Availto Com Stockholders,4760674000.0,5834168000.0,4510192000.0,2719711000.0,
Net Income Common Stockholders,4760674000.0,5834168000.0,4510192000.0,2719711000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4760674000.0,5834168000.0,4510192000.0,2719711000.0,
Net Income Including Noncontrolling Interests,4760674000.0,5834168000.0,4510192000.0,2719711000.0,
Net Income Continuous Operations,4760674000.0,5834168000.0,4510192000.0,2719711000.0,
Tax Provision,2973392000.0,1977974000.0,1564189000.0,955470000.0,
Pretax Income,7734066000.0,7812142000.0,6074381000.0,3675181000.0,
Other Non Operating Income Expenses,83992000.0,108684000.0,69109000.0,15582000.0,
Special Income Charges,-20283000.0,-64972000.0,74456000.0,53881000.0,
Other Special Charges,809000.0,-7228000.0,-74456000.0,-15963000.0,
Write Off,0.0,72200000.0,0.0,-37918000.0,
Impairment Of Capital Assets,19474000.0,0.0,,,
Net Non Operating Interest Income Expense,506909000.0,634832000.0,376683000.0,264484000.0,
Total Other Finance Cost,3728000.0,2881000.0,2408000.0,2175000.0,
Interest Expense Non Operating,108023000.0,29284000.0,70295000.0,35029000.0,
Interest Income Non Operating,618660000.0,666997000.0,449386000.0,301688000.0,
Operating Income,7262615000.0,7214155000.0,5759201000.0,3467692000.0,
Operating Expense,9710880000.0,8692110000.0,8526008000.0,8395332000.0,
Other Operating Expenses,3466292000.0,3265339000.0,3216542000.0,3169027000.0,
Depreciation And Amortization In Income Statement,552870000.0,529356000.0,576791000.0,551172000.0,
Amortization,,,,,1636000.0
Depreciation Income Statement,552870000.0,529356000.0,576791000.0,551172000.0,
Selling General And Administration,1262952000.0,902993000.0,796149000.0,769009000.0,
Selling And Marketing Expense,989084000.0,653627000.0,543558000.0,532045000.0,
General And Administrative Expense,273868000.0,249366000.0,252591000.0,236964000.0,
Rent And Landing Fees,65648000.0,92237000.0,33603000.0,34871000.0,
Gross Profit,16973495000.0,15906265000.0,14285209000.0,11863024000.0,
Cost Of Revenue,27455107000.0,25962476000.0,25287625000.0,21476365000.0,
Total Revenue,44428602000.0,41868741000.0,39572834000.0,33339389000.0,
Operating Revenue,44428602000.0,41868741000.0,39572834000.0,33339389000.0,
