,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,294015721.153027,222510811.909253,191240197.177431,145839068.668923
Tax Rate For Calcs,0.222824,0.218791,0.217096,0.21593
Normalized EBITDA,22246300000.0,18503700000.0,14077800000.0,12512200000.0
Total Unusual Items,1319500000.0,1017000000.0,880900000.0,675400000.0
Total Unusual Items Excluding Goodwill,1319500000.0,1017000000.0,880900000.0,675400000.0
Net Income From Continuing Operation Net Minority Interest,9118300000.0,7496400000.0,5447600000.0,4448500000.0
Reconciled Depreciation,252400000.0,209800000.0,164900000.0,132500000.0
Reconciled Cost Of Revenue,4174100000.0,3537100000.0,2878700000.0,2182900000.0
EBITDA,23565800000.0,19520700000.0,14958700000.0,13187600000.0
EBIT,23313400000.0,19310900000.0,14793800000.0,13055100000.0
Net Interest Income,-10906000000.0,-8973700000.0,-7991900000.0,-7612000000.0
Interest Expense,11580800000.0,9715000000.0,7835600000.0,7381500000.0
Interest Income,831700000.0,893200000.0,,
Normalized Income,8092815721.153027,6701910811.909253,4757940197.177431,3918939068.668923
Net Income From Continuing And Discontinued Operation,9118300000.0,7496400000.0,5447600000.0,4448500000.0
Total Expenses,7045400000.0,5991400000.0,4743000000.0,3511200000.0
Rent Expense Supplemental,107300000.0,88500000.0,66100000.0,59000000.0
Diluted Average Shares,437365202.0,426518505.0,426518505.0,426518505.0
Basic Average Shares,425393412.0,426518505.0,426518505.0,426518505.0
Diluted EPS,20.85,17.575791,12.772248,10.429794
Basic EPS,21.43,17.575791,12.772248,10.429794
Diluted NI Availto Com Stockholders,9118300000.0,7496400000.0,5447600000.0,4448500000.0
Net Income Common Stockholders,9118300000.0,7496400000.0,5447600000.0,4448500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,9118300000.0,7496400000.0,5447600000.0,4448500000.0
Net Income Including Noncontrolling Interests,9118300000.0,7496400000.0,5447600000.0,4448500000.0
Net Income Continuous Operations,9118300000.0,7496400000.0,5447600000.0,4448500000.0
Tax Provision,2614300000.0,2099500000.0,1510600000.0,1225100000.0
Pretax Income,11732600000.0,9595900000.0,6958200000.0,5673600000.0
Other Non Operating Income Expenses,12800000.0,1700000.0,2100000.0,2900000.0
Special Income Charges,1097100000.0,793300000.0,563000000.0,440800000.0
Other Special Charges,2700000.0,3400000.0,249200000.0,1700000.0
Write Off,-1099800000.0,-796700000.0,-812200000.0,-442500000.0
Net Non Operating Interest Income Expense,-10906000000.0,-8973700000.0,-7991900000.0,-7612000000.0
Total Other Finance Cost,156900000.0,151900000.0,156300000.0,230500000.0
Interest Expense Non Operating,11580800000.0,9715000000.0,7835600000.0,7381500000.0
Interest Income Non Operating,831700000.0,893200000.0,,
Operating Income,21306300000.0,17550900000.0,14067100000.0,12607300000.0
Operating Expense,2871300000.0,2454300000.0,1864300000.0,1328300000.0
Other Operating Expenses,1283600000.0,1066600000.0,816800000.0,551000000.0
Depreciation And Amortization In Income Statement,252400000.0,209800000.0,164900000.0,132500000.0
Depreciation Income Statement,252400000.0,209800000.0,164900000.0,132500000.0
Selling General And Administration,739100000.0,576800000.0,459700000.0,272200000.0
Selling And Marketing Expense,327200000.0,206000000.0,140800000.0,52400000.0
General And Administrative Expense,411900000.0,370800000.0,318900000.0,219800000.0
Rent And Landing Fees,107300000.0,88500000.0,66100000.0,59000000.0
Gross Profit,24177600000.0,20005200000.0,15931400000.0,13935600000.0
Cost Of Revenue,4174100000.0,3537100000.0,2878700000.0,2182900000.0
Total Revenue,28351700000.0,23542300000.0,18810100000.0,16118500000.0
Operating Revenue,28351700000.0,23542300000.0,18810100000.0,16118500000.0
