,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,438379272.248386,368345411.923905,323364079.832407,229974976.739455
Tax Rate For Calcs,0.21633,0.214198,0.216584,0.215399
Normalized EBITDA,5716401000.0,4905970000.0,4317496000.0,3728764000.0
Total Unusual Items,2026439000.0,1719653000.0,1493016000.0,1067671000.0
Total Unusual Items Excluding Goodwill,2026439000.0,1719653000.0,1493016000.0,1067671000.0
Net Income From Continuing Operation Net Minority Interest,5741082000.0,4906942000.0,4296438000.0,3551806000.0
Reconciled Depreciation,364515000.0,326598000.0,287205000.0,237602000.0
Reconciled Cost Of Revenue,13521782000.0,11559188000.0,8598278000.0,6808241000.0
EBITDA,7742840000.0,6625623000.0,5810512000.0,4796435000.0
EBIT,7378325000.0,6299025000.0,5523307000.0,4558833000.0
Net Interest Income,1305027000.0,1341269000.0,860121000.0,596297000.0
Interest Expense,52434000.0,54527000.0,39068000.0,31940000.0
Interest Income,1376920000.0,1413837000.0,918059000.0,643365000.0
Normalized Income,4153022272.248386,3555634411.923905,3126786079.832407,2714109976.739455
Net Income From Continuing And Discontinued Operation,5741082000.0,4906942000.0,4296438000.0,3551806000.0
Total Expenses,15915123000.0,13641161000.0,10439677000.0,8256465000.0
Rent Expense Supplemental,24357000.0,28844000.0,13577000.0,7528000.0
Diluted Average Shares,79772000.0,79227000.0,79178000.0,79257000.0
Basic Average Shares,79143000.0,79110000.0,79002000.0,78752000.0
Diluted EPS,71.97,61.93,54.26,44.81
Basic EPS,72.54,62.03,54.38,45.1
Diluted NI Availto Com Stockholders,5741082000.0,4906942000.0,4296438000.0,3551806000.0
Net Income Common Stockholders,5741082000.0,4906942000.0,4296438000.0,3551806000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,5741082000.0,4906942000.0,4296438000.0,3551806000.0
Net Income Including Noncontrolling Interests,5741082000.0,4906942000.0,4296438000.0,3551806000.0
Net Income Continuous Operations,5741082000.0,4906942000.0,4296438000.0,3551806000.0
Tax Provision,1584809000.0,1337556000.0,1187801000.0,975087000.0
Pretax Income,7325891000.0,6244498000.0,5484239000.0,4526893000.0
Other Non Operating Income Expenses,34327000.0,24902000.0,15602000.0,11823000.0
Special Income Charges,1807884000.0,1553834000.0,1396849000.0,1014472000.0
Other Special Charges,-4771000.0,-3080000.0,-2837000.0,-168000.0
Write Off,-1803113000.0,-1550754000.0,-1394012000.0,-1014304000.0
Net Non Operating Interest Income Expense,1305027000.0,1341269000.0,860121000.0,596297000.0
Total Other Finance Cost,19459000.0,18041000.0,18870000.0,15128000.0
Interest Expense Non Operating,52434000.0,54527000.0,39068000.0,31940000.0
Interest Income Non Operating,1376920000.0,1413837000.0,918059000.0,643365000.0
Operating Income,3960098000.0,3158674000.0,3115500000.0,2851102000.0
Operating Expense,2393341000.0,2081973000.0,1841399000.0,1448224000.0
Other Operating Expenses,1484722000.0,1177931000.0,919605000.0,676771000.0
Depreciation And Amortization In Income Statement,364515000.0,326598000.0,287205000.0,237602000.0
Depreciation Income Statement,364515000.0,326598000.0,287205000.0,237602000.0
Selling General And Administration,222518000.0,304535000.0,308035000.0,221611000.0
Selling And Marketing Expense,30515000.0,86460000.0,108529000.0,66353000.0
General And Administrative Expense,192003000.0,218075000.0,199506000.0,155258000.0
Rent And Landing Fees,24357000.0,28844000.0,13577000.0,7528000.0
Gross Profit,6353439000.0,5240647000.0,4956899000.0,4299326000.0
Cost Of Revenue,13521782000.0,11559188000.0,8598278000.0,6808241000.0
Total Revenue,19875221000.0,16799835000.0,13555177000.0,11107567000.0
Operating Revenue,19875221000.0,16799835000.0,13555177000.0,11107567000.0
