,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-15373787.431464,-17256410.611915,670523490.0,148435089.0
Tax Rate For Calcs,0.254112,0.247581,0.24738,0.26511
Normalized EBITDA,26636300000.0,17980500000.0,12077200000.0,7800800000.0
Total Unusual Items,-60500000.0,-69700000.0,2710500000.0,559900000.0
Total Unusual Items Excluding Goodwill,-60500000.0,-69700000.0,2710500000.0,559900000.0
Net Income From Continuing Operation Net Minority Interest,18746100000.0,12481800000.0,10256100000.0,5324900000.0
Reconciled Depreciation,1289200000.0,1199200000.0,1047000000.0,1027000000.0
Reconciled Cost Of Revenue,75046400000.0,69517400000.0,58189200000.0,48382100000.0
EBITDA,26575800000.0,17910800000.0,14787700000.0,8360700000.0
EBIT,25286600000.0,16711600000.0,13740700000.0,7333700000.0
Net Interest Income,3268400000.0,2643700000.0,1113700000.0,499300000.0
Interest Expense,154000000.0,122700000.0,112800000.0,91000000.0
Interest Income,3432900000.0,2770300000.0,1267700000.0,686200000.0
Normalized Income,18791226212.568535,12534243589.388084,8216123490.0,4913435089.0
Net Income From Continuing And Discontinued Operation,18716400000.0,12420500000.0,10162300000.0,5197100000.0
Total Expenses,98774400000.0,89527500000.0,75219100000.0,63366700000.0
Rent Expense Supplemental,127000000.0,70400000.0,104500000.0,213200000.0
Diluted Average Shares,211908375.0,211908375.0,211908375.0,211908375.0
Basic Average Shares,211908375.0,211908375.0,211908375.0,211908375.0
Diluted EPS,88.32,58.61,47.96,24.53
Basic EPS,88.32,58.61,47.96,24.53
Diluted NI Availto Com Stockholders,18716400000.0,12420500000.0,10162300000.0,5197100000.0
Net Income Common Stockholders,18716400000.0,12420500000.0,10162300000.0,5197100000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,18716400000.0,12420500000.0,10162300000.0,5197100000.0
Net Income Including Noncontrolling Interests,18716400000.0,12420500000.0,10162300000.0,5197100000.0
Net Income Discontinuous Operations,-29700000.0,-61300000.0,-93800000.0,-127800000.0
Net Income Continuous Operations,18746100000.0,12481800000.0,10256100000.0,5324900000.0
Tax Provision,6386500000.0,4107100000.0,3371800000.0,1917800000.0
Pretax Income,25132600000.0,16588900000.0,13627900000.0,7242700000.0
Other Non Operating Income Expenses,101100000.0,246600000.0,527000000.0,504300000.0
Special Income Charges,-60500000.0,-69700000.0,2710500000.0,559900000.0
Other Special Charges,60500000.0,69700000.0,-3357100000.0,-1195700000.0
Write Off,,300700000.0,646600000.0,635800000.0
Net Non Operating Interest Income Expense,3268400000.0,2643700000.0,1113700000.0,499300000.0
Total Other Finance Cost,10500000.0,3900000.0,41200000.0,95900000.0
Interest Expense Non Operating,154000000.0,122700000.0,112800000.0,91000000.0
Interest Income Non Operating,3432900000.0,2770300000.0,1267700000.0,686200000.0
Operating Income,22102300000.0,14139300000.0,9765000000.0,5273500000.0
Operating Expense,23728000000.0,20010100000.0,17029900000.0,14984600000.0
Other Operating Expenses,12626100000.0,10483100000.0,8269500000.0,6949000000.0
Depreciation And Amortization In Income Statement,1289200000.0,1199200000.0,1047000000.0,1027000000.0
Amortization,12900000.0,16000000.0,16800000.0,21600000.0
Depreciation Income Statement,1276300000.0,1183200000.0,1030200000.0,1005400000.0
Selling General And Administration,2458200000.0,1893400000.0,1935500000.0,1601400000.0
Selling And Marketing Expense,1189100000.0,998500000.0,1138200000.0,905600000.0
General And Administrative Expense,1269100000.0,894900000.0,797300000.0,695800000.0
Rent And Landing Fees,127000000.0,70400000.0,104500000.0,213200000.0
Gross Profit,45830300000.0,34149400000.0,26794900000.0,20258100000.0
Cost Of Revenue,75046400000.0,69517400000.0,58189200000.0,48382100000.0
Total Revenue,120876700000.0,103666800000.0,84984100000.0,68640200000.0
Operating Revenue,120876700000.0,103666800000.0,84984100000.0,68640200000.0
