,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,427655015.451432,138236323.563087,250764192.139738,119146091.216449
Tax Rate For Calcs,0.131142,0.134589,0.278627,0.18333
Normalized EBITDA,12386400000.0,10519000000.0,15260200000.0,11349700000.0
Total Unusual Items,3261000000.0,1027100000.0,900000000.0,649900000.0
Total Unusual Items Excluding Goodwill,3261000000.0,1027100000.0,900000000.0,649900000.0
Net Income From Continuing Operation Net Minority Interest,-5441700000.0,-7991300000.0,-360000000.0,-1087200000.0
Reconciled Depreciation,17245900000.0,16552300000.0,12269600000.0,9970300000.0
Reconciled Cost Of Revenue,31936700000.0,31129800000.0,55852100000.0,37437900000.0
EBITDA,15647400000.0,11546100000.0,16160200000.0,11999600000.0
EBIT,-1598500000.0,-5006200000.0,3890600000.0,2029300000.0
Net Interest Income,-5966900000.0,-5656600000.0,-5258400000.0,-3775400000.0
Interest Expense,5585300000.0,5474600000.0,4715000000.0,3478600000.0
Interest Income,108100000.0,220700000.0,102100000.0,93800000.0
Normalized Income,-8275044984.548568,-8880163676.436913,-1009235807.860262,-1617953908.783551
Net Income From Continuing And Discontinued Operation,-3758200000.0,-6280200000.0,-360000000.0,-1087200000.0
Total Expenses,77566900000.0,70016300000.0,120248600000.0,79427000000.0
Rent Expense Supplemental,2051500000.0,2311600000.0,8970200000.0,3932200000.0
Diluted Average Shares,1063602921.0,964337897.0,950279255.0,924931614.0
Basic Average Shares,1063602921.0,964337897.0,947734352.0,924931614.0
Diluted EPS,-3.53,-6.52,-0.38,-1.18
Basic EPS,-3.53,-6.52,-0.38,-1.18
Diluted NI Availto Com Stockholders,-3758200000.0,-6280200000.0,-360000000.0,-1087200000.0
Net Income Common Stockholders,-3758200000.0,-6280200000.0,-360000000.0,-1087200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-3758200000.0,-6280200000.0,-360000000.0,-1087200000.0
Minority Interests,800000000.0,1078900000.0,234700000.0,96400000.0
Net Income Including Noncontrolling Interests,-4558200000.0,-7359100000.0,-594700000.0,-1183600000.0
Net Income Discontinuous Operations,1683500000.0,1711100000.0,,
Net Income Continuous Operations,-6241700000.0,-9070200000.0,-594700000.0,-1183600000.0
Tax Provision,-942100000.0,-1410600000.0,-229700000.0,-265700000.0
Pretax Income,-7183800000.0,-10480800000.0,-824400000.0,-1449300000.0
Other Non Operating Income Expenses,189200000.0,94300000.0,165300000.0,240800000.0
Special Income Charges,2008200000.0,280900000.0,194900000.0,136300000.0
Other Special Charges,-2018600000.0,-291900000.0,-196200000.0,-148500000.0
Write Off,10400000.0,11000000.0,1300000.0,12200000.0
Net Non Operating Interest Income Expense,-5966900000.0,-5656600000.0,-5258400000.0,-3775400000.0
Total Other Finance Cost,489700000.0,402700000.0,645500000.0,390600000.0
Interest Expense Non Operating,5585300000.0,5474600000.0,4715000000.0,3478600000.0
Interest Income Non Operating,108100000.0,220700000.0,102100000.0,93800000.0
Operating Income,-4477800000.0,-6163100000.0,3380100000.0,1503600000.0
Operating Expense,45630200000.0,38886500000.0,64396500000.0,41989100000.0
Other Operating Expenses,12328800000.0,9840500000.0,17389600000.0,11197700000.0
Depreciation And Amortization In Income Statement,11664000000.0,10168900000.0,12269600000.0,9970300000.0
Amortization,1354000000.0,893600000.0,422400000.0,211600000.0
Depreciation Income Statement,10310000000.0,9275300000.0,11847200000.0,9758700000.0
Selling General And Administration,8612400000.0,6970400000.0,10670900000.0,5714600000.0
Selling And Marketing Expense,6942100000.0,5302200000.0,8582800000.0,4332800000.0
General And Administrative Expense,1670300000.0,1668200000.0,2088100000.0,1381800000.0
Rent And Landing Fees,2051500000.0,2311600000.0,8970200000.0,3932200000.0
Gross Profit,41152400000.0,32723400000.0,67776600000.0,43492700000.0
Cost Of Revenue,31936700000.0,31129800000.0,55852100000.0,37437900000.0
Total Revenue,73089100000.0,63853200000.0,123628700000.0,80930600000.0
Operating Revenue,73089100000.0,63853200000.0,123628700000.0,80930600000.0
