,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-204297262.569832,-1400194.920918,468898829.512431,4955249.266862
Tax Rate For Calcs,0.16905,0.285754,0.348987,0.24653
Normalized EBITDA,2102900000.0,4514700000.0,6224600000.0,4854300000.0
Total Unusual Items,-1208500000.0,-4900000.0,1343600000.0,20100000.0
Total Unusual Items Excluding Goodwill,-1208500000.0,-4900000.0,1343600000.0,20100000.0
Net Income From Continuing Operation Net Minority Interest,-1525800000.0,1184000000.0,3299200000.0,1589900000.0
Reconciled Depreciation,2226900000.0,2415600000.0,2270800000.0,2306600000.0
Reconciled Cost Of Revenue,7446300000.0,5101800000.0,21264000000.0,25525100000.0
EBITDA,894400000.0,4509800000.0,7568200000.0,4874400000.0
EBIT,-1332500000.0,2094200000.0,5297400000.0,2567800000.0
Net Interest Income,-339700000.0,-12000000.0,-290400000.0,-455100000.0
Interest Expense,457500000.0,298600000.0,342200000.0,521800000.0
Interest Income,117800000.0,286600000.0,51800000.0,66700000.0
Normalized Income,-521597262.569832,1187499805.079082,2424498829.512431,1574755249.266862
Net Income From Continuing And Discontinued Operation,-1612800000.0,505300000.0,2718800000.0,1665300000.0
Total Expenses,12305200000.0,8991900000.0,34140800000.0,38389800000.0
Rent Expense Supplemental,113200000.0,103100000.0,38800000.0,22700000.0
Diluted Average Shares,110494386.0,110909266.0,111695680.0,111695680.0
Basic Average Shares,110494386.0,110577435.0,111695680.0,111695680.0
Diluted EPS,-14.24,4.56,24.34,14.91
Basic EPS,-14.24,4.57,24.34,14.91
Diluted NI Availto Com Stockholders,-1612800000.0,505300000.0,2718800000.0,1665300000.0
Net Income Common Stockholders,-1612800000.0,505300000.0,2718800000.0,1665300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-1612800000.0,505300000.0,2718800000.0,1665300000.0
Minority Interests,-38400000.0,-98500000.0,73300000.0,48300000.0
Net Income Including Noncontrolling Interests,-1574400000.0,603800000.0,2645500000.0,1617000000.0
Net Income Discontinuous Operations,-87000000.0,-678700000.0,-580400000.0,75400000.0
Net Income Continuous Operations,-1487400000.0,1282500000.0,3225900000.0,1541600000.0
Tax Provision,-302600000.0,513100000.0,1729300000.0,504400000.0
Pretax Income,-1790000000.0,1795600000.0,4955200000.0,2046000000.0
Other Non Operating Income Expenses,73900000.0,18300000.0,90000000.0,85000000.0
Special Income Charges,-1232700000.0,-4900000.0,1343600000.0,20100000.0
Other Special Charges,803800000.0,4900000.0,-1343600000.0,-20100000.0
Impairment Of Capital Assets,428900000.0,,,
Net Non Operating Interest Income Expense,-339700000.0,-12000000.0,-290400000.0,-455100000.0
Interest Expense Non Operating,457500000.0,298600000.0,342200000.0,521800000.0
Interest Income Non Operating,117800000.0,286600000.0,51800000.0,66700000.0
Operating Income,-271500000.0,1911300000.0,3778700000.0,2311000000.0
Operating Expense,4858900000.0,3890100000.0,12876800000.0,12864700000.0
Other Operating Expenses,1228500000.0,1011100000.0,7266700000.0,6972000000.0
Depreciation And Amortization In Income Statement,637900000.0,590100000.0,1959300000.0,2306600000.0
Amortization,17100000.0,10000000.0,23400000.0,20200000.0
Depreciation Income Statement,620800000.0,580100000.0,1935900000.0,2286400000.0
Selling General And Administration,1124900000.0,747200000.0,1293900000.0,927900000.0
Selling And Marketing Expense,784700000.0,432600000.0,1154700000.0,762700000.0
General And Administrative Expense,340200000.0,314600000.0,139200000.0,165200000.0
Rent And Landing Fees,113200000.0,103100000.0,38800000.0,22700000.0
Gross Profit,4587400000.0,5801400000.0,16655500000.0,15175700000.0
Cost Of Revenue,7446300000.0,5101800000.0,21264000000.0,25525100000.0
Total Revenue,12033700000.0,10903200000.0,37919500000.0,40700800000.0
Operating Revenue,12033700000.0,10903200000.0,37919500000.0,40700800000.0
