,2025-03-31,2024-03-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,440888280.0,416292800.0,-242629497.84792,-87088940.0
Tax Rate For Calcs,0.2319,0.154,0.254462,0.2602
Normalized EBITDA,40461900000.0,35266700000.0,16932100000.0,31951500000.0
Total Unusual Items,1901200000.0,2703200000.0,-953500000.0,-334700000.0
Total Unusual Items Excluding Goodwill,1901200000.0,2703200000.0,-953500000.0,-334700000.0
Net Income From Continuing Operation Net Minority Interest,24021200000.0,23349200000.0,6494400000.0,18629900000.0
Reconciled Depreciation,10013100000.0,8850500000.0,6645700000.0,6006800000.0
Reconciled Cost Of Revenue,127950400000.0,111755900000.0,38759600000.0,73016400000.0
EBITDA,42363100000.0,37969900000.0,15978600000.0,31616800000.0
EBIT,32350000000.0,29119400000.0,9332900000.0,25610000000.0
Net Interest Income,8513200000.0,2975100000.0,-620400000.0,1399900000.0
Interest Expense,1082200000.0,1545800000.0,620400000.0,546200000.0
Interest Income,9595400000.0,4520900000.0,,1946100000.0
Normalized Income,22560888280.0,21062292800.0,7205270502.15208,18877511060.0
Net Income From Continuing And Discontinued Operation,24021200000.0,23349200000.0,6494400000.0,18629900000.0
Total Expenses,186121000000.0,173969700000.0,166274300000.0,134278700000.0
Rent Expense Supplemental,765600000.0,529700000.0,,1072600000.0
Diluted Average Shares,188294193.0,188282593.0,188298057.0,188293919.0
Basic Average Shares,187787263.0,187787263.0,187807981.0,187787263.0
Diluted EPS,127.57,124.01,34.49,98.94
Basic EPS,127.92,124.34,34.58,99.21
Diluted NI Availto Com Stockholders,24021200000.0,23349200000.0,6494400000.0,18629900000.0
Net Income Common Stockholders,24021200000.0,23349200000.0,6494400000.0,18629900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,24021200000.0,23349200000.0,6494400000.0,18629900000.0
Minority Interests,-1500000.0,-1600000.0,-1100000.0,1100000.0
Net Income Including Noncontrolling Interests,24022700000.0,23350800000.0,6495500000.0,18631000000.0
Net Income Continuous Operations,24022700000.0,23350800000.0,6495500000.0,18631000000.0
Tax Provision,7245100000.0,4222800000.0,2217000000.0,6432800000.0
Pretax Income,31267800000.0,27573600000.0,8712500000.0,25063800000.0
Other Non Operating Income Expenses,225000000.0,4928500000.0,2227400000.0,16800000.0
Special Income Charges,1247000000.0,2391900000.0,-953500000.0,-432800000.0
Other Special Charges,-1247000000.0,-96300000.0,220000000.0,541500000.0
Write Off,,211800000.0,,-108700000.0
Restructuring And Mergern Acquisition,,-2295600000.0,733500000.0,547600000.0
Net Non Operating Interest Income Expense,8513200000.0,2975100000.0,-620400000.0,1399900000.0
Interest Expense Non Operating,1082200000.0,1545800000.0,620400000.0,546200000.0
Interest Income Non Operating,9595400000.0,4520900000.0,,1946100000.0
Operating Income,20600500000.0,21766100000.0,7918400000.0,23865300000.0
Operating Expense,58170600000.0,62213800000.0,127514700000.0,61262300000.0
Other Operating Expenses,6727600000.0,5034700000.0,71522600000.0,9633700000.0
Depreciation And Amortization In Income Statement,10013100000.0,8850500000.0,6645700000.0,6006800000.0
Amortization,620500000.0,249300000.0,,52300000.0
Depreciation Income Statement,9392600000.0,8601200000.0,6645700000.0,5954500000.0
Selling General And Administration,44388400000.0,43851000000.0,41104900000.0,39487000000.0
Selling And Marketing Expense,43689900000.0,43161500000.0,41104900000.0,39093600000.0
General And Administrative Expense,698500000.0,689500000.0,,393400000.0
Rent And Landing Fees,765600000.0,529700000.0,,1072600000.0
Gross Profit,78771100000.0,83979900000.0,135433100000.0,85127600000.0
Cost Of Revenue,127950400000.0,111755900000.0,38759600000.0,73016400000.0
Total Revenue,206721500000.0,195735800000.0,174192700000.0,158144000000.0
Operating Revenue,206721500000.0,195735800000.0,174192700000.0,158144000000.0
