,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,108625645.593548,65050597.3,6885131.936634,-8751347.414421
Tax Rate For Calcs,0.254734,0.2437,0.259954,0.235251
Normalized EBITDA,5634348000.0,4536501000.0,2593857000.0,1659500000.0
Total Unusual Items,426428000.0,266929000.0,26486000.0,-37200000.0
Total Unusual Items Excluding Goodwill,426428000.0,266929000.0,26486000.0,-37200000.0
Net Income From Continuing Operation Net Minority Interest,4092186000.0,3281611000.0,1715994000.0,1050200000.0
Reconciled Depreciation,283054000.0,232378000.0,180000000.0,154100000.0
Reconciled Cost Of Revenue,24176444000.0,21433301000.0,16201986000.0,11711100000.0
EBITDA,6060776000.0,4803430000.0,2620343000.0,1622300000.0
EBIT,5777722000.0,4571052000.0,2440343000.0,1468200000.0
Net Interest Income,118825000.0,-21833000.0,-3451000.0,-95200000.0
Interest Expense,286524000.0,231681000.0,102880000.0,95200000.0
Interest Income,405349000.0,209848000.0,99429000.0,17538000.0
Normalized Income,3774383645.593548,3079732597.3,1696393131.936634,1078648652.585579
Net Income From Continuing And Discontinued Operation,4092186000.0,3281611000.0,1715994000.0,1050200000.0
Total Expenses,28365134000.0,25076337000.0,19290838000.0,14898200000.0
Rent Expense Supplemental,7803000.0,4793000.0,4457000.0,3399000.0
Diluted Average Shares,119045638.0,119073579.0,119083196.0,116430155.0
Basic Average Shares,119008369.0,119050682.0,119083196.0,116430155.0
Diluted EPS,34.37,27.56,14.41,9.02
Basic EPS,34.39,27.56,14.41,9.02
Diluted NI Availto Com Stockholders,4092186000.0,3281611000.0,1715994000.0,1050200000.0
Net Income Common Stockholders,4092186000.0,3281611000.0,1715994000.0,1050200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4092186000.0,3281611000.0,1715994000.0,1050200000.0
Minority Interests,-218000.0,-371000.0,-13837000.0,200000.0
Net Income Including Noncontrolling Interests,4092404000.0,3281982000.0,1729831000.0,1050000000.0
Net Income Continuous Operations,4092404000.0,3281982000.0,1729831000.0,1050000000.0
Tax Provision,1398794000.0,1057389000.0,607632000.0,323000000.0
Pretax Income,5491198000.0,4339371000.0,2337463000.0,1373000000.0
Other Non Operating Income Expenses,64674000.0,61091000.0,65824000.0,107800000.0
Special Income Charges,-76062000.0,-157253000.0,-20173000.0,-37200000.0
Other Special Charges,-24127000.0,4945000.0,-198601000.0,-3282000.0
Write Off,100189000.0,152308000.0,218774000.0,37200000.0
Net Non Operating Interest Income Expense,118825000.0,-21833000.0,-3451000.0,-95200000.0
Interest Expense Non Operating,286524000.0,231681000.0,102880000.0,95200000.0
Interest Income Non Operating,405349000.0,209848000.0,99429000.0,17538000.0
Operating Income,4880701000.0,4020464000.0,2283259000.0,1397600000.0
Operating Expense,4188690000.0,3643036000.0,3088852000.0,3187100000.0
Other Operating Expenses,908853000.0,831542000.0,669788000.0,2184900000.0
Depreciation And Amortization In Income Statement,283054000.0,232378000.0,180000000.0,154100000.0
Amortization,10122000.0,8920000.0,7044000.0,5145000.0
Depreciation Income Statement,272932000.0,223458000.0,172956000.0,154100000.0
Selling General And Administration,1628927000.0,1408936000.0,1259710000.0,963619000.0
Selling And Marketing Expense,1227356000.0,1170601000.0,1059904000.0,903318000.0
General And Administrative Expense,401571000.0,238335000.0,199806000.0,60301000.0
Rent And Landing Fees,7803000.0,4793000.0,4457000.0,3399000.0
Gross Profit,9069391000.0,7663500000.0,5372111000.0,4584700000.0
Cost Of Revenue,24176444000.0,21433301000.0,16201986000.0,11711100000.0
Total Revenue,33245835000.0,29096801000.0,21574097000.0,16295800000.0
Operating Revenue,33245835000.0,29096801000.0,21574097000.0,16295800000.0
