,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-51763556.100534,1728786526.519504,120312000.0,1308767195.829184
Tax Rate For Calcs,0.258005,0.232723,0.3,0.394587
Normalized EBITDA,13962280000.0,12317860000.0,12322990000.0,12365180000.0
Total Unusual Items,-200630000.0,7428520000.0,401040000.0,3316800000.0
Total Unusual Items Excluding Goodwill,-200630000.0,7428520000.0,401040000.0,3316800000.0
Net Income From Continuing Operation Net Minority Interest,2521080000.0,6977980000.0,-31410000.0,620340000.0
Reconciled Depreciation,2873130000.0,3081380000.0,4848020000.0,5462750000.0
Reconciled Cost Of Revenue,510750000.0,619420000.0,567620000.0,1562720000.0
EBITDA,13761650000.0,19746380000.0,12724030000.0,15681980000.0
EBIT,10888520000.0,16665000000.0,7876010000.0,10219230000.0
Net Interest Income,-6256520000.0,-6396300000.0,-7555670000.0,-9448220000.0
Interest Expense,7508160000.0,7570750000.0,8030020000.0,9194970000.0
Interest Income,1335890000.0,1208580000.0,536150000.0,513080000.0
Normalized Income,2669946443.899466,1278246526.519504,-312138000.0,-1387692804.170816
Net Income From Continuing And Discontinued Operation,2521080000.0,6977980000.0,-31410000.0,620340000.0
Total Expenses,4552590000.0,5255730000.0,6056040000.0,7910080000.0
Rent Expense Supplemental,38410000.0,3480000.0,,
Diluted Average Shares,556051468.0,605115540.0,605115540.0,605115540.0
Basic Average Shares,554224518.0,605115540.0,605115540.0,605115540.0
Diluted EPS,4.53,11.531649,-0.051907,1.02516
Basic EPS,4.55,11.531649,-0.051907,1.02516
Diluted NI Availto Com Stockholders,2521080000.0,6977980000.0,-31410000.0,620340000.0
Net Income Common Stockholders,2521080000.0,6977980000.0,-31410000.0,620340000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2521080000.0,6977980000.0,-31410000.0,620340000.0
Minority Interests,12870000.0,170000.0,330000.0,240000.0
Net Income Including Noncontrolling Interests,2508210000.0,6977810000.0,-31740000.0,620100000.0
Net Income Continuous Operations,2508210000.0,6977810000.0,-31740000.0,620100000.0
Tax Provision,872150000.0,2116440000.0,-122270000.0,404160000.0
Pretax Income,3380360000.0,9094250000.0,-154010000.0,1024260000.0
Other Non Operating Income Expenses,339180000.0,197560000.0,112690000.0,191690000.0
Special Income Charges,-200630000.0,7428010000.0,399360000.0,3313120000.0
Other Special Charges,200630000.0,-7503360000.0,-399360000.0,-3313120000.0
Write Off,,122280000.0,0.0,0.0
Impairment Of Capital Assets,0.0,75350000.0,0.0,0.0
Net Non Operating Interest Income Expense,-6256520000.0,-6396300000.0,-7555670000.0,-9448220000.0
Total Other Finance Cost,84250000.0,34130000.0,61800000.0,766330000.0
Interest Expense Non Operating,7508160000.0,7570750000.0,8030020000.0,9194970000.0
Interest Income Non Operating,1335890000.0,1208580000.0,536150000.0,513080000.0
Operating Income,9498720000.0,7932810000.0,6887930000.0,6963990000.0
Operating Expense,4041840000.0,4636310000.0,5488420000.0,6347360000.0
Other Operating Expenses,210470000.0,630780000.0,43010000.0,98860000.0
Depreciation And Amortization In Income Statement,2873130000.0,3081380000.0,4848020000.0,5462750000.0
Amortization,20000.0,20000.0,20000.0,100000.0
Depreciation Income Statement,2873110000.0,3081360000.0,4848000000.0,5462650000.0
Selling General And Administration,270380000.0,334680000.0,256020000.0,408330000.0
General And Administrative Expense,270380000.0,334680000.0,256020000.0,408330000.0
Rent And Landing Fees,38410000.0,3480000.0,,
Gross Profit,13540560000.0,12569120000.0,12376350000.0,13311350000.0
Cost Of Revenue,510750000.0,619420000.0,567620000.0,1562720000.0
Total Revenue,14051310000.0,13188540000.0,12943970000.0,14874070000.0
Operating Revenue,14051310000.0,13188540000.0,12943970000.0,14874070000.0
