,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-2264014926.733963,165117132.886781,60325448.087304,-8436611.800128,
Tax Rate For Calcs,0.166526,0.325996,0.254323,0.256432,
Normalized EBITDA,74830800000.0,62135100000.0,60421100000.0,54774000000.0,
Total Unusual Items,-13595600000.0,506500000.0,237200000.0,-32900000.0,
Total Unusual Items Excluding Goodwill,-13595600000.0,506500000.0,237200000.0,-32900000.0,
Net Income From Continuing Operation Net Minority Interest,10341400000.0,11411000000.0,12521200000.0,12332900000.0,
Reconciled Depreciation,19135000000.0,17837000000.0,16143600000.0,14297000000.0,
Reconciled Cost Of Revenue,131665700000.0,81565400000.0,65208900000.0,52049600000.0,
EBITDA,61235200000.0,62641600000.0,60658300000.0,54741100000.0,
EBIT,42100200000.0,44804600000.0,44514700000.0,40444100000.0,
Net Interest Income,-27708000000.0,-23798900000.0,-22867000000.0,-18559600000.0,
Interest Expense,31351700000.0,27009000000.0,27397500000.0,23439200000.0,
Interest Income,4883600000.0,3866200000.0,4947700000.0,5089900000.0,
Normalized Income,21672985073.266037,11069617132.886782,12344325448.087303,12357363388.199871,
Net Income From Continuing And Discontinued Operation,10341400000.0,11411000000.0,12521200000.0,12332900000.0,
Total Expenses,170030600000.0,119249500000.0,101279000000.0,80908200000.0,
Rent Expense Supplemental,323800000.0,225200000.0,249700000.0,171500000.0,
Diluted Average Shares,1171432437.0,1115492683.0,1113731076.0,1099810083.0,
Basic Average Shares,1171432437.0,1115492683.0,1113731076.0,1099810083.0,
Diluted EPS,9.05,10.2,11.1,8.9,
Basic EPS,9.05,10.2,11.1,8.9,
Diluted NI Availto Com Stockholders,10599700000.0,11372800000.0,12365000000.0,9783100000.0,
Net Income Common Stockholders,10599700000.0,11372800000.0,12365000000.0,9783100000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,198300000.0,2263000000.0,
Preferred Stock Dividends,,0.0,0.0,0.0,0.0
Net Income,10599700000.0,11372800000.0,12563300000.0,12046100000.0,
Minority Interests,1382800000.0,-583300000.0,-242700000.0,-311400000.0,
Net Income Including Noncontrolling Interests,9216900000.0,11956100000.0,12806000000.0,12357500000.0,
Net Income Extraordinary,258300000.0,-38200000.0,42100000.0,-286800000.0,
Net Income Continuous Operations,8958600000.0,11994300000.0,12763900000.0,12644300000.0,
Tax Provision,1789900000.0,5801300000.0,4353300000.0,4360600000.0,
Pretax Income,10748500000.0,17795600000.0,17117200000.0,17004900000.0,
Other Non Operating Income Expenses,-13367500000.0,-3208600000.0,10379900000.0,6913500000.0,
Special Income Charges,-14854800000.0,75500000.0,24800000.0,-134100000.0,
Other Special Charges,15022200000.0,-37300000.0,2000000.0,500000.0,
Write Off,-167400000.0,-38200000.0,-26800000.0,133600000.0,
Net Non Operating Interest Income Expense,-27708000000.0,-23798900000.0,-22867000000.0,-18559600000.0,
Total Other Finance Cost,1239900000.0,656100000.0,417200000.0,210300000.0,
Interest Expense Non Operating,31351700000.0,27009000000.0,27397500000.0,23439200000.0,
Interest Income Non Operating,4883600000.0,3866200000.0,4947700000.0,5089900000.0,
Operating Income,65430900000.0,44300600000.0,29371700000.0,28693900000.0,
Operating Expense,38364900000.0,37684100000.0,36070100000.0,28858600000.0,
Other Operating Expenses,7793400000.0,9581400000.0,9634300000.0,6477500000.0,
Depreciation And Amortization In Income Statement,19059500000.0,17760800000.0,16077400000.0,14271500000.0,
Amortization,414000000.0,400900000.0,286800000.0,173400000.0,
Depreciation Income Statement,18645500000.0,17359900000.0,15790600000.0,14098100000.0,
Selling General And Administration,3188800000.0,3213300000.0,2603500000.0,2188500000.0,
General And Administrative Expense,3188800000.0,3213300000.0,2603500000.0,2188500000.0,
Rent And Landing Fees,323800000.0,225200000.0,249700000.0,171500000.0,
Gross Profit,103795800000.0,81984700000.0,65441800000.0,57552500000.0,
Cost Of Revenue,131665700000.0,81565400000.0,65208900000.0,52049600000.0,
Total Revenue,235461500000.0,163550100000.0,130650700000.0,109602100000.0,
Operating Revenue,235461500000.0,163550100000.0,130650700000.0,109602100000.0,
