,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,12220328106.623507,-2182884325.39884,-1408113553.76291,-301350000.0
Tax Rate For Calcs,0.28329,0.331277,0.320558,0.3
Normalized EBITDA,152639500000.0,123454500000.0,91167000000.0,42604100000.0
Total Unusual Items,43137200000.0,-6589300000.0,-4392700000.0,-1004500000.0
Total Unusual Items Excluding Goodwill,43137200000.0,-6589300000.0,-4392700000.0,-1004500000.0
Net Income From Continuing Operation Net Minority Interest,71119600000.0,32395500000.0,24550200000.0,7765600000.0
Reconciled Depreciation,42113300000.0,30421500000.0,24361400000.0,12477800000.0
Reconciled Cost Of Revenue,672938300000.0,651673100000.0,1067716500000.0,612877600000.0
EBITDA,195776700000.0,116865200000.0,86774300000.0,41599600000.0
EBIT,153663400000.0,86443700000.0,62412900000.0,29121800000.0
Net Interest Income,-38933200000.0,-30401700000.0,-25971500000.0,-16812600000.0
Interest Expense,48876000000.0,37194600000.0,30033700000.0,19601300000.0
Interest Income,13670400000.0,10474000000.0,8354100000.0,7696900000.0
Normalized Income,40202728106.623505,36801915674.60116,27534786446.23709,8468750000.0
Net Income From Continuing And Discontinued Operation,70990000000.0,32407800000.0,24639800000.0,7765600000.0
Total Expenses,872679900000.0,873032800000.0,1205616700000.0,664414800000.0
Rent Expense Supplemental,569100000.0,661500000.0,906200000.0,448300000.0
Diluted Average Shares,1182616909.0,1175884969.0,1171228253.0,1134428837.0
Basic Average Shares,1182616909.0,1175884969.0,1171228253.0,1134428837.0
Diluted EPS,58.702228,26.408732,21.115351,6.844554
Basic EPS,58.702228,26.408732,21.115351,6.844554
Diluted NI Availto Com Stockholders,69423400000.0,31054200000.0,24639800000.0,7765600000.0
Net Income Common Stockholders,69423400000.0,31054200000.0,24639800000.0,7765600000.0
Otherunder Preferred Stock Dividend,1566600000.0,1353600000.0,0.0,0.0
Net Income,70990000000.0,32407800000.0,24639800000.0,7765600000.0
Minority Interests,-9059900000.0,-944900000.0,423800000.0,-111400000.0
Net Income Including Noncontrolling Interests,80049900000.0,33352700000.0,24216000000.0,7877000000.0
Net Income Discontinuous Operations,-129600000.0,12300000.0,89600000.0,
Net Income Continuous Operations,80179500000.0,33340400000.0,24126400000.0,7877000000.0
Tax Provision,29685200000.0,16315100000.0,10379400000.0,4766800000.0
Pretax Income,104787400000.0,49249100000.0,32379200000.0,9520500000.0
Other Non Operating Income Expenses,6938300000.0,4704100000.0,3198100000.0,2201100000.0
Special Income Charges,41461700000.0,-7696000000.0,-4498600000.0,-1023600000.0
Other Special Charges,-41086800000.0,5271800000.0,3721500000.0,-29000000.0
Write Off,-374900000.0,2424200000.0,777100000.0,1052600000.0
Restructuring And Mergern Acquisition,,,-117600000.0,
Net Non Operating Interest Income Expense,-38933200000.0,-30401700000.0,-25971500000.0,-16812600000.0
Total Other Finance Cost,3727600000.0,3681100000.0,4291900000.0,4908200000.0
Interest Expense Non Operating,48876000000.0,37194600000.0,30033700000.0,19601300000.0
Interest Income Non Operating,13670400000.0,10474000000.0,8354100000.0,7696900000.0
Operating Income,104430900000.0,90128700000.0,68279800000.0,28628800000.0
Operating Expense,199741600000.0,221359700000.0,137900200000.0,51537200000.0
Other Operating Expenses,146719000000.0,178929800000.0,103027500000.0,32748300000.0
Selling General And Administration,21395700000.0,18640800000.0,15812100000.0,7078500000.0
Selling And Marketing Expense,8231300000.0,6789300000.0,5522300000.0,1478000000.0
General And Administrative Expense,13164400000.0,11851500000.0,10289800000.0,5600500000.0
Rent And Landing Fees,569100000.0,661500000.0,906200000.0,448300000.0
Gross Profit,304172500000.0,311488400000.0,206180000000.0,80166000000.0
Cost Of Revenue,672938300000.0,651673100000.0,1067716500000.0,612877600000.0
Total Revenue,977110800000.0,963161500000.0,1273896500000.0,693043600000.0
Operating Revenue,977110800000.0,963161500000.0,1273896500000.0,693043600000.0
