,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-439379472.857072,650850000.0,2778600000.0,-255537978.571201,
Tax Rate For Calcs,0.220661,0.3,0.3,0.253234,
Normalized EBITDA,239401200000.0,275853200000.0,130923400000.0,136675600000.0,
Total Unusual Items,-1991200000.0,2169500000.0,9262000000.0,-1009100000.0,
Total Unusual Items Excluding Goodwill,-1991200000.0,2169500000.0,9262000000.0,-1009100000.0,
Net Income From Continuing Operation Net Minority Interest,129387700000.0,208287900000.0,107266400000.0,49115800000.0,
Reconciled Depreciation,43088800000.0,39313300000.0,33036800000.0,31175400000.0,
Reconciled Cost Of Revenue,324903600000.0,302927300000.0,271885200000.0,168232000000.0,
EBITDA,237410000000.0,278022700000.0,140185400000.0,135666500000.0,
EBIT,194321200000.0,238709400000.0,107148600000.0,104491100000.0,
Net Interest Income,-18016900000.0,55871600000.0,3877600000.0,-4596200000.0,
Interest Expense,30726100000.0,30794300000.0,30401600000.0,38719800000.0,
Interest Income,14439600000.0,89211100000.0,36071900000.0,35582700000.0,
Normalized Income,130939520527.14293,206769250000.0,100783000000.0,49869362021.4288,
Net Income From Continuing And Discontinued Operation,129387700000.0,208287900000.0,107266400000.0,49115800000.0,
Total Expenses,383771000000.0,353036100000.0,314147400000.0,204825600000.0,
Rent Expense Supplemental,139400000.0,167500000.0,106000000.0,56900000.0,
Diluted Average Shares,19284694705.0,19284694705.0,19284694705.0,19284694705.0,
Basic Average Shares,19284694705.0,19284694705.0,19284694705.0,19284694705.0,
Diluted EPS,6.464,10.324,4.914,1.926,
Basic EPS,6.464,10.324,4.914,1.926,
Diluted NI Availto Com Stockholders,124638500000.0,199094800000.0,94749900000.0,37136300000.0,
Net Income Common Stockholders,124638500000.0,199094800000.0,94749900000.0,37136300000.0,
Otherunder Preferred Stock Dividend,4749200000.0,9193100000.0,12516500000.0,11979500000.0,
Preferred Stock Dividends,0.0,0.0,0.0,0.0,
Net Income,129387700000.0,208287900000.0,107266400000.0,49115800000.0,
Minority Interests,1891600000.0,,,0.0,0.0
Net Income Including Noncontrolling Interests,127496100000.0,208287900000.0,107266400000.0,49115800000.0,
Net Income Continuous Operations,127496100000.0,208287900000.0,107266400000.0,49115800000.0,
Tax Provision,36099000000.0,-372800000.0,-30519400000.0,16655500000.0,
Pretax Income,163595100000.0,207915100000.0,76747000000.0,65771300000.0,
Other Non Operating Income Expenses,2479600000.0,1402900000.0,1101200000.0,916700000.0,
Special Income Charges,-1496600000.0,1784500000.0,7841700000.0,-1070800000.0,
Other Special Charges,1128900000.0,-1859800000.0,-7928500000.0,1066900000.0,
Write Off,367700000.0,75300000.0,86800000.0,3900000.0,
Net Non Operating Interest Income Expense,-18016900000.0,55871600000.0,3877600000.0,-4596200000.0,
Total Other Finance Cost,1730400000.0,2545200000.0,1792700000.0,1459100000.0,
Interest Expense Non Operating,30726100000.0,30794300000.0,30401600000.0,38719800000.0,
Interest Income Non Operating,14439600000.0,89211100000.0,36071900000.0,35582700000.0,
Operating Income,177547200000.0,147474600000.0,66082900000.0,71723400000.0,
Operating Expense,58867400000.0,50108800000.0,42262200000.0,36593600000.0,
Other Operating Expenses,9127500000.0,5890900000.0,4645300000.0,2818800000.0,
Depreciation And Amortization In Income Statement,43088800000.0,39313300000.0,33036800000.0,31175400000.0,
Amortization,59200000.0,45000000.0,,,
Depreciation Income Statement,43029600000.0,39268300000.0,33036800000.0,31175400000.0,
Selling General And Administration,3741200000.0,3147300000.0,2576600000.0,1643300000.0,
General And Administrative Expense,3741200000.0,3147300000.0,2576600000.0,1643300000.0,
Rent And Landing Fees,139400000.0,167500000.0,106000000.0,56900000.0,
Gross Profit,236414600000.0,197583400000.0,108345100000.0,108317000000.0,
Cost Of Revenue,324903600000.0,302927300000.0,271885200000.0,168232000000.0,
Total Revenue,561318200000.0,500510700000.0,380230300000.0,276549000000.0,
Operating Revenue,561318200000.0,500510700000.0,380230300000.0,276549000000.0,
