,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-278023920.0,-21633890.0,-44019420.0,24967348.0
Tax Rate For Calcs,0.3144,0.3313,0.3142,0.1204
Normalized EBITDA,17502300000.0,15896700000.0,13877990000.0,10478620000.0
Total Unusual Items,-884300000.0,-65300000.0,-140100000.0,207370000.0
Total Unusual Items Excluding Goodwill,-884300000.0,-65300000.0,-140100000.0,207370000.0
Net Income From Continuing Operation Net Minority Interest,4868100000.0,4497600000.0,4108700000.0,3563550000.0
Reconciled Depreciation,4911000000.0,4945300000.0,4715770000.0,3553680000.0
Reconciled Cost Of Revenue,85362000000.0,93064500000.0,90523650000.0,81159490000.0
EBITDA,16618000000.0,15831400000.0,13737890000.0,10685990000.0
EBIT,11707000000.0,10886100000.0,9022120000.0,7132310000.0
Net Interest Income,-4424000000.0,-4433900000.0,-4032410000.0,-3609400000.0
Interest Expense,4606900000.0,4159900000.0,3031370000.0,3066790000.0
Interest Income,1868000000.0,1338700000.0,434220000.0,637930000.0
Normalized Income,5474376080.0,4541266110.0,4204780580.0,3381147348.0
Net Income From Continuing And Discontinued Operation,4868100000.0,4497600000.0,4108700000.0,3563550000.0
Total Expenses,113802600000.0,122877100000.0,116332350000.0,102629900000.0
Rent Expense Supplemental,7476500000.0,7511000000.0,7072910000.0,5895830000.0
Diluted Average Shares,367784631.0,367784631.0,367784631.0,367784631.0
Basic Average Shares,367784631.0,367784631.0,367784631.0,367784631.0
Diluted EPS,13.24,12.228896,11.171484,9.68923
Basic EPS,13.24,12.228896,11.171484,9.68923
Diluted NI Availto Com Stockholders,4868100000.0,4497600000.0,4108700000.0,3563550000.0
Net Income Common Stockholders,4868100000.0,4497600000.0,4108700000.0,3563550000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4868100000.0,4497600000.0,4108700000.0,3563550000.0
Minority Interests,200000.0,0.0,100000.0,-12500000.0
Net Income Including Noncontrolling Interests,4867900000.0,4497600000.0,4108600000.0,3576050000.0
Net Income Continuous Operations,4867900000.0,4497600000.0,4108600000.0,3576050000.0
Tax Provision,2232200000.0,2228600000.0,1882150000.0,489470000.0
Pretax Income,7100100000.0,6726200000.0,5990750000.0,4065520000.0
Other Non Operating Income Expenses,631600000.0,676500000.0,417660000.0,153780000.0
Special Income Charges,-884300000.0,-65300000.0,-140100000.0,207370000.0
Other Special Charges,7500000.0,34500000.0,63480000.0,-221760000.0
Write Off,876800000.0,30800000.0,76620000.0,14390000.0
Net Non Operating Interest Income Expense,-4424000000.0,-4433900000.0,-4032410000.0,-3609400000.0
Total Other Finance Cost,1685100000.0,1612700000.0,1435260000.0,1180540000.0
Interest Expense Non Operating,4606900000.0,4159900000.0,3031370000.0,3066790000.0
Interest Income Non Operating,1868000000.0,1338700000.0,434220000.0,637930000.0
Operating Income,11235000000.0,9066600000.0,9060800000.0,6804730000.0
Operating Expense,28440600000.0,29812600000.0,25808700000.0,21470410000.0
Other Operating Expenses,5447400000.0,6199000000.0,5002750000.0,4108780000.0
Depreciation And Amortization In Income Statement,4911000000.0,4945300000.0,4715770000.0,3553680000.0
Amortization,500000.0,400000.0,420000.0,320000.0
Depreciation Income Statement,4910500000.0,4944900000.0,4715350000.0,3553360000.0
Selling General And Administration,3361300000.0,4794200000.0,3506000000.0,3289530000.0
General And Administrative Expense,3361300000.0,4794200000.0,3506000000.0,3289530000.0
Rent And Landing Fees,816400000.0,771200000.0,582590000.0,423680000.0
Gross Profit,39675600000.0,38879200000.0,34869500000.0,28275140000.0
Cost Of Revenue,85362000000.0,93064500000.0,90523650000.0,81159490000.0
Total Revenue,125037600000.0,131943700000.0,125393150000.0,109434630000.0
Operating Revenue,125037600000.0,131943700000.0,125393150000.0,109434630000.0
