,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,62393300.615648,7352614.107884,4055142.407592,40826757.626759
Tax Rate For Calcs,0.183407,0.090371,0.128165,0.122976
Normalized EBITDA,5396530000.0,4043150000.0,3339290000.0,2490500000.0
Total Unusual Items,340190000.0,81360000.0,31640000.0,331990000.0
Total Unusual Items Excluding Goodwill,340190000.0,81360000.0,31640000.0,331990000.0
Net Income From Continuing Operation Net Minority Interest,3818690000.0,2972690000.0,2445890000.0,2138780000.0
Reconciled Depreciation,966980000.0,715260000.0,494180000.0,324400000.0
Reconciled Cost Of Revenue,13793140000.0,11253650000.0,8843320000.0,6789260000.0
EBITDA,5736720000.0,4124510000.0,3370930000.0,2822490000.0
EBIT,4769740000.0,3409250000.0,2876750000.0,2498090000.0
Net Interest Income,378060000.0,219170000.0,111900000.0,102540000.0
Interest Expense,93370000.0,141290000.0,61240000.0,50130000.0
Interest Income,503970000.0,407860000.0,225980000.0,173310000.0
Normalized Income,3540893300.615648,2898682614.107884,2418305142.407592,1847616757.626759
Net Income From Continuing And Discontinued Operation,3818690000.0,2972690000.0,2445890000.0,2138780000.0
Total Expenses,18763150000.0,15531310000.0,11939730000.0,8990920000.0
Rent Expense Supplemental,60040000.0,39510000.0,45640000.0,10230000.0
Diluted Average Shares,140440000.0,135690000.0,133190000.0,132730000.0
Basic Average Shares,140220000.0,135660000.0,133190000.0,132730000.0
Diluted EPS,27.19,21.91,18.363916,16.113765
Basic EPS,27.23,21.91,18.363916,16.113765
Diluted NI Availto Com Stockholders,3818690000.0,2972690000.0,2445890000.0,2138780000.0
Average Dilution Earnings,0.0,0.0,0.0,
Net Income Common Stockholders,3818690000.0,2972690000.0,2445890000.0,2138780000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3818690000.0,2972690000.0,2445890000.0,2138780000.0
Minority Interests,0.0,60000.0,-8770000.0,-8140000.0
Net Income Including Noncontrolling Interests,3818690000.0,2972630000.0,2454660000.0,2146920000.0
Net Income Continuous Operations,3818690000.0,2972630000.0,2454660000.0,2146920000.0
Tax Provision,857680000.0,295330000.0,360850000.0,301040000.0
Pretax Income,4676370000.0,3267960000.0,2815510000.0,2447960000.0
Other Non Operating Income Expenses,21850000.0,19820000.0,63190000.0,137390000.0
Special Income Charges,-20300000.0,-4640000.0,-790000.0,-18810000.0
Other Special Charges,-90000.0,20000.0,70000.0,20000.0
Write Off,20390000.0,4620000.0,720000.0,18790000.0
Net Non Operating Interest Income Expense,378060000.0,219170000.0,111900000.0,102540000.0
Total Other Finance Cost,32540000.0,47400000.0,52840000.0,20640000.0
Interest Expense Non Operating,93370000.0,141290000.0,61240000.0,50130000.0
Interest Income Non Operating,503970000.0,407860000.0,225980000.0,173310000.0
Operating Income,3891840000.0,2889470000.0,2394710000.0,1825640000.0
Operating Expense,4970010000.0,4277660000.0,3096410000.0,2201660000.0
Other Operating Expenses,435660000.0,358630000.0,307920000.0,191010000.0
Depreciation And Amortization In Income Statement,966980000.0,715260000.0,494180000.0,324400000.0
Amortization,913530000.0,657120000.0,465110000.0,305040000.0
Depreciation Income Statement,53450000.0,58140000.0,29070000.0,19360000.0
Research And Development,25470000.0,3600000.0,5750000.0,23680000.0
Selling General And Administration,1150330000.0,784310000.0,350320000.0,328560000.0
Selling And Marketing Expense,791810000.0,511080000.0,222410000.0,157760000.0
General And Administrative Expense,358520000.0,273230000.0,127910000.0,170800000.0
Rent And Landing Fees,60040000.0,39510000.0,45640000.0,10230000.0
Gross Profit,8861850000.0,7167130000.0,5491120000.0,4027300000.0
Cost Of Revenue,13793140000.0,11253650000.0,8843320000.0,6789260000.0
Total Revenue,22654990000.0,18420780000.0,14334440000.0,10816560000.0
Operating Revenue,22654990000.0,18420780000.0,14334440000.0,10816560000.0
