,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,418880802.185234,122296347.826695,49421025.080538,30044452.26385
Tax Rate For Calcs,0.225336,0.235902,0.224323,0.206908
Normalized EBITDA,13067037000.0,15648274000.0,14531490000.0,8627145000.0
Total Unusual Items,1858917000.0,518420000.0,220312000.0,145207000.0
Total Unusual Items Excluding Goodwill,1858917000.0,518420000.0,220312000.0,145207000.0
Net Income From Continuing Operation Net Minority Interest,10607360000.0,11355733000.0,10559289000.0,6196809000.0
Reconciled Depreciation,1030739000.0,1002715000.0,930401000.0,921163000.0
Reconciled Cost Of Revenue,20083115000.0,23737716000.0,23881748000.0,17280819000.0
EBITDA,14925954000.0,16166694000.0,14751802000.0,8772352000.0
EBIT,13895215000.0,15163979000.0,13821401000.0,7851189000.0
Net Interest Income,639407000.0,1644389000.0,822554000.0,701340000.0
Interest Expense,210913000.0,283787000.0,201039000.0,38504000.0
Interest Income,895894000.0,1978699000.0,1070921000.0,786348000.0
Normalized Income,9167323802.185234,10959609347.826694,10388398025.080538,6081646452.26385
Net Income From Continuing And Discontinued Operation,10607360000.0,11355733000.0,10559289000.0,6196809000.0
Total Expenses,31848926000.0,35384178000.0,36958865000.0,28863377000.0
Rent Expense Supplemental,35285000.0,26924000.0,15076000.0,4874000.0
Diluted Average Shares,93753247.0,94320370.0,94320370.0,94320370.0
Basic Average Shares,93753247.0,94320370.0,94320370.0,94320370.0
Diluted EPS,113.14,120.4,111.95,65.7
Basic EPS,113.14,120.4,111.95,65.7
Diluted NI Availto Com Stockholders,10607360000.0,11355733000.0,10559289000.0,6196809000.0
Net Income Common Stockholders,10607360000.0,11355733000.0,10559289000.0,6196809000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,10607360000.0,11355733000.0,10559289000.0,6196809000.0
Minority Interests,6623000.0,-14191000.0,-5714000.0,629000.0
Net Income Including Noncontrolling Interests,10600737000.0,11369924000.0,10565003000.0,6196180000.0
Net Income Continuous Operations,10600737000.0,11369924000.0,10565003000.0,6196180000.0
Tax Provision,3083565000.0,3510268000.0,3055359000.0,1616505000.0
Pretax Income,13684302000.0,14880192000.0,13620362000.0,7812685000.0
Other Non Operating Income Expenses,11708000.0,15272000.0,21055000.0,8563000.0
Special Income Charges,-683000.0,-17156000.0,-6565000.0,-2448000.0
Other Special Charges,-368000.0,14519000.0,-1692000.0,1501000.0
Write Off,1051000.0,2637000.0,8257000.0,947000.0
Net Non Operating Interest Income Expense,639407000.0,1644389000.0,822554000.0,701340000.0
Total Other Finance Cost,45574000.0,50523000.0,47328000.0,46504000.0
Interest Expense Non Operating,210913000.0,283787000.0,201039000.0,38504000.0
Interest Income Non Operating,895894000.0,1978699000.0,1070921000.0,786348000.0
Operating Income,10527458000.0,12450711000.0,11559051000.0,6368257000.0
Operating Expense,11765811000.0,11646462000.0,13077117000.0,11582558000.0
Other Operating Expenses,4824076000.0,5187986000.0,5034221000.0,4302830000.0
Depreciation And Amortization In Income Statement,1030739000.0,1002715000.0,930401000.0,921163000.0
Amortization,9483000.0,9095000.0,8602000.0,9595000.0
Depreciation Income Statement,1021256000.0,993620000.0,921799000.0,911568000.0
Selling General And Administration,3628268000.0,3517432000.0,5386466000.0,4692834000.0
Selling And Marketing Expense,2700253000.0,2823881000.0,4777124000.0,4220842000.0
General And Administrative Expense,928015000.0,693551000.0,609342000.0,471992000.0
Rent And Landing Fees,35285000.0,26924000.0,15076000.0,4874000.0
Gross Profit,22293269000.0,24097173000.0,24636168000.0,17950815000.0
Cost Of Revenue,20083115000.0,23737716000.0,23881748000.0,17280819000.0
Total Revenue,42376384000.0,47834889000.0,48517916000.0,35231634000.0
Operating Revenue,42376384000.0,47834889000.0,48517916000.0,35231634000.0
