,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-376500000.0,-5514840000.0,340713945.920604,0.0,
Tax Rate For Calcs,0.3,0.3,0.010882,0.19028,
Normalized EBITDA,45338400000.0,61365400000.0,13503200000.0,8540822000.0,
Total Unusual Items,-1255000000.0,-18382800000.0,32912400000.0,0.0,
Total Unusual Items Excluding Goodwill,-1255000000.0,-18382800000.0,31311000000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,42414100000.0,42848300000.0,43040300000.0,6687378000.0,
Reconciled Depreciation,2901600000.0,-17815400000.0,94000000.0,923000.0,
Reconciled Cost Of Revenue,628300000.0,560500000.0,248000000.0,60951000.0,
EBITDA,44083400000.0,42982600000.0,46415600000.0,8540822000.0,
EBIT,41181800000.0,42901000000.0,46321600000.0,8539899000.0,
Net Interest Income,74200000.0,-364000000.0,-2473900000.0,-274843000.0,
Interest Expense,510100000.0,645400000.0,2807800000.0,281021000.0,
Interest Income,594100000.0,402400000.0,333900000.0,21677000.0,
Normalized Income,43292600000.0,55716260000.0,13671413945.920605,6687378000.0,
Net Income From Continuing And Discontinued Operation,42414100000.0,42848300000.0,43040300000.0,6687378000.0,
Total Expenses,-13004800000.0,-38368600000.0,-10332200000.0,393915000.0,
Rent Expense Supplemental,,,38000000.0,947000.0,592000.0
Diluted Average Shares,849000000.0,849000000.0,849225500.0,838342310.0,
Basic Average Shares,849000000.0,849000000.0,849225500.0,838342310.0,
Diluted EPS,49.944,50.456,50.682,7.976,
Basic EPS,49.944,50.456,50.682,7.976,
Diluted NI Availto Com Stockholders,42414100000.0,42848300000.0,43040300000.0,6687378000.0,
Net Income Common Stockholders,42414100000.0,42848300000.0,43040300000.0,6687378000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,42414100000.0,42848300000.0,43040300000.0,6687378000.0,
Minority Interests,0.0,0.0,0.0,,
Net Income Including Noncontrolling Interests,42414100000.0,42848300000.0,43040300000.0,6687378000.0,
Net Income Discontinuous Operations,,,,0.0,0.0
Net Income Continuous Operations,42414100000.0,42848300000.0,43040300000.0,6687378000.0,
Tax Provision,-1742300000.0,-592700000.0,473500000.0,1571500000.0,
Pretax Income,40671700000.0,42255600000.0,43513800000.0,8258878000.0,
Other Non Operating Income Expenses,399200000.0,239900000.0,32500000.0,-1028000.0,
Special Income Charges,-1255000000.0,-18382800000.0,31311000000.0,0.0,
Other Special Charges,-4700000.0,-564200000.0,-42848500000.0,,
Write Off,1259700000.0,18947000000.0,9936100000.0,,
Net Non Operating Interest Income Expense,74200000.0,-364000000.0,-2473900000.0,-274843000.0,
Total Other Finance Cost,9800000.0,121000000.0,,15499000.0,18000.0
Interest Expense Non Operating,510100000.0,645400000.0,2807800000.0,281021000.0,
Interest Income Non Operating,594100000.0,402400000.0,333900000.0,21677000.0,
Operating Income,41453600000.0,60762500000.0,14644600000.0,8534750000.0,
Operating Expense,-13633100000.0,-38929100000.0,-10580200000.0,332964000.0,
Other Operating Expenses,972200000.0,-37190500000.0,-10679200000.0,432531000.0,
Depreciation And Amortization In Income Statement,94800000.0,81600000.0,94000000.0,923000.0,
Depreciation Income Statement,94800000.0,81600000.0,94000000.0,923000.0,
Selling General And Administration,342800000.0,333700000.0,246700000.0,17108000.0,
Selling And Marketing Expense,1000000.0,400000.0,,319000.0,260000.0
General And Administrative Expense,341800000.0,333300000.0,246700000.0,16789000.0,
Rent And Landing Fees,,,38000000.0,947000.0,592000.0
Gross Profit,27820500000.0,21833400000.0,4064400000.0,8867714000.0,
Cost Of Revenue,628300000.0,560500000.0,248000000.0,60951000.0,
Total Revenue,28448800000.0,22393900000.0,4312400000.0,8928665000.0,
Operating Revenue,28448800000.0,22393900000.0,4312400000.0,8928665000.0,
