,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1299124.074874,-7299058.48134,-10181407.874093,1591317.844514,
Tax Rate For Calcs,0.251476,0.264708,0.258957,0.255592,
Normalized EBITDA,3199328000.0,2679400000.0,3603937000.0,3387717000.0,
Total Unusual Items,5166000.0,-27574000.0,-39317000.0,6226000.0,
Total Unusual Items Excluding Goodwill,5166000.0,-27574000.0,-39317000.0,6226000.0,
Net Income From Continuing Operation Net Minority Interest,1861144000.0,1488731000.0,2286553000.0,2248965000.0,
Reconciled Depreciation,712354000.0,589225000.0,451732000.0,347522000.0,
Reconciled Cost Of Revenue,8623550000.0,7882565000.0,8808593000.0,8533779000.0,
EBITDA,3204494000.0,2651826000.0,3564620000.0,3393943000.0,
EBIT,2492140000.0,2062601000.0,3112888000.0,3046421000.0,
Net Interest Income,72101000.0,-33104000.0,-22928000.0,8866000.0,
Interest Expense,5722000.0,37921000.0,27301000.0,25274000.0,
Interest Income,82189000.0,9038000.0,10286000.0,41684000.0,
Normalized Income,1857277124.074874,1509005941.51866,2315688592.125907,2244330317.844514,
Net Income From Continuing And Discontinued Operation,1861144000.0,1488731000.0,2286553000.0,2248965000.0,
Total Expenses,13217453000.0,12225217000.0,13533035000.0,12314895000.0,
Rent Expense Supplemental,3480000.0,2748000.0,1103000.0,2065000.0,
Diluted Average Shares,51193933.0,51180494.0,51175700.0,51167549.0,
Basic Average Shares,51131827.0,51114726.0,51092204.0,51062405.0,
Diluted EPS,36.35,29.09,44.68,43.95,
Basic EPS,36.4,29.13,44.75,44.04,
Diluted NI Availto Com Stockholders,1861144000.0,1488731000.0,2286553000.0,2248965000.0,
Net Income Common Stockholders,1861144000.0,1488731000.0,2286553000.0,2248965000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1861144000.0,1488731000.0,2286553000.0,2248965000.0,
Net Income Including Noncontrolling Interests,1861144000.0,1488731000.0,2286553000.0,2248965000.0,
Net Income Continuous Operations,1861144000.0,1488731000.0,2286553000.0,2248965000.0,
Tax Provision,625274000.0,535949000.0,799034000.0,772182000.0,
Pretax Income,2486418000.0,2024680000.0,3085587000.0,3021147000.0,
Other Non Operating Income Expenses,20501000.0,722000.0,2684000.0,642000.0,
Special Income Charges,5166000.0,-27574000.0,-39317000.0,-8583000.0,
Other Special Charges,-5166000.0,1543000.0,39317000.0,8583000.0,
Write Off,,,,,19000.0
Impairment Of Capital Assets,0.0,26031000.0,0.0,,801000.0
Net Non Operating Interest Income Expense,72101000.0,-33104000.0,-22928000.0,8866000.0,
Total Other Finance Cost,4366000.0,4221000.0,5913000.0,7544000.0,
Interest Expense Non Operating,5722000.0,37921000.0,27301000.0,25274000.0,
Interest Income Non Operating,82189000.0,9038000.0,10286000.0,41684000.0,
Operating Income,2264508000.0,1964769000.0,3035898000.0,2921165000.0,
Operating Expense,4593903000.0,4342652000.0,4724442000.0,3781116000.0,
Other Operating Expenses,2246131000.0,2324234000.0,2595899000.0,2054134000.0,
Depreciation And Amortization In Income Statement,712354000.0,589225000.0,451732000.0,347522000.0,
Amortization,5318000.0,5462000.0,4624000.0,4378000.0,
Depreciation Income Statement,707036000.0,583763000.0,447108000.0,343144000.0,
Selling General And Administration,739675000.0,552097000.0,819031000.0,593471000.0,
Selling And Marketing Expense,646986000.0,472731000.0,737616000.0,524195000.0,
General And Administrative Expense,92689000.0,79366000.0,81415000.0,69276000.0,
Rent And Landing Fees,3480000.0,2748000.0,1103000.0,2065000.0,
Gross Profit,6858411000.0,6307421000.0,7760340000.0,6702281000.0,
Cost Of Revenue,8623550000.0,7882565000.0,8808593000.0,8533779000.0,
Total Revenue,15481961000.0,14189986000.0,16568933000.0,15236060000.0,
Operating Revenue,15481961000.0,14189986000.0,16568933000.0,15236060000.0,
