,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,205530000.0,-70788.711841,52650000.0,-499235.985102,
Tax Rate For Calcs,0.3,0.003436,0.3,0.003916,
Normalized EBITDA,207200000.0,709500000.0,-548100000.0,6216900000.0,
Total Unusual Items,685100000.0,-20600000.0,175500000.0,-127500000.0,
Total Unusual Items Excluding Goodwill,941400000.0,0.0,175500000.0,-127500000.0,
Net Income From Continuing Operation Net Minority Interest,-8164300000.0,-8468200000.0,-8804600000.0,-2086000000.0,
Reconciled Depreciation,2981000000.0,3246200000.0,3649100000.0,3421600000.0,
Reconciled Cost Of Revenue,21112500000.0,38575900000.0,51992700000.0,49889200000.0,
EBITDA,-2057900000.0,-258300000.0,-372600000.0,6089400000.0,
EBIT,-5038900000.0,-3504500000.0,-4021700000.0,2667800000.0,
Net Interest Income,-6211200000.0,-5888400000.0,-4987100000.0,-4725600000.0,
Interest Expense,3075200000.0,4992900000.0,4777800000.0,4762000000.0,
Interest Income,70500000.0,72300000.0,25300000.0,36400000.0,
Normalized Income,-8643870000.0,-8447670788.711841,-8927450000.0,-1958999235.985102,
Net Income From Continuing And Discontinued Operation,-8164300000.0,-8468200000.0,-8804600000.0,-2086000000.0,
Total Expenses,39884700000.0,56912500000.0,73367000000.0,69422800000.0,
Rent Expense Supplemental,145200000.0,162100000.0,161100000.0,157200000.0,
Diluted Average Shares,4965240401.0,4965240401.0,4965240401.0,4965240401.0,
Basic Average Shares,4965240401.0,4965240401.0,4965240401.0,4965240401.0,
Diluted EPS,-1.64,-1.71,-1.77,-0.42,
Basic EPS,-1.64,-1.71,-1.77,-0.42,
Diluted NI Availto Com Stockholders,-8164300000.0,-8468200000.0,-8804600000.0,-2086000000.0,
Net Income Common Stockholders,-8164300000.0,-8468200000.0,-8804600000.0,-2086000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-8164300000.0,-8468200000.0,-8804600000.0,-2086000000.0,
Net Income Including Noncontrolling Interests,-8164300000.0,-8468200000.0,-8804600000.0,-2086000000.0,
Net Income Continuous Operations,-8164300000.0,-8468200000.0,-8804600000.0,-2086000000.0,
Tax Provision,50200000.0,-29200000.0,5100000.0,-8200000.0,
Pretax Income,-8114100000.0,-8497400000.0,-8799500000.0,-2094200000.0,
Other Non Operating Income Expenses,999800000.0,81200000.0,110400000.0,117600000.0,
Special Income Charges,685100000.0,-20600000.0,208000000.0,-134300000.0,
Other Special Charges,-925400000.0,3500000.0,-222300000.0,-10100000.0,
Write Off,240300000.0,17100000.0,14300000.0,144400000.0,
Net Non Operating Interest Income Expense,-6211200000.0,-5888400000.0,-4987100000.0,-4725600000.0,
Total Other Finance Cost,3206500000.0,967800000.0,234600000.0,,
Interest Expense Non Operating,3075200000.0,4992900000.0,4777800000.0,4762000000.0,
Interest Income Non Operating,70500000.0,72300000.0,25300000.0,36400000.0,
Operating Income,-3608900000.0,-2697600000.0,-4358300000.0,2372900000.0,
Operating Expense,18772200000.0,18336600000.0,21374300000.0,19533600000.0,
Other Operating Expenses,8728600000.0,8200700000.0,10665100000.0,10013300000.0,
Depreciation And Amortization In Income Statement,2981000000.0,3246200000.0,3649100000.0,3421600000.0,
Amortization,10900000.0,2400000.0,800000.0,300000.0,
Depreciation Income Statement,2970100000.0,3243800000.0,3648300000.0,3421300000.0,
Selling General And Administration,981500000.0,1435700000.0,1641700000.0,1379600000.0,
Selling And Marketing Expense,637200000.0,1039200000.0,1229600000.0,977400000.0,
General And Administrative Expense,,396500000.0,412100000.0,402200000.0,367200000.0
Rent And Landing Fees,145200000.0,162100000.0,161100000.0,157200000.0,
Gross Profit,15163300000.0,15639000000.0,17016000000.0,21906500000.0,
Cost Of Revenue,21112500000.0,38575900000.0,51992700000.0,49889200000.0,
Total Revenue,36275800000.0,54214900000.0,69008700000.0,71795700000.0,
Operating Revenue,36275800000.0,54214900000.0,69008700000.0,71795700000.0,
