,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,3865348.699485,4303918.137796,6593736.667868,0.0
Tax Rate For Calcs,0.14064,0.169646,0.265887,0.322287
Normalized EBITDA,5287221000.0,3672562000.0,2421288000.0,1152600000.0
Total Unusual Items,27484000.0,25370000.0,24799000.0,0.0
Total Unusual Items Excluding Goodwill,27484000.0,25370000.0,24799000.0,0.0
Net Income From Continuing Operation Net Minority Interest,4258186000.0,2659262000.0,1511163000.0,565200000.0
Reconciled Depreciation,304595000.0,180640000.0,165085000.0,166700000.0
Reconciled Cost Of Revenue,14827290000.0,10799676000.0,7096003000.0,3469800000.0
EBITDA,5314705000.0,3697932000.0,2446087000.0,1152600000.0
EBIT,5010110000.0,3517292000.0,2281002000.0,985900000.0
Net Interest Income,244788000.0,-13866000.0,97655000.0,-270700000.0
Interest Expense,104783000.0,331475000.0,313931000.0,270700000.0
Interest Income,354664000.0,332217000.0,415285000.0,361519000.0
Normalized Income,4234567348.699485,2638195918.137796,1492957736.667868,565200000.0
Net Income From Continuing And Discontinued Operation,4258186000.0,2659262000.0,1511163000.0,565200000.0
Total Expenses,15987624000.0,11675472000.0,7763915000.0,4026500000.0
Rent Expense Supplemental,24647000.0,20758000.0,11278000.0,8705000.0
Diluted Average Shares,342288576.0,327588079.0,324096335.0,324827586.0
Basic Average Shares,342288576.0,327588079.0,324096335.0,294375000.0
Diluted EPS,12.440339,8.117701,4.662697,1.693549
Basic EPS,12.440339,8.117701,4.662697,1.859979
Diluted NI Availto Com Stockholders,4258186000.0,2659262000.0,1511163000.0,565200000.0
Net Income Common Stockholders,4258186000.0,2659262000.0,1511163000.0,565200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4258186000.0,2659262000.0,1511163000.0,565200000.0
Minority Interests,-2846000.0,-50235000.0,21083000.0,16300000.0
Net Income Including Noncontrolling Interests,4261032000.0,2709497000.0,1490080000.0,548900000.0
Net Income Continuous Operations,4261032000.0,2709497000.0,1490080000.0,548900000.0
Tax Provision,689885000.0,540461000.0,523019000.0,230500000.0
Pretax Income,4905327000.0,3185817000.0,1967071000.0,715200000.0
Other Non Operating Income Expenses,20937000.0,16819000.0,39105000.0,393800000.0
Special Income Charges,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,244788000.0,-13866000.0,97655000.0,-270700000.0
Total Other Finance Cost,5093000.0,14608000.0,3699000.0,4470000.0
Interest Expense Non Operating,104783000.0,331475000.0,313931000.0,270700000.0
Interest Income Non Operating,354664000.0,332217000.0,415285000.0,361519000.0
Operating Income,4612118000.0,3157494000.0,1805512000.0,592100000.0
Operating Expense,1160334000.0,875796000.0,667912000.0,556700000.0
Other Operating Expenses,459186000.0,366207000.0,217641000.0,143975000.0
Depreciation And Amortization In Income Statement,304595000.0,180640000.0,165085000.0,166700000.0
Depreciation Income Statement,304595000.0,180640000.0,165085000.0,166700000.0
Selling General And Administration,148650000.0,116184000.0,117257000.0,95454000.0
Selling And Marketing Expense,84222000.0,53886000.0,58701000.0,46568000.0
General And Administrative Expense,64428000.0,62298000.0,58556000.0,48886000.0
Rent And Landing Fees,24647000.0,20758000.0,11278000.0,8705000.0
Gross Profit,5772452000.0,4033290000.0,2473424000.0,1148800000.0
Cost Of Revenue,14827290000.0,10799676000.0,7096003000.0,3469800000.0
Total Revenue,20599742000.0,14832966000.0,9569427000.0,4618600000.0
Operating Revenue,20599742000.0,14832966000.0,9569427000.0,4618600000.0
