,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,64495746.0,-5635672.0,32773919.0,66372020.0,
Tax Rate For Calcs,0.2637,0.2564,0.2531,0.253,
Normalized EBITDA,19198410000.0,16736360000.0,12788600000.0,8974970000.0,
Total Unusual Items,244580000.0,-21980000.0,129490000.0,262340000.0,
Total Unusual Items Excluding Goodwill,244580000.0,-21980000.0,129490000.0,262340000.0,
Net Income From Continuing Operation Net Minority Interest,11720810000.0,11255280000.0,8901920000.0,6250560000.0,
Reconciled Depreciation,1034210000.0,499810000.0,305450000.0,189320000.0,
Reconciled Cost Of Revenue,15430620000.0,13269430000.0,9861970000.0,7936950000.0,
EBITDA,19442990000.0,16714380000.0,12918090000.0,9237310000.0,
EBIT,18408780000.0,16214570000.0,12612640000.0,9047990000.0,
Net Interest Income,4384060000.0,3675660000.0,1678470000.0,244190000.0,
Interest Expense,2489280000.0,1077780000.0,694460000.0,680880000.0,
Interest Income,7342930000.0,5042630000.0,2587900000.0,1004000000.0,
Normalized Income,11540725746.0,11271624328.0,8805203919.0,6054592020.0,
Net Income From Continuing And Discontinued Operation,11720810000.0,11255280000.0,8899540000.0,6248050000.0,
Total Expenses,31236490000.0,22562820000.0,14706370000.0,12171340000.0,
Rent Expense Supplemental,85690000.0,106330000.0,66470000.0,46280000.0,
Diluted Average Shares,92417384.0,85387075.0,84680945.0,83939018.0,
Basic Average Shares,90127608.0,83860701.0,83264178.0,82515091.0,
Diluted EPS,126.82,131.81,105.09,74.44,
Basic EPS,130.05,134.21,106.88,75.72,
Diluted NI Availto Com Stockholders,11720810000.0,11255280000.0,8899540000.0,6248050000.0,
Net Income Common Stockholders,11720810000.0,11255280000.0,8899540000.0,6248050000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,11720810000.0,11255280000.0,8899540000.0,6248050000.0,
Net Income Including Noncontrolling Interests,11720810000.0,11255280000.0,8899540000.0,6248050000.0,
Net Income Discontinuous Operations,,-610000.0,-2380000.0,-2510000.0,-12020000.0
Net Income Continuous Operations,11720810000.0,11255280000.0,8901920000.0,6250560000.0,
Tax Provision,4198690000.0,3881510000.0,3016260000.0,2116550000.0,
Pretax Income,15919500000.0,15136790000.0,11918180000.0,8367110000.0,
Other Non Operating Income Expenses,51320000.0,75540000.0,84660000.0,52510000.0,
Special Income Charges,9680000.0,-88100000.0,68850000.0,-34740000.0,
Other Special Charges,-34330000.0,-510000.0,-104960000.0,-980000.0,
Write Off,24650000.0,88610000.0,36110000.0,35720000.0,
Net Non Operating Interest Income Expense,4384060000.0,3675660000.0,1678470000.0,244190000.0,
Total Other Finance Cost,469590000.0,289190000.0,214970000.0,78930000.0,
Interest Expense Non Operating,2489280000.0,1077780000.0,694460000.0,680880000.0,
Interest Income Non Operating,7342930000.0,5042630000.0,2587900000.0,1004000000.0,
Operating Income,11239540000.0,11407570000.0,10025560000.0,7808070000.0,
Operating Expense,15805870000.0,9293390000.0,4844400000.0,4234390000.0,
Other Operating Expenses,5084850000.0,3049710000.0,1993840000.0,1552040000.0,
Depreciation And Amortization In Income Statement,1034210000.0,499810000.0,302640000.0,186410000.0,
Amortization,142950000.0,105660000.0,45260000.0,25880000.0,
Depreciation Income Statement,891260000.0,394150000.0,257380000.0,160530000.0,
Selling General And Administration,10241290000.0,8185270000.0,4298950000.0,3692040000.0,
Selling And Marketing Expense,8906950000.0,7394730000.0,3778370000.0,3010290000.0,
General And Administrative Expense,1334340000.0,790540000.0,520580000.0,681750000.0,
Rent And Landing Fees,85690000.0,106330000.0,66470000.0,46280000.0,
Gross Profit,27045410000.0,20700960000.0,14869960000.0,12042460000.0,
Cost Of Revenue,15430620000.0,13269430000.0,9861970000.0,7936950000.0,
Total Revenue,42476030000.0,33970390000.0,24731930000.0,19979410000.0,
Operating Revenue,42476030000.0,33970390000.0,24731930000.0,19979410000.0,
