,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,60486928.837596,22848125.876023,-63588401.048493,-111635754.385965,
Tax Rate For Calcs,0.257172,0.253868,0.253745,0.249298,
Normalized EBITDA,14780100000.0,14957300000.0,11587100000.0,5517200000.0,
Total Unusual Items,235200000.0,90000000.0,-250600000.0,-447800000.0,
Total Unusual Items Excluding Goodwill,235200000.0,90000000.0,-250600000.0,-447800000.0,
Net Income From Continuing Operation Net Minority Interest,8213000000.0,8251100000.0,6377200000.0,2567300000.0,
Reconciled Depreciation,1321500000.0,1157100000.0,1043400000.0,978400000.0,
Reconciled Cost Of Revenue,148426400000.0,126333000000.0,111474900000.0,72889100000.0,
EBITDA,15015300000.0,15047300000.0,11336500000.0,5069400000.0,
EBIT,13693800000.0,13890200000.0,10293100000.0,4091000000.0,
Net Interest Income,-3574300000.0,-3770800000.0,-2760400000.0,-1348500000.0,
Interest Expense,2637400000.0,2831700000.0,1747500000.0,671000000.0,
Interest Income,497200000.0,391900000.0,194100000.0,62700000.0,
Normalized Income,8038286928.837596,8183948125.876023,6564211598.951507,2903464245.614035,
Net Income From Continuing And Discontinued Operation,8213000000.0,8251100000.0,6377200000.0,2567300000.0,
Total Expenses,170298600000.0,145721000000.0,130472700000.0,87502400000.0,
Rent Expense Supplemental,131500000.0,112400000.0,116700000.0,19900000.0,
Diluted Average Shares,40168315.0,38901851.0,38268619.0,38268619.0,
Basic Average Shares,40168315.0,38901851.0,38268619.0,38268619.0,
Diluted EPS,204.47,212.1,166.64,67.09,
Basic EPS,204.47,212.1,166.64,67.09,
Diluted NI Availto Com Stockholders,8213000000.0,8251100000.0,6377200000.0,2567300000.0,
Net Income Common Stockholders,8213000000.0,8251100000.0,6377200000.0,2567300000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8213000000.0,8251100000.0,6377200000.0,2567300000.0,
Minority Interests,0.0,0.0,,0.0,0.0
Net Income Including Noncontrolling Interests,8213000000.0,8251100000.0,6377200000.0,2567300000.0,
Net Income Continuous Operations,8213000000.0,8251100000.0,6377200000.0,2567300000.0,
Tax Provision,2843400000.0,2807400000.0,2168400000.0,852600000.0,
Pretax Income,11056400000.0,11058500000.0,8545600000.0,3420000000.0,
Other Non Operating Income Expenses,80900000.0,43200000.0,42600000.0,51700000.0,
Special Income Charges,182100000.0,14200000.0,-267200000.0,-521800000.0,
Other Special Charges,-2500000.0,5400000.0,15100000.0,-2200000.0,
Write Off,-179600000.0,-19600000.0,252100000.0,524000000.0,
Net Non Operating Interest Income Expense,-3574300000.0,-3770800000.0,-2760400000.0,-1348500000.0,
Total Other Finance Cost,1434100000.0,1331000000.0,1207000000.0,740200000.0,
Interest Expense Non Operating,2637400000.0,2831700000.0,1747500000.0,671000000.0,
Interest Income Non Operating,497200000.0,391900000.0,194100000.0,62700000.0,
Operating Income,14626100000.0,14730500000.0,12105700000.0,5369800000.0,
Operating Expense,21872200000.0,19388000000.0,18997800000.0,14613300000.0,
Other Operating Expenses,4414600000.0,3826800000.0,2745400000.0,1845700000.0,
Depreciation And Amortization In Income Statement,1321500000.0,1157100000.0,1043400000.0,978400000.0,
Amortization,5200000.0,5700000.0,7600000.0,77200000.0,
Depreciation Income Statement,1316300000.0,1151400000.0,1035800000.0,978400000.0,
Selling General And Administration,9471100000.0,8684800000.0,10724500000.0,8536500000.0,
Selling And Marketing Expense,8599600000.0,7971200000.0,9955500000.0,8187800000.0,
General And Administrative Expense,871500000.0,713600000.0,769000000.0,348700000.0,
Rent And Landing Fees,131500000.0,112400000.0,116700000.0,19900000.0,
Gross Profit,36498300000.0,34118500000.0,31103500000.0,19983100000.0,
Cost Of Revenue,148426400000.0,126333000000.0,111474900000.0,72889100000.0,
Total Revenue,184924700000.0,160451500000.0,142578400000.0,92872200000.0,
Operating Revenue,184924700000.0,160451500000.0,142578400000.0,92872200000.0,
