,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,22638144.461099,1319342.228131,-3172148.114724,-2271632.101569,
Tax Rate For Calcs,0.176999,0.025323,0.035562,0.167032,
Normalized EBITDA,10517400000.0,9554800000.0,6891100000.0,9312600000.0,
Total Unusual Items,127900000.0,52100000.0,-89200000.0,-13600000.0,
Total Unusual Items Excluding Goodwill,127900000.0,52100000.0,-89200000.0,-13600000.0,
Net Income From Continuing Operation Net Minority Interest,5834200000.0,6158200000.0,3419900000.0,5209400000.0,
Reconciled Depreciation,2785800000.0,2726700000.0,2754300000.0,2867800000.0,
Reconciled Cost Of Revenue,21369100000.0,20007000000.0,20231600000.0,17231900000.0,
EBITDA,10645300000.0,9606900000.0,6801900000.0,9299000000.0,
EBIT,7859500000.0,6880200000.0,4047600000.0,6431200000.0,
Net Interest Income,-728100000.0,-541000000.0,-498400000.0,-160000000.0,
Interest Expense,787700000.0,561900000.0,501700000.0,177300000.0,
Interest Income,59600000.0,20900000.0,3300000.0,17300000.0,
Normalized Income,5728938144.461099,6107419342.228131,3505927851.885276,5220728367.898431,
Net Income From Continuing And Discontinued Operation,5834200000.0,6158200000.0,3419900000.0,5209400000.0,
Total Expenses,58046700000.0,54485700000.0,50556900000.0,46388100000.0,
Rent Expense Supplemental,,,,,16200000.0
Diluted Average Shares,196563124.0,196563124.0,196563124.0,196563124.0,
Basic Average Shares,196563124.0,196563124.0,196563124.0,196563124.0,
Diluted EPS,29.68,31.33,17.4,26.5,
Basic EPS,29.68,31.33,17.4,26.5,
Diluted NI Availto Com Stockholders,5834200000.0,6158200000.0,3419900000.0,5209400000.0,
Net Income Common Stockholders,5834200000.0,6158200000.0,3419900000.0,5209400000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5834200000.0,6158200000.0,3419900000.0,5209400000.0,
Minority Interests,14100000.0,0.0,,247500000.0,316100000.0
Net Income Including Noncontrolling Interests,5820100000.0,6158200000.0,3419900000.0,5209400000.0,
Net Income Continuous Operations,5820100000.0,6158300000.0,3419800000.0,5209300000.0,
Tax Provision,1251700000.0,160000000.0,126100000.0,1044600000.0,
Pretax Income,7071800000.0,6318300000.0,3545900000.0,6253900000.0,
Other Non Operating Income Expenses,78900000.0,4500000.0,2700000.0,1300000.0,
Special Income Charges,113200000.0,8200000.0,-96700000.0,-42300000.0,
Other Special Charges,-166300000.0,-36800000.0,33200000.0,-10100000.0,
Write Off,53100000.0,28600000.0,63500000.0,52400000.0,
Net Non Operating Interest Income Expense,-728100000.0,-541000000.0,-498400000.0,-160000000.0,
Interest Expense Non Operating,787700000.0,561900000.0,501700000.0,177300000.0,
Interest Income Non Operating,59600000.0,20900000.0,3300000.0,17300000.0,
Operating Income,7350400000.0,6635400000.0,4440800000.0,5929800000.0,
Operating Expense,36677600000.0,34478700000.0,30325300000.0,29156200000.0,
Other Operating Expenses,6042900000.0,5755900000.0,5184000000.0,4178800000.0,
Depreciation And Amortization In Income Statement,2785800000.0,2726700000.0,2754300000.0,2867800000.0,
Depreciation Income Statement,2785800000.0,2726700000.0,2754300000.0,2867800000.0,
Research And Development,96000000.0,209800000.0,290700000.0,505900000.0,
Selling General And Administration,13453200000.0,12488500000.0,11933500000.0,11013600000.0,
Selling And Marketing Expense,10648600000.0,9968800000.0,9523000000.0,8903800000.0,
General And Administrative Expense,2804600000.0,2519700000.0,2410500000.0,2109800000.0,
Rent And Landing Fees,,,,,16200000.0
Gross Profit,44028000000.0,41114100000.0,34766100000.0,35086000000.0,
Cost Of Revenue,21369100000.0,20007000000.0,20231600000.0,17231900000.0,
Total Revenue,65397100000.0,61121100000.0,54997700000.0,52317900000.0,
Operating Revenue,65397100000.0,61121100000.0,54997700000.0,52317900000.0,
