,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,186196851.552155,115207171.314741,30241322.025007,953335023.129079,
Tax Rate For Calcs,0.26188,0.322709,0.22401,0.302262,
Normalized EBITDA,31480000000.0,24419000000.0,20593000000.0,21938000000.0,
Total Unusual Items,711000000.0,357000000.0,135000000.0,3154000000.0,
Total Unusual Items Excluding Goodwill,711000000.0,357000000.0,135000000.0,3154000000.0,
Net Income From Continuing Operation Net Minority Interest,14459000000.0,8986000000.0,8191000000.0,10556000000.0,
Reconciled Depreciation,7575000000.0,6870000000.0,6154000000.0,6007000000.0,
Reconciled Cost Of Revenue,113100000000.0,98055000000.0,85743000000.0,75735000000.0,
EBITDA,32191000000.0,24776000000.0,20728000000.0,25092000000.0,
EBIT,24616000000.0,17906000000.0,14574000000.0,19085000000.0,
Net Interest Income,-3662000000.0,-4065000000.0,-3363000000.0,-3435000000.0,
Interest Expense,4225000000.0,4101000000.0,3137000000.0,3304000000.0,
Interest Income,923000000.0,429000000.0,445000000.0,351000000.0,
Normalized Income,13934196851.552155,8744207171.314741,8086241322.025007,8355335023.129079,
Net Income From Continuing And Discontinued Operation,14459000000.0,8986000000.0,8191000000.0,10556000000.0,
Total Expenses,193016000000.0,171550000000.0,149956000000.0,129478000000.0,
Rent Expense Supplemental,959000000.0,742000000.0,823000000.0,774000000.0,
Diluted Average Shares,143784657.0,143784657.0,143784657.0,143784657.0,
Basic Average Shares,143784657.0,143784657.0,143784657.0,143784657.0,
Diluted EPS,100.56,62.5,56.97,73.42,
Basic EPS,100.56,62.5,56.97,73.42,
Diluted NI Availto Com Stockholders,14459000000.0,8986000000.0,8191000000.0,10556000000.0,
Net Income Common Stockholders,14459000000.0,8986000000.0,8191000000.0,10556000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,14459000000.0,8986000000.0,8191000000.0,10556000000.0,
Minority Interests,-592000000.0,-364000000.0,-252000000.0,-528000000.0,
Net Income Including Noncontrolling Interests,15051000000.0,9350000000.0,8443000000.0,11084000000.0,
Net Income Continuous Operations,15051000000.0,9350000000.0,8443000000.0,11084000000.0,
Tax Provision,5340000000.0,4455000000.0,2562000000.0,4770000000.0,
Pretax Income,20391000000.0,13805000000.0,11437000000.0,15781000000.0,
Other Non Operating Income Expenses,248000000.0,260000000.0,171000000.0,172000000.0,
Special Income Charges,-63000000.0,-17000000.0,-150000000.0,2901000000.0,
Other Special Charges,63000000.0,36000000.0,150000000.0,40000000.0,
Write Off,,,,0.0,45000000.0
Restructuring And Mergern Acquisition,0.0,-19000000.0,0.0,-2941000000.0,
Net Non Operating Interest Income Expense,-3662000000.0,-4065000000.0,-3363000000.0,-3435000000.0,
Total Other Finance Cost,360000000.0,393000000.0,671000000.0,482000000.0,
Interest Expense Non Operating,4225000000.0,4101000000.0,3137000000.0,3304000000.0,
Interest Income Non Operating,923000000.0,429000000.0,445000000.0,351000000.0,
Operating Income,22758000000.0,17073000000.0,14492000000.0,15884000000.0,
Operating Expense,79916000000.0,73495000000.0,64213000000.0,53743000000.0,
Other Operating Expenses,18045000000.0,16573000000.0,15180000000.0,14257000000.0,
Depreciation And Amortization In Income Statement,7575000000.0,6870000000.0,6154000000.0,6007000000.0,
Amortization,675000000.0,475000000.0,404000000.0,408000000.0,
Depreciation Income Statement,6900000000.0,6395000000.0,5750000000.0,5599000000.0,
Selling General And Administration,26855000000.0,25527000000.0,21326000000.0,15839000000.0,
Selling And Marketing Expense,5314000000.0,6580000000.0,6397000000.0,3648000000.0,
General And Administrative Expense,21541000000.0,18947000000.0,14929000000.0,12191000000.0,
Rent And Landing Fees,959000000.0,742000000.0,823000000.0,774000000.0,
Gross Profit,102674000000.0,90568000000.0,78705000000.0,69627000000.0,
Cost Of Revenue,113100000000.0,98055000000.0,85743000000.0,75735000000.0,
Total Revenue,215774000000.0,188623000000.0,164448000000.0,145362000000.0,
Operating Revenue,215774000000.0,188623000000.0,164448000000.0,145362000000.0,
