,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-455809750.0,-212038430.0,70957786.0,7682238.0
Tax Rate For Calcs,0.275,0.3221,0.2671,0.2467
Normalized EBITDA,36439270000.0,45792810000.0,33361670000.0,26710980000.0
Total Unusual Items,-1657490000.0,-658300000.0,265660000.0,31140000.0
Total Unusual Items Excluding Goodwill,-1657490000.0,-658300000.0,265660000.0,31140000.0
Net Income From Continuing Operation Net Minority Interest,11213200000.0,17218660000.0,10458440000.0,6386000000.0
Reconciled Depreciation,14983720000.0,14778300000.0,14191420000.0,13996730000.0
Reconciled Cost Of Revenue,148302490000.0,137967470000.0,147820520000.0,125219920000.0
EBITDA,34781780000.0,45134510000.0,33627330000.0,26742120000.0
EBIT,19798060000.0,30356210000.0,19435910000.0,12745390000.0
Net Interest Income,-4394790000.0,-4922450000.0,-5249110000.0,-4248650000.0
Interest Expense,4331640000.0,4954170000.0,5164040000.0,4268650000.0
Interest Income,309740000.0,347840000.0,257080000.0,402980000.0
Normalized Income,12414880250.0,17664921570.0,10263737786.0,6362542238.0
Net Income From Continuing And Discontinued Operation,11213200000.0,17218660000.0,10458440000.0,6386000000.0
Total Expenses,236839780000.0,220297580000.0,222070560000.0,193856460000.0
Rent Expense Supplemental,382990000.0,437070000.0,214400000.0,119400000.0
Diluted Average Shares,635100946.0,635100946.0,635100946.0,635100946.0
Basic Average Shares,635100946.0,635100946.0,635100946.0,635100946.0
Diluted EPS,17.66,27.11,16.47,10.06
Basic EPS,17.66,27.11,16.47,10.06
Diluted NI Availto Com Stockholders,11213200000.0,17218660000.0,10458440000.0,6386000000.0
Net Income Common Stockholders,11213200000.0,17218660000.0,10458440000.0,6386000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,11213200000.0,17218660000.0,10458440000.0,6386000000.0
Net Income Including Noncontrolling Interests,11213200000.0,17218660000.0,10458440000.0,6386000000.0
Net Income Continuous Operations,11213200000.0,17218660000.0,10458440000.0,6386000000.0
Tax Provision,4253220000.0,8183380000.0,3813430000.0,2090740000.0
Pretax Income,15466420000.0,25402040000.0,14271870000.0,8476740000.0
Other Non Operating Income Expenses,89280000.0,35830000.0,58760000.0,128980000.0
Special Income Charges,-1657490000.0,-658300000.0,265660000.0,31140000.0
Other Special Charges,479890000.0,658300000.0,-39890000.0,-90220000.0
Write Off,-103720000.0,0.0,-225770000.0,
Impairment Of Capital Assets,1281320000.0,0.0,,
Restructuring And Mergern Acquisition,262910000.0,460880000.0,,
Net Non Operating Interest Income Expense,-4394790000.0,-4922450000.0,-5249110000.0,-4248650000.0
Total Other Finance Cost,372890000.0,316120000.0,342150000.0,382980000.0
Interest Expense Non Operating,4331640000.0,4954170000.0,5164040000.0,4268650000.0
Interest Income Non Operating,309740000.0,347840000.0,257080000.0,402980000.0
Operating Income,20969950000.0,29906030000.0,19152680000.0,11951680000.0
Operating Expense,88537290000.0,82330110000.0,74250040000.0,68636540000.0
Other Operating Expenses,22635720000.0,20492160000.0,17377370000.0,14624040000.0
Depreciation And Amortization In Income Statement,14983720000.0,14778300000.0,14191420000.0,13996730000.0
Amortization,1176590000.0,1265610000.0,1230220000.0,1201580000.0
Depreciation Income Statement,13807130000.0,13512690000.0,12961200000.0,12795150000.0
Selling General And Administration,22485750000.0,20175430000.0,20444070000.0,17745890000.0
Selling And Marketing Expense,19658840000.0,18033740000.0,18507710000.0,16083170000.0
General And Administrative Expense,2826910000.0,2141690000.0,1936360000.0,1662720000.0
Rent And Landing Fees,382990000.0,437070000.0,214400000.0,119400000.0
Gross Profit,109507240000.0,112236140000.0,93402720000.0,80588220000.0
Cost Of Revenue,148302490000.0,137967470000.0,147820520000.0,125219920000.0
Total Revenue,257809730000.0,250203610000.0,241223240000.0,205808140000.0
Operating Revenue,257809730000.0,250203610000.0,241223240000.0,205808140000.0
