,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.229364,0.22853,0.230535,0.2289,
Net Income From Continuing Operation Net Minority Interest,7512461000.0,6118956000.0,5030146000.0,3701401000.0,
Reconciled Depreciation,120625000.0,93099000.0,72130000.0,66119000.0,
Net Interest Income,11290692000.0,9320023000.0,7824885000.0,5830811000.0,
Interest Expense,5405145000.0,3878565000.0,2759120000.0,2085864000.0,
Interest Income,16695837000.0,13198588000.0,10584005000.0,7916675000.0,
Normalized Income,7512461000.0,6118956000.0,5030146000.0,3701401000.0,
Net Income From Continuing And Discontinued Operation,7512461000.0,6118956000.0,5030146000.0,3701401000.0,
Diluted Average Shares,500397336.0,500952903.0,498973672.0,491553918.0,
Basic Average Shares,499409949.0,498619732.0,497566892.0,488311478.0,
Diluted EPS,15.01,12.21,10.08,7.53,
Basic EPS,15.04,12.27,10.11,7.58,
Diluted NI Availto Com Stockholders,7512461000.0,6118956000.0,5030146000.0,3701401000.0,
Net Income Common Stockholders,7512461000.0,6118956000.0,5030146000.0,3701401000.0,
Net Income,7512461000.0,6118956000.0,5030146000.0,3701401000.0,
Net Income Including Noncontrolling Interests,7512461000.0,6118956000.0,5030146000.0,3701401000.0,
Net Income Continuous Operations,7512461000.0,6118956000.0,5030146000.0,3701401000.0,
Tax Provision,2235928000.0,1812601000.0,1507051000.0,1098758000.0,
Pretax Income,9748389000.0,7931557000.0,6537197000.0,4800159000.0,
Other Non Operating Income Expenses,,,356413000.0,255333000.0,186275000.0
Gain On Sale Of Security,239714000.0,41744000.0,84920000.0,53281000.0,
Operating Expense,2547316000.0,2066587000.0,1652435000.0,1171419000.0,
Other Operating Expenses,562795000.0,408984000.0,305296000.0,261748000.0,
Depreciation And Amortization In Income Statement,120625000.0,93099000.0,72130000.0,66119000.0,
Amortization,8025000.0,7189000.0,5094000.0,4745000.0,
Depreciation Income Statement,112600000.0,85910000.0,67036000.0,66119000.0,
Selling General And Administration,71828000.0,60082000.0,46581000.0,26778000.0,
Selling And Marketing Expense,3722000.0,5446000.0,5225000.0,3134000.0,
General And Administrative Expense,68106000.0,54636000.0,41356000.0,23644000.0,
Insurance And Claims,1119000.0,1156000.0,745000.0,766000.0,
Rent And Landing Fees,6045000.0,2684000.0,3022000.0,3491000.0,
Total Revenue,12578874000.0,10213326000.0,8577256000.0,6316306000.0,
Operating Revenue,12578874000.0,10213326000.0,8577256000.0,6316306000.0,
