,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-229442210.28396,40230327.047463,-98044272.930649,6532177.263969
Tax Rate For Calcs,0.259785,0.264325,0.259582,0.258189
Normalized EBITDA,2861300000.0,2204600000.0,1887600000.0,984100000.0
Total Unusual Items,-883200000.0,152200000.0,-377700000.0,25300000.0
Total Unusual Items Excluding Goodwill,-883200000.0,152200000.0,-377700000.0,25300000.0
Net Income From Continuing Operation Net Minority Interest,1157400000.0,1615100000.0,992900000.0,616000000.0
Reconciled Depreciation,399900000.0,149400000.0,162600000.0,169500000.0
Reconciled Cost Of Revenue,10005800000.0,6732600000.0,4252600000.0,3574600000.0
EBITDA,1978100000.0,2356800000.0,1509900000.0,1009400000.0
EBIT,1578200000.0,2207400000.0,1347300000.0,839900000.0
Net Interest Income,301000000.0,313700000.0,224900000.0,105300000.0
Interest Expense,14600000.0,12000000.0,6300000.0,9500000.0
Interest Income,315600000.0,325700000.0,231200000.0,114800000.0
Normalized Income,1811157789.71604,1503130327.047463,1272555727.069351,597232177.263969
Net Income From Continuing And Discontinued Operation,1157400000.0,1615100000.0,992900000.0,616000000.0
Total Expenses,14984800000.0,11241000000.0,8540800000.0,7359500000.0
Rent Expense Supplemental,15300000.0,4600000.0,0.0,400000.0
Diluted Average Shares,25000000.0,25000000.0,25000000.0,25000000.0
Basic Average Shares,25000000.0,25000000.0,25000000.0,25000000.0
Diluted EPS,46.3,64.6,39.7,24.6
Basic EPS,46.3,64.6,39.7,24.6
Diluted NI Availto Com Stockholders,1157400000.0,1615100000.0,992900000.0,616000000.0
Net Income Common Stockholders,1157400000.0,1615100000.0,992900000.0,616000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1157400000.0,1615100000.0,992900000.0,616000000.0
Net Income Including Noncontrolling Interests,1157400000.0,1615100000.0,992900000.0,616000000.0
Net Income Continuous Operations,1157400000.0,1615100000.0,992900000.0,616000000.0
Tax Provision,406200000.0,580300000.0,348100000.0,214400000.0
Pretax Income,1563600000.0,2195400000.0,1341000000.0,830400000.0
Other Non Operating Income Expenses,1400000.0,20200000.0,2100000.0,4600000.0
Special Income Charges,-883200000.0,152200000.0,-377700000.0,25300000.0
Other Special Charges,-89300000.0,-164600000.0,-24900000.0,-28200000.0
Write Off,4600000.0,12400000.0,300000.0,2900000.0
Restructuring And Mergern Acquisition,967900000.0,,402300000.0,
Net Non Operating Interest Income Expense,301000000.0,313700000.0,224900000.0,105300000.0
Interest Expense Non Operating,14600000.0,12000000.0,6300000.0,9500000.0
Interest Income Non Operating,315600000.0,325700000.0,231200000.0,114800000.0
Operating Income,2148100000.0,1714300000.0,1488900000.0,696500000.0
Operating Expense,4979000000.0,4508400000.0,4288200000.0,3784900000.0
Other Operating Expenses,571000000.0,603000000.0,573100000.0,463000000.0
Depreciation And Amortization In Income Statement,399900000.0,149400000.0,162600000.0,169500000.0
Amortization,14500000.0,1300000.0,0.0,
Depreciation Income Statement,385400000.0,148100000.0,162600000.0,169500000.0
Selling General And Administration,1448400000.0,1336900000.0,961500000.0,849900000.0
Selling And Marketing Expense,939000000.0,915400000.0,662200000.0,569900000.0
General And Administrative Expense,509400000.0,421500000.0,299300000.0,280000000.0
Rent And Landing Fees,15300000.0,4600000.0,0.0,400000.0
Gross Profit,7127100000.0,6222700000.0,5777100000.0,4481400000.0
Cost Of Revenue,10005800000.0,6732600000.0,4252600000.0,3574600000.0
Total Revenue,17132900000.0,12955300000.0,10029700000.0,8056000000.0
Operating Revenue,17132900000.0,12955300000.0,10029700000.0,8056000000.0
