,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-1159004.606609,28080797.938213,1803253.064679,637558.863962,
Tax Rate For Calcs,0.251958,0.25528,0.253979,0.255024,
Normalized EBITDA,11657300000.0,11416100000.0,8992600000.0,8145500000.0,
Total Unusual Items,-4600000.0,110000000.0,7100000.0,2500000.0,
Total Unusual Items Excluding Goodwill,-4600000.0,110000000.0,7100000.0,2500000.0,
Net Income From Continuing Operation Net Minority Interest,6544100000.0,6675000000.0,5464900000.0,5094000000.0,
Reconciled Depreciation,2035800000.0,1578800000.0,1131000000.0,827300000.0,
Reconciled Cost Of Revenue,34291400000.0,29833600000.0,31919400000.0,20089200000.0,
EBITDA,11652700000.0,11526100000.0,8999700000.0,8148000000.0,
EBIT,9616900000.0,9947300000.0,7868700000.0,7320700000.0,
Net Interest Income,-797000000.0,-866700000.0,-500000000.0,-245100000.0,
Interest Expense,868600000.0,984200000.0,543300000.0,482900000.0,
Interest Income,208500000.0,247800000.0,284300000.0,282200000.0,
Normalized Income,6547540995.393391,6593080797.938213,5459603253.064679,5092137558.863962,
Net Income From Continuing And Discontinued Operation,6544100000.0,6675000000.0,5464900000.0,5094000000.0,
Total Expenses,40352900000.0,34991900000.0,35939000000.0,23106300000.0,
Rent Expense Supplemental,71300000.0,126000000.0,96600000.0,134000000.0,
Diluted Average Shares,1099810083.0,1099810083.0,1099810083.0,1099810083.0,
Basic Average Shares,1099810083.0,1099810083.0,1099810083.0,1099810083.0,
Diluted EPS,5.95,6.07,4.97,4.63,
Basic EPS,5.95,6.07,4.97,4.63,
Diluted NI Availto Com Stockholders,6544100000.0,6675000000.0,5464900000.0,5094000000.0,
Net Income Common Stockholders,6544100000.0,6675000000.0,5464900000.0,5094000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,6544100000.0,6675000000.0,5464900000.0,5094000000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,6544100000.0,6675000000.0,5464900000.0,5094000000.0,
Net Income Continuous Operations,6544100000.0,6675000000.0,5464900000.0,5094000000.0,
Tax Provision,2204200000.0,2288100000.0,1860500000.0,1743800000.0,
Pretax Income,8748300000.0,8963100000.0,7325400000.0,6837800000.0,
Other Non Operating Income Expenses,65800000.0,77900000.0,74700000.0,124200000.0,
Special Income Charges,-41900000.0,105600000.0,1500000.0,700000.0,
Other Special Charges,41500000.0,-110100000.0,-1800000.0,-800000.0,
Write Off,400000.0,4500000.0,300000.0,100000.0,
Net Non Operating Interest Income Expense,-797000000.0,-866700000.0,-500000000.0,-245100000.0,
Total Other Finance Cost,136900000.0,130300000.0,241000000.0,44400000.0,
Interest Expense Non Operating,868600000.0,984200000.0,543300000.0,482900000.0,
Interest Income Non Operating,208500000.0,247800000.0,284300000.0,282200000.0,
Operating Income,9344000000.0,9463100000.0,7570800000.0,6909000000.0,
Operating Expense,6061500000.0,5158300000.0,4019600000.0,3017100000.0,
Other Operating Expenses,3194800000.0,2560100000.0,2204800000.0,1528800000.0,
Depreciation And Amortization In Income Statement,2035800000.0,1578800000.0,1131000000.0,827300000.0,
Amortization,57500000.0,48800000.0,,,
Depreciation Income Statement,1978300000.0,1530000000.0,1131000000.0,827300000.0,
Selling General And Administration,468400000.0,503900000.0,288400000.0,335400000.0,
Selling And Marketing Expense,,,71500000.0,67900000.0,22800000.0
General And Administrative Expense,468400000.0,503900000.0,288400000.0,267500000.0,
Rent And Landing Fees,71300000.0,126000000.0,96600000.0,134000000.0,
Gross Profit,15405500000.0,14621400000.0,11590400000.0,9926100000.0,
Cost Of Revenue,34291400000.0,29833600000.0,31919400000.0,20089200000.0,
Total Revenue,49696900000.0,44455000000.0,43509800000.0,30015300000.0,
Operating Revenue,49696900000.0,44455000000.0,43509800000.0,30015300000.0,
