,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-8826159.975263,-3243899.678119,-1553050.825406,-1419536.118807,
Tax Rate For Calcs,0.244661,0.232421,0.234211,0.222987,
Total Unusual Items,-36075000.0,-13957000.0,-6631000.0,-6366000.0,
Total Unusual Items Excluding Goodwill,-36075000.0,-13957000.0,-6631000.0,-6366000.0,
Net Income From Continuing Operation Net Minority Interest,21059266000.0,15347190000.0,14279253000.0,11298342000.0,
Reconciled Depreciation,2585137000.0,2254439000.0,1854177000.0,1401666000.0,
Net Interest Income,80115815000.0,51570838000.0,44252819000.0,32341249000.0,
Interest Expense,80521494000.0,53976293000.0,37801264000.0,26876058000.0,
Interest Income,160637309000.0,105547131000.0,82054083000.0,59217307000.0,
Normalized Income,21086514840.02474,15357903100.32188,14284330949.174595,11303288463.881193,
Net Income From Continuing And Discontinued Operation,21059266000.0,15347190000.0,14279253000.0,11298342000.0,
Diluted Average Shares,745797822.0,671459097.0,656909011.0,633122608.0,
Basic Average Shares,743579911.0,667949068.0,653175247.0,626572999.0,
Diluted EPS,28.24,22.86,21.74,17.85,
Basic EPS,28.32,22.98,21.86,18.03,
Diluted NI Availto Com Stockholders,21059266000.0,15347190000.0,14279253000.0,11298342000.0,
Net Income Common Stockholders,21059266000.0,15347190000.0,14279253000.0,11298342000.0,
Net Income,21059266000.0,15347190000.0,14279253000.0,11298342000.0,
Net Income Including Noncontrolling Interests,21059266000.0,15347190000.0,14279253000.0,11298342000.0,
Net Income Extraordinary,0.0,0.0,0.0,,0.0
Net Income Continuous Operations,21059273000.0,15347222000.0,14279262000.0,11298349000.0,
Tax Provision,6821300000.0,4647100000.0,4367200000.0,3242400000.0,
Pretax Income,27880573000.0,19994322000.0,18646462000.0,14540749000.0,
Special Income Charges,-36075000.0,-13957000.0,-6631000.0,-6366000.0,
Other Special Charges,36075000.0,13957000.0,6631000.0,6366000.0,
Gain On Sale Of Security,2351902000.0,517489000.0,-442789000.0,1429695000.0,
Operating Expense,59688453000.0,43649936000.0,33516799000.0,25670342000.0,
Other Operating Expenses,12776031000.0,9391068000.0,5837603000.0,6125784000.0,
Depreciation And Amortization In Income Statement,2585137000.0,2254439000.0,1854177000.0,1401666000.0,
Depreciation Income Statement,2585137000.0,2254439000.0,1854177000.0,1401666000.0,
Selling General And Administration,8502583000.0,8007053000.0,5318374000.0,2499028000.0,
Selling And Marketing Expense,7481087000.0,7173356000.0,4610017000.0,2145048000.0,
General And Administrative Expense,1021496000.0,833697000.0,708357000.0,353980000.0,
Insurance And Claims,1275050000.0,880284000.0,669103000.0,451783000.0,
Rent And Landing Fees,3038465000.0,2049384000.0,1873180000.0,1376167000.0,
Total Revenue,105415001000.0,68556215000.0,54604092000.0,42284557000.0,
Operating Revenue,105415001000.0,68556215000.0,54604092000.0,42284557000.0,
