,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-287345520.0,-795131050.0,-28123330.0,-129690360.0,
Tax Rate For Calcs,0.3124,0.2765,0.2621,0.1116,
Normalized EBITDA,71898600000.0,64275600000.0,39967600000.0,46523100000.0,
Total Unusual Items,-919800000.0,-2875700000.0,-107300000.0,-1162100000.0,
Total Unusual Items Excluding Goodwill,-919800000.0,-2875700000.0,-107300000.0,-1162100000.0,
Net Income From Continuing Operation Net Minority Interest,34858800000.0,31729700000.0,19275000000.0,26481500000.0,
Reconciled Depreciation,16494200000.0,15216600000.0,12445800000.0,11265200000.0,
Reconciled Cost Of Revenue,137415200000.0,132362100000.0,118997000000.0,108151800000.0,
EBITDA,70978800000.0,61399900000.0,39860300000.0,45361000000.0,
EBIT,55066800000.0,46480800000.0,27414500000.0,34095800000.0,
Net Interest Income,-1040000000.0,-39500000.0,54100000.0,-170400000.0,
Interest Expense,4403900000.0,2680900000.0,1289500000.0,368400000.0,
Interest Income,3532400000.0,2857600000.0,1458900000.0,316000000.0,
Normalized Income,35491254480.0,33810268950.0,19354176670.0,27513909640.0,
Net Income From Continuing And Discontinued Operation,34858800000.0,31729700000.0,19275000000.0,26481500000.0,
Total Expenses,263300700000.0,242629700000.0,220795300000.0,200662800000.0,
Rent Expense Supplemental,713400000.0,1204200000.0,1337600000.0,1241900000.0,
Diluted Average Shares,582870491.0,585938609.0,585938609.0,585938609.0,
Basic Average Shares,582870491.0,585938609.0,585938609.0,585938609.0,
Diluted EPS,59.81,54.16,32.9,45.19,
Basic EPS,59.81,54.16,32.9,45.19,
Diluted NI Availto Com Stockholders,34858800000.0,31729700000.0,19275000000.0,26481500000.0,
Net Income Common Stockholders,34858800000.0,31729700000.0,19275000000.0,26481500000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,34858800000.0,31729700000.0,19275000000.0,26481500000.0,
Minority Interests,23100000.0,40000000.0,-1500000.0,10400000.0,
Net Income Including Noncontrolling Interests,34835700000.0,31689700000.0,19276500000.0,26471100000.0,
Net Income Continuous Operations,34835700000.0,31689700000.0,19276500000.0,26471100000.0,
Tax Provision,15827200000.0,12110200000.0,6848500000.0,7256300000.0,
Pretax Income,50662900000.0,43799900000.0,26125000000.0,33727400000.0,
Other Non Operating Income Expenses,2318500000.0,2057200000.0,1288400000.0,1345600000.0,
Special Income Charges,-919800000.0,-2875700000.0,-107300000.0,-1162100000.0,
Other Special Charges,89400000.0,-1032700000.0,-132300000.0,-760100000.0,
Write Off,134000000.0,2298100000.0,0.0,-22300000.0,
Impairment Of Capital Assets,696400000.0,623700000.0,239600000.0,1922200000.0,
Restructuring And Mergern Acquisition,0.0,986600000.0,0.0,,-1528500000.0
Net Non Operating Interest Income Expense,-1040000000.0,-39500000.0,54100000.0,-170400000.0,
Total Other Finance Cost,168500000.0,216200000.0,115300000.0,118000000.0,
Interest Expense Non Operating,4403900000.0,2680900000.0,1289500000.0,368400000.0,
Interest Income Non Operating,3532400000.0,2857600000.0,1458900000.0,316000000.0,
Operating Income,50480600000.0,44415300000.0,25376000000.0,33002700000.0,
Operating Expense,125885500000.0,110267600000.0,101798300000.0,92511000000.0,
Other Operating Expenses,36390300000.0,32089100000.0,31288000000.0,23949700000.0,
Depreciation And Amortization In Income Statement,15912000000.0,14919100000.0,12445800000.0,11265200000.0,
Amortization,4630300000.0,5737700000.0,4112900000.0,3286600000.0,
Depreciation Income Statement,11281700000.0,9181400000.0,8332900000.0,7978600000.0,
Research And Development,951000000.0,756300000.0,395100000.0,652400000.0,
Selling General And Administration,,25024100000.0,23481700000.0,21770200000.0,24297200000.0
Selling And Marketing Expense,21850600000.0,16847200000.0,16857600000.0,14966700000.0,
General And Administrative Expense,8735800000.0,8176900000.0,6624100000.0,6803500000.0,
Rent And Landing Fees,713400000.0,1204200000.0,1337600000.0,1241900000.0,
Gross Profit,176366100000.0,154682900000.0,127174300000.0,125513700000.0,
Cost Of Revenue,137415200000.0,132362100000.0,118997000000.0,108151800000.0,
Total Revenue,313781300000.0,287045000000.0,246171300000.0,233665500000.0,
Operating Revenue,313781300000.0,287045000000.0,246171300000.0,233665500000.0,
