,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-137989170.0,-1355402230.0,2123239740.0,112623980.0,
Tax Rate For Calcs,0.2733,0.3497,0.2983,0.2686,
Normalized EBITDA,26072000000.0,16510000000.0,8899500000.0,15672200000.0,
Total Unusual Items,-504900000.0,-3875900000.0,7117800000.0,419300000.0,
Total Unusual Items Excluding Goodwill,-504900000.0,-3875900000.0,7117800000.0,419300000.0,
Net Income From Continuing Operation Net Minority Interest,12258100000.0,1479900000.0,5821200000.0,8037300000.0,
Reconciled Depreciation,3951000000.0,3638100000.0,3561500000.0,3090600000.0,
Reconciled Cost Of Revenue,567837800000.0,458466800000.0,534211200000.0,492007900000.0,
EBITDA,25567100000.0,12634100000.0,16017300000.0,16091500000.0,
EBIT,21616100000.0,8995600000.0,12432700000.0,13000900000.0,
Net Interest Income,-3953600000.0,-4497000000.0,-2939100000.0,-2182700000.0,
Interest Expense,5609900000.0,6371600000.0,4543500000.0,2413300000.0,
Interest Income,2194700000.0,2392100000.0,2344300000.0,1096500000.0,
Normalized Income,12625010830.0,4000397770.0,826639740.0,7730623980.0,
Net Income From Continuing And Discontinued Operation,12258100000.0,1479900000.0,5821200000.0,8037300000.0,
Total Expenses,614055300000.0,499510800000.0,573049200000.0,525304100000.0,
Rent Expense Supplemental,412500000.0,393400000.0,231100000.0,189300000.0,
Diluted Average Shares,1298715139.0,1299678605.0,1299678605.0,1166995067.0,
Basic Average Shares,1298715139.0,1299678605.0,1299678605.0,1166995067.0,
Diluted EPS,9.44,1.14,4.48,6.89,
Basic EPS,9.44,1.14,4.48,6.89,
Diluted NI Availto Com Stockholders,12258100000.0,1479900000.0,5821200000.0,8037300000.0,
Net Income Common Stockholders,12258100000.0,1479900000.0,5821200000.0,8037300000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,12258100000.0,1479900000.0,5821200000.0,8037300000.0,
Minority Interests,-7300000.0,0.0,,,
Net Income Including Noncontrolling Interests,12258100000.0,1479900000.0,5821200000.0,8037300000.0,
Net Income Continuous Operations,12258100000.0,1479900000.0,5821200000.0,8037300000.0,
Tax Provision,4373900000.0,917500000.0,2353500000.0,2844100000.0,
Pretax Income,16006200000.0,2624000000.0,7889200000.0,10587600000.0,
Other Non Operating Income Expenses,67000000.0,31800000.0,92500000.0,170500000.0,
Special Income Charges,-18700000.0,-326000000.0,-27800000.0,323400000.0,
Other Special Charges,18700000.0,300300000.0,27800000.0,-323400000.0,
Write Off,0.0,25700000.0,0.0,,0.0
Net Non Operating Interest Income Expense,-3953600000.0,-4497000000.0,-2939100000.0,-2182700000.0,
Total Other Finance Cost,538400000.0,517500000.0,739900000.0,865900000.0,
Interest Expense Non Operating,5609900000.0,6371600000.0,4543500000.0,2413300000.0,
Interest Income Non Operating,2194700000.0,2392100000.0,2344300000.0,1096500000.0,
Operating Income,21617200000.0,11662800000.0,7960600000.0,15377900000.0,
Operating Expense,46217500000.0,41044000000.0,38838000000.0,33296200000.0,
Other Operating Expenses,10204100000.0,9557100000.0,9646100000.0,7818600000.0,
Depreciation And Amortization In Income Statement,3951000000.0,3638500000.0,3584600000.0,3090600000.0,
Amortization,24900000.0,41300000.0,,,
Depreciation Income Statement,3926100000.0,3597200000.0,3584600000.0,3090600000.0,
Selling General And Administration,24178600000.0,21746800000.0,20042500000.0,17204700000.0,
Selling And Marketing Expense,22215000000.0,20081200000.0,18267400000.0,15594400000.0,
General And Administrative Expense,1963600000.0,1665600000.0,1775100000.0,1610300000.0,
Rent And Landing Fees,412500000.0,393400000.0,231100000.0,189300000.0,
Gross Profit,67834700000.0,52706800000.0,46798600000.0,48674100000.0,
Cost Of Revenue,567837800000.0,458466800000.0,534211200000.0,492007900000.0,
Total Revenue,635672500000.0,511173600000.0,581009800000.0,540682000000.0,
Operating Revenue,635672500000.0,511173600000.0,581009800000.0,540682000000.0,
