,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-922798902.678927,654581162.601626,1738650000.0,-2856378532.192677,
Tax Rate For Calcs,0.234475,0.248862,0.3,0.25173,
Total Unusual Items,-3935600000.0,2630300000.0,5795500000.0,-11347000000.0,
Total Unusual Items Excluding Goodwill,-3935600000.0,2630300000.0,5795500000.0,-11347000000.0,
Net Income From Continuing Operation Net Minority Interest,280551100000.0,263862000000.0,108184500000.0,141192900000.0,
Reconciled Depreciation,17669700000.0,13884600000.0,131456500000.0,10489900000.0,
Net Interest Income,563377800000.0,513683100000.0,440592200000.0,339234000000.0,
Interest Expense,710363100000.0,613907400000.0,433891500000.0,349226600000.0,
Interest Income,1273740900000.0,1127590500000.0,874483700000.0,688460600000.0,
Normalized Income,283563901097.32104,261886281162.60162,104127650000.0,149683521467.8073,
Net Income From Continuing And Discontinued Operation,280551100000.0,263862000000.0,108184500000.0,141192900000.0,
Diluted Average Shares,3111000000.0,3104000000.0,3087800000.0,3075700000.0,
Basic Average Shares,3092600000.0,3081700000.0,3073000000.0,3066500000.0,
Diluted EPS,90.18,85.01,35.04,45.91,
Basic EPS,90.72,85.62,35.2,46.04,
Diluted NI Availto Com Stockholders,280551100000.0,263862000000.0,108184500000.0,141192900000.0,
Net Income Common Stockholders,280551100000.0,263862000000.0,108184500000.0,141192900000.0,
Net Income,280551100000.0,263862000000.0,108184500000.0,141192900000.0,
Minority Interests,-1356900000.0,-1060500000.0,-1000600000.0,-876000000.0,
Net Income Including Noncontrolling Interests,281908000000.0,264922500000.0,109185100000.0,142068900000.0,
Net Income Extraordinary,0.0,0.0,0.0,0.0,
Net Income Continuous Operations,281908000000.0,264922500000.0,109185100000.0,142068900000.0,
Tax Provision,86104200000.0,87544600000.0,77685200000.0,47651100000.0,
Pretax Income,367221600000.0,351780000000.0,186211800000.0,189294600000.0,
Special Income Charges,-3935600000.0,2630300000.0,5795500000.0,-11347000000.0,
Other Special Charges,3943600000.0,-2623700000.0,-5447300000.0,11337500000.0,
Restructuring And Mergern Acquisition,-8000000.0,-6600000.0,-348200000.0,9500000.0,
Gain On Sale Of Security,20452200000.0,18694400000.0,-2367300000.0,14227100000.0,
Operating Expense,398617100000.0,376837500000.0,405520500000.0,257051400000.0,
Other Operating Expenses,201407600000.0,202768700000.0,144169100000.0,132000400000.0,
Depreciation And Amortization In Income Statement,17669700000.0,13884600000.0,131456500000.0,10489900000.0,
Amortization,,0.0,0.0,0.0,0.0
Depreciation Income Statement,17669700000.0,13884600000.0,131456500000.0,10489900000.0,
Selling General And Administration,3957400000.0,3690300000.0,4076700000.0,3681500000.0,
Selling And Marketing Expense,1754000000.0,1672200000.0,2162300000.0,1475900000.0,
General And Administrative Expense,2203400000.0,2018100000.0,1914400000.0,2205600000.0,
Insurance And Claims,17949600000.0,16105600000.0,14255400000.0,12897400000.0,
Rent And Landing Fees,20901600000.0,18338500000.0,14812500000.0,13769800000.0,
Total Revenue,848908400000.0,766030400000.0,624158400000.0,511976400000.0,
Operating Revenue,848908400000.0,766030400000.0,624158400000.0,511976400000.0,
