,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-94729376.993045,-33555838.143853,54744.565059,20228644.399845
Tax Rate For Calcs,0.260675,0.270394,0.273723,0.262369
Total Unusual Items,-363400000.0,-124100000.0,200000.0,77100000.0
Total Unusual Items Excluding Goodwill,-363400000.0,-124100000.0,200000.0,77100000.0
Net Income From Continuing Operation Net Minority Interest,88723100000.0,81477900000.0,64172800000.0,45567700000.0
Reconciled Depreciation,11703200000.0,9001300000.0,6778000000.0,5627300000.0
EBIT,480579100000.0,397745400000.0,290125500000.0,207688400000.0
Net Interest Income,-245873200000.0,-186065300000.0,-123802600000.0,-96294600000.0
Interest Expense,243097000000.0,183995100000.0,122014200000.0,94982600000.0
Interest Income,676235600000.0,539511700000.0,402868600000.0,314270700000.0
Normalized Income,88991770623.00696,81568444161.85614,64172654744.565056,45510828644.39984
Net Income From Continuing And Discontinued Operation,88723100000.0,81477900000.0,64172800000.0,45567700000.0
Total Expenses,974442700000.0,785050400000.0,570347900000.0,502454200000.0
Rent Expense Supplemental,1283300000.0,840000000.0,67900000.0,948700000.0
Diluted Average Shares,1611651382.0,1608289294.0,1604279313.0,1591869580.0
Basic Average Shares,1595488813.0,1592815460.0,1591378408.0,1591374440.0
Diluted EPS,55.0,50.7,40.0,28.6
Basic EPS,55.6,51.2,40.3,28.6
Diluted NI Availto Com Stockholders,88723100000.0,81477900000.0,64172800000.0,45567700000.0
Net Income Common Stockholders,88723100000.0,81477900000.0,64172800000.0,45567700000.0
Net Income,88723100000.0,81477900000.0,64172800000.0,45567700000.0
Minority Interests,-86853300000.0,-74475700000.0,-57922600000.0,-37567600000.0
Net Income Including Noncontrolling Interests,175576400000.0,155953600000.0,122095400000.0,83135300000.0
Net Income Continuous Operations,175576400000.0,155953600000.0,122095400000.0,83135300000.0
Tax Provision,61905700000.0,57796700000.0,46015900000.0,29570500000.0
Pretax Income,237482100000.0,213750300000.0,168111300000.0,112705800000.0
Other Income Expense,14739400000.0,3511100000.0,579400000.0,3830100000.0
Special Income Charges,-363400000.0,-124100000.0,200000.0,77100000.0
Other Special Charges,363400000.0,124100000.0,-200000.0,-77100000.0
Net Non Operating Interest Income Expense,-245873200000.0,-186065300000.0,-123802600000.0,-96294600000.0
Total Other Finance Cost,2776200000.0,2070200000.0,1788400000.0,1312000000.0
Interest Expense Non Operating,243097000000.0,183995100000.0,122014200000.0,94982600000.0
Other Operating Expenses,116882800000.0,79170900000.0,49736600000.0,58918600000.0
Depreciation And Amortization In Income Statement,11703200000.0,9001300000.0,6778000000.0,5627300000.0
Amortization,3560200000.0,2572500000.0,1975700000.0,1535500000.0
Depreciation Income Statement,8143000000.0,6428800000.0,4802300000.0,4091800000.0
Selling General And Administration,19514800000.0,15425700000.0,27531000000.0,19160800000.0
Selling And Marketing Expense,16595500000.0,12644400000.0,25332500000.0,17554000000.0
General And Administrative Expense,2919300000.0,2781300000.0,2198500000.0,1606800000.0
Rent And Landing Fees,1283300000.0,840000000.0,67900000.0,948700000.0
Total Revenue,1211924800000.0,998800700000.0,738459200000.0,615160000000.0
Operating Revenue,1211924800000.0,998800700000.0,738459200000.0,615160000000.0
Net Policyholder Benefits And Claims,246882200000.0,218440400000.0,166025800000.0,163939100000.0
