,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.018099,0.01703,0.01303,0.023732
Net Income From Continuing Operation Net Minority Interest,65206700000.0,72672100000.0,48505200000.0,40556800000.0
Reconciled Depreciation,337600000.0,338400000.0,338400000.0,336900000.0
Net Interest Income,4308800000.0,3131400000.0,2622600000.0,2505800000.0
Interest Expense,14800000.0,21600000.0,69400000.0,31500000.0
Interest Income,4323600000.0,3153000000.0,2692000000.0,2537300000.0
Normalized Income,65206700000.0,72672100000.0,48505200000.0,40556800000.0
Net Income From Continuing And Discontinued Operation,65206700000.0,72672100000.0,48505200000.0,40556800000.0
Rent Expense Supplemental,85500000.0,112800000.0,68600000.0,60200000.0
Diluted Average Shares,111293510.0,111293510.0,111293510.0,111293510.0
Basic Average Shares,111293510.0,111293510.0,111293510.0,111293510.0
Diluted EPS,585.9,653.0,435.8,364.4
Basic EPS,585.9,653.0,435.8,364.4
Diluted NI Availto Com Stockholders,65206700000.0,72672100000.0,48505200000.0,40556800000.0
Net Income Common Stockholders,65206700000.0,72672100000.0,48505200000.0,40556800000.0
Net Income,65206700000.0,72672100000.0,48505200000.0,40556800000.0
Minority Interests,-1050300000.0,-977000000.0,-956900000.0,-699300000.0
Net Income Including Noncontrolling Interests,66257000000.0,73649100000.0,49462100000.0,41256100000.0
Net Income Continuous Operations,66257000000.0,73649100000.0,49462100000.0,41256100000.0
Tax Provision,1221300000.0,1276000000.0,653000000.0,1002900000.0
Pretax Income,67478300000.0,74925100000.0,50115100000.0,42259000000.0
Gain On Sale Of Security,180700000.0,11340200000.0,250700000.0,446200000.0
Operating Expense,1274700000.0,1728200000.0,1710900000.0,1467200000.0
Other Operating Expenses,-823100000.0,29200000.0,16500000.0,22700000.0
Depreciation And Amortization In Income Statement,337600000.0,338400000.0,338400000.0,336900000.0
Depreciation Income Statement,337600000.0,338400000.0,338400000.0,336900000.0
Selling General And Administration,1058700000.0,731200000.0,789600000.0,602800000.0
General And Administrative Expense,1058700000.0,731200000.0,789600000.0,602800000.0
Rent And Landing Fees,85500000.0,112800000.0,68600000.0,60200000.0
Total Revenue,68753000000.0,76653300000.0,51826000000.0,43726200000.0
Operating Revenue,68753000000.0,76653300000.0,51826000000.0,43726200000.0
