,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-223174485.0,-237947577.0,-161708940.0,-66891264.0
Tax Rate For Calcs,0.24005,0.25161,0.2589,0.26048
Total Unusual Items,-929700000.0,-945700000.0,-624600000.0,-256800000.0
Total Unusual Items Excluding Goodwill,-929700000.0,-945700000.0,-624600000.0,-256800000.0
Net Income From Continuing Operation Net Minority Interest,166378200000.0,144511700000.0,115076900000.0,70282300000.0
Reconciled Depreciation,8809900000.0,6833200000.0,4853800000.0,3845700000.0
Net Interest Income,364186900000.0,295819200000.0,229890600000.0,175236400000.0
Interest Expense,247707900000.0,187246900000.0,125598900000.0,97537000000.0
Interest Income,611894800000.0,483066100000.0,355489500000.0,272773400000.0
Normalized Income,167084725515.0,145219452423.0,115539791060.0,70472208736.0
Net Income From Continuing And Discontinued Operation,166378200000.0,144511700000.0,115076900000.0,70282300000.0
Diluted Average Shares,6203492990.0,6123830490.0,6070447270.0,6069664590.0
Basic Average Shares,6186356840.0,6100327430.0,6039767500.0,6025743030.0
Diluted EPS,26.82,23.598,18.957,11.579
Basic EPS,26.894,23.689,19.053,11.664
Diluted NI Availto Com Stockholders,166378200000.0,144511700000.0,115076900000.0,70282300000.0
Net Income Common Stockholders,166378200000.0,144511700000.0,115076900000.0,70282300000.0
Net Income,166378200000.0,144511700000.0,115076900000.0,70282300000.0
Minority Interests,-1416600000.0,0.0,,
Net Income Including Noncontrolling Interests,167794800000.0,144511700000.0,115076900000.0,70282300000.0
Net Income Continuous Operations,167794800000.0,144511700000.0,115076900000.0,70282300000.0
Tax Provision,53001500000.0,48584000000.0,40201700000.0,24755500000.0
Pretax Income,220796300000.0,193095700000.0,155278600000.0,95037800000.0
Special Income Charges,-929700000.0,-945700000.0,-624600000.0,-256800000.0
Other Special Charges,355000000.0,125400000.0,133300000.0,248400000.0
Write Off,574700000.0,820300000.0,491300000.0,8400000.0
Gain On Sale Of Security,4867700000.0,3296100000.0,3290600000.0,3277300000.0
Operating Expense,122929800000.0,103811500000.0,82377300000.0,58001900000.0
Other Operating Expenses,31231700000.0,27102900000.0,21227400000.0,15258200000.0
Depreciation And Amortization In Income Statement,8809900000.0,6833200000.0,4853800000.0,3845700000.0
Depreciation Income Statement,8809900000.0,6833200000.0,4853800000.0,3845700000.0
Selling General And Administration,5391900000.0,4027700000.0,3913600000.0,2014400000.0
Selling And Marketing Expense,4772300000.0,3491800000.0,3619900000.0,1764300000.0
General And Administrative Expense,619600000.0,535900000.0,293700000.0,250100000.0
Insurance And Claims,116900000.0,81900000.0,62600000.0,59900000.0
Rent And Landing Fees,1178800000.0,749200000.0,568300000.0,501800000.0
Total Revenue,423563300000.0,343263200000.0,269669000000.0,201322100000.0
Operating Revenue,423563300000.0,343263200000.0,269669000000.0,201322100000.0
