,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,437066996.0,514911243.0,128358640.0,327020175.0
Tax Rate For Calcs,0.24341,0.24189,0.26303,0.27585
Normalized EBITDA,27980300000.0,24795700000.0,19992900000.0,23274200000.0
Total Unusual Items,1795600000.0,2128700000.0,488000000.0,1185500000.0
Total Unusual Items Excluding Goodwill,1795600000.0,2128700000.0,488000000.0,1185500000.0
Net Income From Continuing Operation Net Minority Interest,16549600000.0,14714900000.0,10574000000.0,14353800000.0
Reconciled Depreciation,6806600000.0,6507200000.0,5708100000.0,4553700000.0
Reconciled Cost Of Revenue,53582500000.0,48151800000.0,51660000000.0,39993600000.0
EBITDA,29775900000.0,26924400000.0,20480900000.0,24459700000.0
EBIT,22969300000.0,20417200000.0,14772800000.0,19906000000.0
Net Interest Income,-486000000.0,-560300000.0,-85100000.0,321500000.0
Interest Expense,1095400000.0,1007200000.0,424900000.0,84500000.0
Interest Income,633600000.0,473900000.0,364300000.0,415000000.0
Normalized Income,15191066996.0,13101111243.0,10214358640.0,13495320175.0
Net Income From Continuing And Discontinued Operation,16549600000.0,14714900000.0,10574000000.0,14353800000.0
Total Expenses,85785500000.0,76984700000.0,85020600000.0,66546200000.0
Rent Expense Supplemental,132500000.0,123300000.0,111500000.0,98500000.0
Diluted Average Shares,193317190.0,193317190.0,193317190.0,193317190.0
Basic Average Shares,193317190.0,193317190.0,193317190.0,193317190.0
Diluted EPS,85.61,76.12,54.7,74.25
Basic EPS,85.61,76.12,54.7,74.25
Diluted NI Availto Com Stockholders,16549600000.0,14714900000.0,10574000000.0,14353800000.0
Net Income Common Stockholders,16549600000.0,14714900000.0,10574000000.0,14353800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,16549600000.0,14714900000.0,10574000000.0,14353800000.0
Minority Interests,,0.0,0.0,
Net Income Including Noncontrolling Interests,16549600000.0,14714900000.0,10574000000.0,14353800000.0
Net Income Continuous Operations,16549600000.0,14714900000.0,10574000000.0,14353800000.0
Tax Provision,5324300000.0,4695100000.0,3773900000.0,5467700000.0
Pretax Income,21873900000.0,19410000000.0,14347900000.0,19821500000.0
Other Non Operating Income Expenses,149900000.0,107700000.0,135500000.0,175700000.0
Special Income Charges,82600000.0,93700000.0,-36300000.0,11300000.0
Other Special Charges,-82600000.0,-93700000.0,29100000.0,-11300000.0
Write Off,,0.0,7200000.0,0.0
Net Non Operating Interest Income Expense,-486000000.0,-560300000.0,-85100000.0,321500000.0
Total Other Finance Cost,24200000.0,27000000.0,24500000.0,9000000.0
Interest Expense Non Operating,1095400000.0,1007200000.0,424900000.0,84500000.0
Interest Income Non Operating,633600000.0,473900000.0,364300000.0,415000000.0
Operating Income,17786900000.0,16059000000.0,11441000000.0,15543500000.0
Operating Expense,32203000000.0,28832900000.0,33360600000.0,26552600000.0
Other Operating Expenses,5575700000.0,5941200000.0,6314200000.0,4970300000.0
Depreciation And Amortization In Income Statement,6806600000.0,6507200000.0,5708100000.0,4553700000.0
Depreciation Income Statement,6806600000.0,6507200000.0,5708100000.0,4553700000.0
Selling General And Administration,12447800000.0,9864900000.0,15764600000.0,11724600000.0
Selling And Marketing Expense,11226800000.0,8928400000.0,15042200000.0,11193800000.0
General And Administrative Expense,1221000000.0,936500000.0,722400000.0,530800000.0
Rent And Landing Fees,132500000.0,123300000.0,111500000.0,98500000.0
Gross Profit,49989900000.0,44891900000.0,44801600000.0,42096100000.0
Cost Of Revenue,53582500000.0,48151800000.0,51660000000.0,39993600000.0
Total Revenue,103572400000.0,93043700000.0,96461600000.0,82089700000.0
Operating Revenue,103572400000.0,93043700000.0,96461600000.0,82089700000.0
