,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,101286522.444949,17770036.485261,40330058.768524,9543464.789739
Tax Rate For Calcs,0.255473,0.281421,0.281424,0.225374
Total Unusual Items,396466000.0,63144000.0,143307000.0,42345000.0
Total Unusual Items Excluding Goodwill,396466000.0,63144000.0,143307000.0,42345000.0
Net Income From Continuing Operation Net Minority Interest,207163280000.0,187673789000.0,149052030000.0,78496924000.0
Reconciled Depreciation,14669500000.0,16935300000.0,20318600000.0,14382400000.0
Net Interest Income,496798480000.0,484801492000.0,445604485000.0,345709089000.0
Interest Expense,782649243000.0,698990756000.0,499421689000.0,388154731000.0
Interest Income,1279447723000.0,1183792248000.0,945026174000.0,733863820000.0
Normalized Income,206868100522.44495,187628415036.48526,148949053058.76852,78464122464.78973
Net Income From Continuing And Discontinued Operation,207163280000.0,187673789000.0,149052030000.0,78496924000.0
Diluted Average Shares,5171362179.0,5171362179.0,5171362179.0,5171362179.0
Basic Average Shares,5171362179.0,5171362179.0,5171362179.0,5171362179.0
Diluted EPS,40.06,36.29,28.82,15.18
Basic EPS,40.06,36.29,28.82,15.18
Diluted NI Availto Com Stockholders,207163280000.0,187673789000.0,149052030000.0,78496924000.0
Net Income Common Stockholders,207163280000.0,187673789000.0,149052030000.0,78496924000.0
Net Income,207163280000.0,187673789000.0,149052030000.0,78496924000.0
Minority Interests,-1489339000.0,-1014924000.0,-1000105000.0,-832896000.0
Net Income Including Noncontrolling Interests,208652631000.0,188688657000.0,150052224000.0,79329930000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,208652631000.0,188688657000.0,150052224000.0,79329930000.0
Tax Provision,71596100000.0,73897100000.0,58766700000.0,23080700000.0
Pretax Income,280248731000.0,262585757000.0,208818924000.0,102410630000.0
Special Income Charges,396466000.0,63144000.0,143307000.0,42345000.0
Other Special Charges,-396466000.0,-63144000.0,-143307000.0,-42345000.0
Gain On Sale Of Security,36614607000.0,35150640000.0,573417000.0,20105099000.0
Operating Expense,409939734000.0,399010404000.0,334202235000.0,262263323000.0
Other Operating Expenses,130562135000.0,134791194000.0,92111998000.0,85772369000.0
Depreciation And Amortization In Income Statement,14669548000.0,17016511000.0,20399802000.0,14382401000.0
Amortization,0.0,81234000.0,81234000.0,0.0
Depreciation Income Statement,14669548000.0,16935277000.0,20318568000.0,14382401000.0
Selling General And Administration,9370441000.0,9379863000.0,8665961000.0,6084171000.0
Selling And Marketing Expense,3506536000.0,4395035000.0,5329387000.0,3143166000.0
General And Administrative Expense,5863905000.0,4984828000.0,3336574000.0,2941005000.0
Insurance And Claims,56819056000.0,50321618000.0,52725783000.0,14003680000.0
Rent And Landing Fees,19330608000.0,17755370000.0,16749143000.0,15526159000.0
Total Revenue,696790693000.0,679012730000.0,557910573000.0,483927396000.0
Operating Revenue,696790693000.0,679012730000.0,557910573000.0,483927396000.0
