,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,520319124.585363,106327421.271135,487218772.858866,1078435108.829576
Tax Rate For Calcs,0.256313,0.373644,0.363458,0.388888
Total Unusual Items,2030017000.0,284569000.0,1340510000.0,2773122000.0
Total Unusual Items Excluding Goodwill,2030017000.0,284569000.0,1340510000.0,2773122000.0
Net Income From Continuing Operation Net Minority Interest,95482797000.0,65644637000.0,38379536000.0,34925765000.0
Reconciled Depreciation,6035552000.0,5086998000.0,4265105000.0,3635111000.0
Net Interest Income,247135280000.0,233165591000.0,204910518000.0,141974809000.0
Interest Expense,465941808000.0,377567815000.0,274406383000.0,240834340000.0
Interest Income,713077088000.0,610733406000.0,479316901000.0,382809149000.0
Normalized Income,93973099124.58536,65466395421.27113,37526244772.858864,33231078108.829575
Net Income From Continuing And Discontinued Operation,95482797000.0,65644637000.0,38379536000.0,34925765000.0
Diluted Average Shares,4552700000.0,4241000000.0,4103600000.0,3852800000.0
Basic Average Shares,4552700000.0,4241000000.0,4103600000.0,3852800000.0
Diluted EPS,20.97,15.48,9.35,9.07
Basic EPS,20.97,15.48,9.35,9.07
Diluted NI Availto Com Stockholders,95482797000.0,65644637000.0,38379536000.0,34925765000.0
Net Income Common Stockholders,95482797000.0,65644637000.0,38379536000.0,34925765000.0
Net Income,95482797000.0,65644637000.0,38379536000.0,34925765000.0
Minority Interests,-38926000.0,-21121000.0,-13793000.0,52659000.0
Net Income Including Noncontrolling Interests,95521723000.0,65665758000.0,38393329000.0,34873106000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,95521723000.0,65665758000.0,38393329000.0,34873106000.0
Tax Provision,32188600000.0,38086000000.0,22166200000.0,21675300000.0
Pretax Income,125583324000.0,101931325000.0,60987003000.0,55736549000.0
Special Income Charges,2030017000.0,284569000.0,1340510000.0,2773122000.0
Other Special Charges,-2030017000.0,-284569000.0,-1340510000.0,-2773122000.0
Gain On Sale Of Security,18810590000.0,6320007000.0,18397121000.0,14101974000.0
Operating Expense,174256699000.0,157482597000.0,151227586000.0,124087191000.0
Other Operating Expenses,42737929000.0,40084436000.0,43803535000.0,32079601000.0
Depreciation And Amortization In Income Statement,6035552000.0,5086998000.0,4265105000.0,3716786000.0
Depreciation Income Statement,6035552000.0,5086998000.0,4265105000.0,3716786000.0
Selling General And Administration,1975646000.0,1960903000.0,1930975000.0,1577609000.0
Selling And Marketing Expense,436897000.0,430518000.0,296977000.0,172548000.0
General And Administrative Expense,1538749000.0,1530385000.0,1633998000.0,1405061000.0
Insurance And Claims,9218815000.0,8348652000.0,7976535000.0,7522746000.0
Rent And Landing Fees,10343637000.0,9311660000.0,8664225000.0,8026479000.0
Total Revenue,338973506000.0,294491053000.0,263604079000.0,215333518000.0
Operating Revenue,338973506000.0,294491053000.0,263604079000.0,215333518000.0
