,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,274911891.964154,-88311500.918342,2776186.839136,2262419.220913,
Tax Rate For Calcs,0.224499,0.25132,0.24854,0.262766,
Normalized EBITDA,8036970000.0,8418570000.0,8313540000.0,4736230000.0,
Total Unusual Items,1224560000.0,-351390000.0,11170000.0,8610000.0,
Total Unusual Items Excluding Goodwill,1224560000.0,-351390000.0,11170000.0,8610000.0,
Net Income From Continuing Operation Net Minority Interest,3306560000.0,2625110000.0,3230040000.0,1029930000.0,
Reconciled Depreciation,3713010000.0,3390810000.0,2947840000.0,2419640000.0,
Reconciled Cost Of Revenue,15964560000.0,15745220000.0,15926190000.0,11343100000.0,
EBITDA,9261530000.0,8067180000.0,8324710000.0,4744840000.0,
EBIT,5548520000.0,4676370000.0,5376870000.0,2325200000.0,
Net Interest Income,-847730000.0,-791430000.0,-827900000.0,-465530000.0,
Interest Expense,1284750000.0,1170050000.0,1078520000.0,928180000.0,
Interest Income,536200000.0,447360000.0,342870000.0,514340000.0,
Normalized Income,2356911891.964154,2888188499.081658,3221646186.839136,1023582419.220913,
Net Income From Continuing And Discontinued Operation,3306560000.0,2625110000.0,3230040000.0,1029930000.0,
Total Expenses,30986970000.0,30166200000.0,29388590000.0,21997390000.0,
Rent Expense Supplemental,1396290000.0,1244290000.0,1165610000.0,587180000.0,
Diluted Average Shares,128527540.0,128527540.0,128527540.0,128527540.0,
Basic Average Shares,128527540.0,128527540.0,128527540.0,128527540.0,
Diluted EPS,25.73,20.42,25.13,8.01,
Basic EPS,25.73,20.42,25.13,8.01,
Diluted NI Availto Com Stockholders,3306560000.0,2625110000.0,3230040000.0,1029930000.0,
Net Income Common Stockholders,3306560000.0,2625110000.0,3230040000.0,1029930000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,3306560000.0,2625110000.0,3230040000.0,1029930000.0,
Net Income Including Noncontrolling Interests,3306560000.0,2625110000.0,3230040000.0,1029930000.0,
Net Income Continuous Operations,3306560000.0,2625110000.0,3230040000.0,1029930000.0,
Tax Provision,957210000.0,881210000.0,1068310000.0,367090000.0,
Pretax Income,4263770000.0,3506320000.0,4298350000.0,1397020000.0,
Other Non Operating Income Expenses,5750000.0,33020000.0,19080000.0,559910000.0,
Special Income Charges,1224560000.0,-351390000.0,11170000.0,-20440000.0,
Other Special Charges,-1332400000.0,-60550000.0,-11170000.0,20440000.0,
Write Off,0.0,2940000.0,0.0,,
Restructuring And Mergern Acquisition,107840000.0,409000000.0,,,46100000.0
Net Non Operating Interest Income Expense,-847730000.0,-791430000.0,-827900000.0,-465530000.0,
Total Other Finance Cost,99180000.0,68740000.0,92250000.0,51690000.0,
Interest Expense Non Operating,1284750000.0,1170050000.0,1078520000.0,928180000.0,
Interest Income Non Operating,536200000.0,447360000.0,342870000.0,514340000.0,
Operating Income,3887960000.0,4604870000.0,5117000000.0,1870850000.0,
Operating Expense,15022410000.0,14420980000.0,13462400000.0,10654290000.0,
Other Operating Expenses,2086790000.0,2115280000.0,2086930000.0,2348550000.0,
Depreciation And Amortization In Income Statement,3713010000.0,3390810000.0,2947840000.0,2419640000.0,
Amortization,205520000.0,66190000.0,47850000.0,34060000.0,
Depreciation Income Statement,3507490000.0,3324620000.0,2899990000.0,2385580000.0,
Selling General And Administration,3215560000.0,3485990000.0,3085170000.0,1521030000.0,
Selling And Marketing Expense,2301120000.0,2574310000.0,2420520000.0,1097680000.0,
General And Administrative Expense,914440000.0,911680000.0,664650000.0,423350000.0,
Rent And Landing Fees,1396290000.0,1244290000.0,1165610000.0,587180000.0,
Gross Profit,18910370000.0,19025850000.0,18579400000.0,12525140000.0,
Cost Of Revenue,15964560000.0,15745220000.0,15926190000.0,11343100000.0,
Total Revenue,34874930000.0,34771070000.0,34505590000.0,23868240000.0,
Operating Revenue,34874930000.0,34771070000.0,34505590000.0,23868240000.0,
