,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,82765055.131467,-22407584.448693,254595798.404202,143486655.64478,
Tax Rate For Calcs,0.19706,0.213406,0.234219,0.237955,
Normalized EBITDA,7673000000.0,10455000000.0,9832000000.0,8639000000.0,
Total Unusual Items,420000000.0,-105000000.0,1087000000.0,603000000.0,
Total Unusual Items Excluding Goodwill,420000000.0,-105000000.0,1087000000.0,603000000.0,
Net Income From Continuing Operation Net Minority Interest,5680000000.0,7405000000.0,7582000000.0,6453000000.0,
Reconciled Depreciation,849000000.0,740000000.0,795000000.0,645000000.0,
Reconciled Cost Of Revenue,34290000000.0,29431000000.0,28517000000.0,26844000000.0,
EBITDA,8093000000.0,10350000000.0,10919000000.0,9242000000.0,
EBIT,7244000000.0,9610000000.0,10124000000.0,8597000000.0,
Net Interest Income,396000000.0,288000000.0,117000000.0,116000000.0,
Interest Expense,170000000.0,196000000.0,223000000.0,129000000.0,
Interest Income,566000000.0,484000000.0,340000000.0,245000000.0,
Normalized Income,5342765055.131467,7487592415.551307,6749595798.404202,5993486655.64478,
Net Income From Continuing And Discontinued Operation,5680000000.0,7405000000.0,7582000000.0,6453000000.0,
Total Expenses,47047000000.0,39836000000.0,40851000000.0,38164000000.0,
Rent Expense Supplemental,102000000.0,136000000.0,120000000.0,114000000.0,
Diluted Average Shares,44942092.0,44942092.0,44942092.0,44942092.0,
Basic Average Shares,44942092.0,44942092.0,44942092.0,44942092.0,
Diluted EPS,126.38,164.77,168.71,143.58,
Basic EPS,126.38,164.77,168.71,143.58,
Diluted NI Availto Com Stockholders,5680000000.0,7405000000.0,7582000000.0,6453000000.0,
Net Income Common Stockholders,5680000000.0,7405000000.0,7582000000.0,6453000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5680000000.0,7405000000.0,7582000000.0,6453000000.0,
Net Income Including Noncontrolling Interests,5680000000.0,7405000000.0,7582000000.0,6453000000.0,
Net Income Continuous Operations,5680000000.0,7405000000.0,7582000000.0,6453000000.0,
Tax Provision,1394000000.0,2009000000.0,2319000000.0,2015000000.0,
Pretax Income,7074000000.0,9414000000.0,9901000000.0,8468000000.0,
Other Non Operating Income Expenses,166000000.0,148000000.0,121000000.0,148000000.0,
Special Income Charges,229000000.0,-253000000.0,952000000.0,509000000.0,
Other Special Charges,-256000000.0,24000000.0,-1043000000.0,-579000000.0,
Write Off,27000000.0,38000000.0,90000000.0,53000000.0,
Impairment Of Capital Assets,0.0,191000000.0,1000000.0,17000000.0,
Restructuring And Mergern Acquisition,,,,0.0,-51000000.0
Net Non Operating Interest Income Expense,396000000.0,288000000.0,117000000.0,116000000.0,
Interest Expense Non Operating,170000000.0,196000000.0,223000000.0,129000000.0,
Interest Income Non Operating,566000000.0,484000000.0,340000000.0,245000000.0,
Operating Income,6094000000.0,9085000000.0,8598000000.0,7603000000.0,
Operating Expense,12757000000.0,10405000000.0,12334000000.0,11320000000.0,
Other Operating Expenses,3465000000.0,2380000000.0,2403000000.0,2074000000.0,
Depreciation And Amortization In Income Statement,849000000.0,740000000.0,795000000.0,645000000.0,
Amortization,29000000.0,19000000.0,15000000.0,7000000.0,
Depreciation Income Statement,820000000.0,721000000.0,780000000.0,638000000.0,
Selling General And Administration,5204000000.0,4755000000.0,5505000000.0,5325000000.0,
Selling And Marketing Expense,3849000000.0,3287000000.0,4215000000.0,4295000000.0,
General And Administrative Expense,1355000000.0,1468000000.0,1290000000.0,1030000000.0,
Rent And Landing Fees,102000000.0,136000000.0,120000000.0,114000000.0,
Gross Profit,18851000000.0,19490000000.0,20932000000.0,18923000000.0,
Cost Of Revenue,34290000000.0,29431000000.0,28517000000.0,26844000000.0,
Total Revenue,53141000000.0,48921000000.0,49449000000.0,45767000000.0,
Operating Revenue,53141000000.0,48921000000.0,49449000000.0,45767000000.0,
