,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,207580144.593632,-304988292.301074,-4316799000.0,112891500.0
Tax Rate For Calcs,0.280483,0.318248,0.3,0.3
Normalized EBITDA,34675762000.0,32542540000.0,21476119000.0,19354343000.0
Total Unusual Items,740080000.0,-958336000.0,-14389330000.0,376305000.0
Total Unusual Items Excluding Goodwill,740080000.0,-958336000.0,-14389330000.0,376305000.0
Net Income From Continuing Operation Net Minority Interest,11226297000.0,6388395000.0,-19140786000.0,558603000.0
Reconciled Depreciation,3265035000.0,3133593000.0,2415327000.0,2148022000.0
Reconciled Cost Of Revenue,116457977000.0,104749003000.0,105802241000.0,89663120000.0
EBITDA,35415842000.0,31584204000.0,7086789000.0,19730648000.0
EBIT,32150807000.0,28450611000.0,4671462000.0,17582626000.0
Net Interest Income,-85345000.0,-949232000.0,-1737757000.0,-258791000.0
Interest Expense,1583624000.0,3638085000.0,4246542000.0,2516359000.0
Interest Income,1502137000.0,2692337000.0,2514784000.0,2262798000.0
Normalized Income,10693797144.593632,7041742707.698926,-9068255000.0,295189500.0
Net Income From Continuing And Discontinued Operation,11226297000.0,6366067000.0,-16760519000.0,634054000.0
Total Expenses,150701562000.0,140743444000.0,137512285000.0,122940731000.0
Rent Expense Supplemental,981985000.0,893059000.0,883366000.0,425867000.0
Diluted Average Shares,69771900.0,69771900.0,69771900.0,69771900.0
Basic Average Shares,69771900.0,69771900.0,69771900.0,69771900.0
Diluted EPS,160.9,91.19,-240.22,9.09
Basic EPS,160.9,91.19,-240.22,9.09
Diluted NI Availto Com Stockholders,11226297000.0,6366067000.0,-16760519000.0,634054000.0
Net Income Common Stockholders,11226297000.0,6366067000.0,-16760519000.0,634054000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,11226297000.0,6366067000.0,-16760519000.0,634054000.0
Minority Interests,-10767299000.0,-10527600000.0,-11423569000.0,-7452426000.0
Net Income Including Noncontrolling Interests,21993596000.0,16893667000.0,-5336950000.0,8086480000.0
Net Income Discontinuous Operations,0.0,-22328000.0,2380267000.0,75451000.0
Net Income Continuous Operations,21993596000.0,16915995000.0,-7717217000.0,8011029000.0
Tax Provision,8573587000.0,7896531000.0,8142137000.0,7055238000.0
Pretax Income,30567183000.0,24812526000.0,424920000.0,15066267000.0
Other Non Operating Income Expenses,120703000.0,569261000.0,1313401000.0,444985000.0
Special Income Charges,-73420000.0,-1217350000.0,-14810130000.0,95235000.0
Other Special Charges,-333664000.0,1003350000.0,14747247000.0,-115450000.0
Write Off,-7082000.0,166503000.0,59274000.0,20215000.0
Impairment Of Capital Assets,0.0,18497000.0,3609000.0,2781000.0
Restructuring And Mergern Acquisition,414166000.0,29000000.0,0.0,
Net Non Operating Interest Income Expense,-85345000.0,-949232000.0,-1737757000.0,-258791000.0
Total Other Finance Cost,3858000.0,3484000.0,5999000.0,5230000.0
Interest Expense Non Operating,1583624000.0,3638085000.0,4246542000.0,2516359000.0
Interest Income Non Operating,1502137000.0,2692337000.0,2514784000.0,2262798000.0
Operating Income,28165342000.0,28082406000.0,25521574000.0,20174432000.0
Operating Expense,34243585000.0,35994441000.0,31710044000.0,33277611000.0
Other Operating Expenses,19752304000.0,18335924000.0,9764475000.0,14432866000.0
Depreciation And Amortization In Income Statement,3265035000.0,3133593000.0,2392762000.0,2125862000.0
Amortization,39719000.0,40629000.0,41659000.0,43511000.0
Depreciation Income Statement,3225316000.0,3092964000.0,2351103000.0,2082351000.0
Selling General And Administration,6168607000.0,7567904000.0,14155724000.0,11818454000.0
Selling And Marketing Expense,5670304000.0,7016443000.0,13727093000.0,11379421000.0
General And Administrative Expense,498303000.0,551461000.0,428631000.0,439033000.0
Rent And Landing Fees,981985000.0,893059000.0,883366000.0,425867000.0
Gross Profit,62408927000.0,64076847000.0,57231618000.0,53452043000.0
Cost Of Revenue,116457977000.0,104749003000.0,105802241000.0,89663120000.0
Total Revenue,178866904000.0,168825850000.0,163033859000.0,143115163000.0
Operating Revenue,178866904000.0,168825850000.0,163033859000.0,143115163000.0
