,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-361799640.0,-387048960.0,-278781450.0,-41306040.0
Tax Rate For Calcs,0.2554,0.2512,0.2505,0.2564
Normalized EBITDA,77174300000.0,58703500000.0,44776100000.0,35881400000.0
Total Unusual Items,-1416600000.0,-1540800000.0,-1112900000.0,-161100000.0
Total Unusual Items Excluding Goodwill,-1416600000.0,-1540800000.0,-1112900000.0,-161100000.0
Net Income From Continuing Operation Net Minority Interest,53214400000.0,39845200000.0,29844200000.0,23988700000.0
Reconciled Depreciation,4673800000.0,4432000000.0,4288200000.0,4011300000.0
Reconciled Cost Of Revenue,121946100000.0,105796000000.0,98372000000.0,89106200000.0
EBITDA,75757700000.0,57162700000.0,43663200000.0,35720300000.0
EBIT,71083900000.0,52730700000.0,39375000000.0,31709000000.0
Net Interest Income,6352400000.0,5751900000.0,2445500000.0,1710000000.0
Interest Expense,93900000.0,68600000.0,145900000.0,46600000.0
Interest Income,6477700000.0,5872500000.0,2633900000.0,1795500000.0
Normalized Income,54269200360.0,40998951040.0,30678318550.0,24108493960.0
Net Income From Continuing And Discontinued Operation,53214400000.0,39845200000.0,29844200000.0,23988700000.0
Total Expenses,165915300000.0,151242600000.0,136311400000.0,121254900000.0
Rent Expense Supplemental,351400000.0,331700000.0,317200000.0,283700000.0
Diluted Average Shares,7309778829.0,7309778829.0,7309778829.0,7309778829.0
Basic Average Shares,7309778829.0,7309778829.0,7309778829.0,7309778829.0
Diluted EPS,7.28,5.45,4.09,3.281727
Basic EPS,7.28,5.45,4.09,3.281727
Diluted NI Availto Com Stockholders,53214400000.0,39845200000.0,29844200000.0,23988700000.0
Net Income Common Stockholders,53214400000.0,39845200000.0,29844200000.0,23988700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,53214400000.0,39845200000.0,29844200000.0,23988700000.0
Minority Interests,-12400000.0,-7200000.0,-18200000.0,-13500000.0
Net Income Including Noncontrolling Interests,53226800000.0,39852400000.0,29862400000.0,24002200000.0
Net Income Continuous Operations,53226800000.0,39852400000.0,29862400000.0,24002200000.0
Tax Provision,18118500000.0,13231000000.0,9825600000.0,8117800000.0
Pretax Income,70990000000.0,52662100000.0,39229100000.0,31662400000.0
Other Non Operating Income Expenses,120700000.0,115300000.0,102400000.0,106200000.0
Special Income Charges,-1621900000.0,-1734700000.0,-1171600000.0,-219800000.0
Other Special Charges,-25500000.0,-70200000.0,-15200000.0,-4500000.0
Write Off,1634500000.0,1804900000.0,937400000.0,224300000.0
Impairment Of Capital Assets,12900000.0,0.0,249400000.0,0.0
Net Non Operating Interest Income Expense,6352400000.0,5751900000.0,2445500000.0,1710000000.0
Total Other Finance Cost,31400000.0,52000000.0,42500000.0,38900000.0
Interest Expense Non Operating,93900000.0,68600000.0,145900000.0,46600000.0
Interest Income Non Operating,6477700000.0,5872500000.0,2633900000.0,1795500000.0
Operating Income,65257700000.0,47812300000.0,37730400000.0,29592500000.0
Operating Expense,43969200000.0,45446600000.0,37939400000.0,32148700000.0
Other Operating Expenses,15392900000.0,18177500000.0,11846000000.0,8221800000.0
Depreciation And Amortization In Income Statement,4673800000.0,4432000000.0,4288200000.0,4011300000.0
Amortization,402300000.0,439800000.0,318700000.0,271800000.0
Depreciation Income Statement,4271500000.0,3992200000.0,3969500000.0,3739500000.0
Selling General And Administration,638000000.0,640800000.0,582500000.0,483400000.0
Selling And Marketing Expense,180400000.0,284600000.0,189500000.0,153900000.0
General And Administrative Expense,457600000.0,356200000.0,393000000.0,329500000.0
Rent And Landing Fees,351400000.0,331700000.0,317200000.0,283700000.0
Gross Profit,109226900000.0,93258900000.0,75669800000.0,61741200000.0
Cost Of Revenue,121946100000.0,105796000000.0,98372000000.0,89106200000.0
Total Revenue,231173000000.0,199054900000.0,174041800000.0,150847400000.0
Operating Revenue,231173000000.0,199054900000.0,174041800000.0,150847400000.0
