,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,35210435.647478,-21306514.268831,-49070380.439458,29184335.599533
Tax Rate For Calcs,0.245883,0.248617,0.259769,0.257812
Normalized EBITDA,19716100000.0,19745900000.0,15444900000.0,13882000000.0
Total Unusual Items,143200000.0,-85700000.0,-188900000.0,113200000.0
Total Unusual Items Excluding Goodwill,143200000.0,-85700000.0,-188900000.0,113200000.0
Net Income From Continuing Operation Net Minority Interest,11804000000.0,11677400000.0,8594200000.0,8328200000.0
Reconciled Depreciation,3541900000.0,3308800000.0,2640300000.0,2265100000.0
Reconciled Cost Of Revenue,67784800000.0,66636400000.0,67451300000.0,54426700000.0
EBITDA,19859300000.0,19660200000.0,15256000000.0,13995200000.0
EBIT,16317400000.0,16351400000.0,12615700000.0,11730100000.0
Net Interest Income,-373800000.0,-527100000.0,-833600000.0,-305600000.0
Interest Expense,632700000.0,782500000.0,992300000.0,507200000.0
Interest Income,258900000.0,255400000.0,158700000.0,201600000.0
Normalized Income,11696010435.647478,11741793485.731169,8734029619.560541,8244184335.599533
Net Income From Continuing And Discontinued Operation,11804000000.0,11677400000.0,8594200000.0,8328200000.0
Total Expenses,99208800000.0,95392800000.0,91432200000.0,75326500000.0
Rent Expense Supplemental,165900000.0,153600000.0,128400000.0,129100000.0
Diluted Average Shares,1166078129.0,1165868269.0,1165767126.0,1165776601.0
Basic Average Shares,1165818558.0,1165723237.0,1165635378.0,1165563398.0
Diluted EPS,10.12,10.02,7.37,7.141667
Basic EPS,10.13,10.02,7.37,7.15
Diluted NI Availto Com Stockholders,11804000000.0,11677400000.0,8594200000.0,8328200000.0
Net Income Common Stockholders,11804000000.0,11677400000.0,8594200000.0,8328200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,11804000000.0,11677400000.0,8594200000.0,8328200000.0
Minority Interests,-24100000.0,-20800000.0,-9800000.0,-1300000.0
Net Income Including Noncontrolling Interests,11828100000.0,11698200000.0,8604000000.0,8329500000.0
Net Income Continuous Operations,11828100000.0,11698200000.0,8604000000.0,8329500000.0
Tax Provision,3856600000.0,3870700000.0,3019400000.0,2893400000.0
Pretax Income,15684700000.0,15568900000.0,11623400000.0,11222900000.0
Other Non Operating Income Expenses,233900000.0,202600000.0,246400000.0,210000000.0
Special Income Charges,-52900000.0,-162000000.0,-211400000.0,35100000.0
Other Special Charges,-86700000.0,-51100000.0,-15600000.0,-111100000.0
Write Off,273400000.0,213100000.0,227000000.0,76000000.0
Restructuring And Mergern Acquisition,-133800000.0,0.0,,
Net Non Operating Interest Income Expense,-373800000.0,-527100000.0,-833600000.0,-305600000.0
Interest Expense Non Operating,632700000.0,782500000.0,992300000.0,507200000.0
Interest Income Non Operating,258900000.0,255400000.0,158700000.0,201600000.0
Operating Income,15366000000.0,15609300000.0,12721600000.0,11231200000.0
Operating Expense,31424000000.0,28756400000.0,23980900000.0,20899800000.0
Other Operating Expenses,7675900000.0,6396100000.0,5559800000.0,4780600000.0
Depreciation And Amortization In Income Statement,3541900000.0,3308800000.0,2640300000.0,2265100000.0
Amortization,69600000.0,58700000.0,54900000.0,46300000.0
Depreciation Income Statement,3472300000.0,3250100000.0,2585400000.0,2218800000.0
Selling General And Administration,12742600000.0,12748300000.0,11079400000.0,9348200000.0
Selling And Marketing Expense,12368200000.0,12332700000.0,10795100000.0,9117000000.0
General And Administrative Expense,374400000.0,415600000.0,284300000.0,231200000.0
Rent And Landing Fees,165900000.0,153600000.0,128400000.0,129100000.0
Gross Profit,46790000000.0,44365700000.0,36702500000.0,32131000000.0
Cost Of Revenue,67784800000.0,66636400000.0,67451300000.0,54426700000.0
Total Revenue,114574800000.0,111002100000.0,104153800000.0,86557700000.0
Operating Revenue,114574800000.0,111002100000.0,104153800000.0,86557700000.0
