,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-379552716.0,226548694.0,102185413.0,422310916.0,
Tax Rate For Calcs,0.3726,0.3853,0.3853,0.2308,
Normalized EBITDA,28205310000.0,26958620000.0,18018740000.0,20466390000.0,
Total Unusual Items,-965660000.0,587980000.0,265210000.0,1916540000.0,
Total Unusual Items Excluding Goodwill,-1018660000.0,587980000.0,265210000.0,1829770000.0,
Net Income From Continuing Operation Net Minority Interest,9411530000.0,9511280000.0,5283640000.0,10817560000.0,
Reconciled Depreciation,8736190000.0,8481970000.0,7355860000.0,7216240000.0,
Reconciled Cost Of Revenue,76704040000.0,85029100000.0,69455540000.0,51158880000.0,
EBITDA,27239650000.0,27546600000.0,18283950000.0,22382930000.0,
EBIT,18503460000.0,19064630000.0,10928090000.0,15166690000.0,
Net Interest Income,-3468720000.0,-4196150000.0,-2442900000.0,-1200610000.0,
Interest Expense,3945210000.0,4674710000.0,2658640000.0,1361550000.0,
Interest Income,691490000.0,759640000.0,293270000.0,221690000.0,
Normalized Income,10103637284.0,9149848694.0,5120615413.0,9496870916.0,
Net Income From Continuing And Discontinued Operation,9411530000.0,9511280000.0,5283640000.0,10817560000.0,
Total Expenses,126661090000.0,132806000000.0,112146080000.0,86019880000.0,
Rent Expense Supplemental,268870000.0,163030000.0,195340000.0,126050000.0,
Diluted Average Shares,469458495.0,465588632.0,465588632.0,465588632.0,
Basic Average Shares,469458495.0,465588632.0,465588632.0,465588632.0,
Diluted EPS,20.05,20.43,11.35,23.23,
Basic EPS,20.05,20.43,11.35,23.23,
Diluted NI Availto Com Stockholders,9411530000.0,9511280000.0,5283640000.0,10817560000.0,
Net Income Common Stockholders,9411530000.0,9511280000.0,5283640000.0,10817560000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,9411530000.0,9511280000.0,5283640000.0,10817560000.0,
Minority Interests,278780000.0,409690000.0,199770000.0,46950000.0,
Net Income Including Noncontrolling Interests,9132750000.0,9101590000.0,5083870000.0,10770610000.0,
Net Income Continuous Operations,9132750000.0,9101590000.0,5083870000.0,10770610000.0,
Tax Provision,5425500000.0,5288330000.0,3185580000.0,3034530000.0,
Pretax Income,14558250000.0,14389920000.0,8269450000.0,13805140000.0,
Other Non Operating Income Expenses,642860000.0,353200000.0,372590000.0,374390000.0,
Special Income Charges,-1665430000.0,-256940000.0,-513340000.0,1055580000.0,
Other Special Charges,14870000.0,35670000.0,-1200000.0,-116930000.0,
Write Off,1597560000.0,200300000.0,72460000.0,-1494460000.0,
Impairment Of Capital Assets,,,,,0.0
Restructuring And Mergern Acquisition,0.0,20970000.0,442080000.0,469040000.0,
Net Non Operating Interest Income Expense,-3468720000.0,-4196150000.0,-2442900000.0,-1200610000.0,
Total Other Finance Cost,215000000.0,281080000.0,77530000.0,60750000.0,
Interest Expense Non Operating,3945210000.0,4674710000.0,2658640000.0,1361550000.0,
Interest Income Non Operating,691490000.0,759640000.0,293270000.0,221690000.0,
Operating Income,18637960000.0,17623410000.0,10743020000.0,12959800000.0,
Operating Expense,49957050000.0,47776900000.0,42690540000.0,34861000000.0,
Other Operating Expenses,16958870000.0,16660370000.0,15307350000.0,11226510000.0,
Depreciation And Amortization In Income Statement,8736190000.0,8481970000.0,7355860000.0,7216240000.0,
Amortization,152720000.0,232500000.0,236310000.0,142090000.0,
Depreciation Income Statement,8583470000.0,8249470000.0,7119550000.0,7074150000.0,
Selling General And Administration,8723020000.0,7968040000.0,8952590000.0,6690830000.0,
Selling And Marketing Expense,5922180000.0,5859910000.0,7377460000.0,5364720000.0,
General And Administrative Expense,2800840000.0,2108130000.0,1575130000.0,1326110000.0,
Rent And Landing Fees,268870000.0,163030000.0,195340000.0,126050000.0,
Gross Profit,68595010000.0,65400310000.0,53433560000.0,47820800000.0,
Cost Of Revenue,76704040000.0,85029100000.0,69455540000.0,51158880000.0,
Total Revenue,145299050000.0,150429410000.0,122889100000.0,98979680000.0,
Operating Revenue,145299050000.0,150429410000.0,122889100000.0,98979680000.0,
