,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1715326546.609894,-28449493650.918842,-2229195547.289668,5330519926.941225,
Tax Rate For Calcs,0.023886,0.325026,0.258039,0.334684,
Normalized EBITDA,944017000000.0,769255000000.0,681519000000.0,572312000000.0,
Total Unusual Items,71812000000.0,-87530000000.0,-8639000000.0,15927000000.0,
Total Unusual Items Excluding Goodwill,71812000000.0,-87530000000.0,-8639000000.0,15927000000.0,
Net Income From Continuing Operation Net Minority Interest,335561000000.0,74670000000.0,83459000000.0,42549000000.0,
Reconciled Depreciation,455703000000.0,395376000000.0,364318000000.0,330907000000.0,
Reconciled Cost Of Revenue,568340000000.0,535521000000.0,512726000000.0,454049000000.0,
EBITDA,1015829000000.0,681725000000.0,672880000000.0,588239000000.0,
EBIT,560126000000.0,286349000000.0,308562000000.0,257332000000.0,
Net Interest Income,-205319000000.0,-183088000000.0,-165431000000.0,-155796000000.0,
Interest Expense,176141000000.0,159559000000.0,142955000000.0,132501000000.0,
Interest Income,5306000000.0,6493000000.0,3080000000.0,2206000000.0,
Normalized Income,265464326546.6099,133750506349.08116,89868804452.71033,31952519926.941223,
Net Income From Continuing And Discontinued Operation,335561000000.0,74670000000.0,83459000000.0,42549000000.0,
Total Expenses,1246486000000.0,1127508000000.0,1039462000000.0,917848000000.0,
Diluted Average Shares,5991748000.0,5835551000.0,5728459000.0,5579534000.0,
Basic Average Shares,5785462000.0,5703364000.0,5640723000.0,5546320000.0,
Diluted EPS,56.04,12.8,14.57,7.63,
Basic EPS,58.0,13.09,14.8,7.67,
Diluted NI Availto Com Stockholders,335753000000.0,74670000000.0,83459000000.0,42549000000.0,
Average Dilution Earnings,192000000.0,,,,
Net Income Common Stockholders,335561000000.0,74670000000.0,83459000000.0,42549000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,335561000000.0,74670000000.0,83459000000.0,42549000000.0,
Minority Interests,-39252000000.0,-10910000000.0,-39415000000.0,-40503000000.0,
Net Income Including Noncontrolling Interests,374813000000.0,85580000000.0,122874000000.0,83052000000.0,
Net Income Discontinuous Operations,,,,0.0,110567000000.0
Net Income Continuous Operations,374813000000.0,85580000000.0,122874000000.0,83052000000.0,
Tax Provision,9172000000.0,41210000000.0,42733000000.0,41779000000.0,
Pretax Income,383985000000.0,126790000000.0,165607000000.0,124831000000.0,
Other Non Operating Income Expenses,3590000000.0,2019000000.0,1645000000.0,1007000000.0,
Special Income Charges,70184000000.0,-83856000000.0,-8100000000.0,15807000000.0,
Other Special Charges,51122000000.0,75072000000.0,6698000000.0,-20796000000.0,
Write Off,4515000000.0,8784000000.0,1402000000.0,1179000000.0,
Impairment Of Capital Assets,17404000000.0,,,3810000000.0,
Restructuring And Mergern Acquisition,-143225000000.0,,,,447000000.0
Net Non Operating Interest Income Expense,-205319000000.0,-183088000000.0,-165431000000.0,-155796000000.0,
Total Other Finance Cost,34484000000.0,30022000000.0,25556000000.0,25501000000.0,
Interest Expense Non Operating,176141000000.0,159559000000.0,142955000000.0,132501000000.0,
Interest Income Non Operating,5306000000.0,6493000000.0,3080000000.0,2206000000.0,
Operating Income,483366000000.0,372316000000.0,351986000000.0,247621000000.0,
Operating Expense,678146000000.0,591987000000.0,526736000000.0,463799000000.0,
Other Operating Expenses,42114000000.0,33691000000.0,39578000000.0,33472000000.0,
Depreciation And Amortization In Income Statement,455703000000.0,395376000000.0,364318000000.0,330907000000.0,
Amortization,103961000000.0,89873000000.0,79005000000.0,74925000000.0,
Depreciation Income Statement,351742000000.0,305503000000.0,285313000000.0,255982000000.0,
Selling General And Administration,120202000000.0,112235000000.0,76699000000.0,57097000000.0,
Selling And Marketing Expense,114601000000.0,107882000000.0,72454000000.0,53035000000.0,
General And Administrative Expense,5601000000.0,4353000000.0,4245000000.0,4062000000.0,
Gross Profit,1161512000000.0,964303000000.0,878722000000.0,711420000000.0,
Cost Of Revenue,568340000000.0,535521000000.0,512726000000.0,454049000000.0,
Total Revenue,1729852000000.0,1499824000000.0,1391448000000.0,1165469000000.0,
Operating Revenue,1729852000000.0,1499824000000.0,1391448000000.0,1165469000000.0,
