,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,602135447.961373,601170000.0,230970947.862663,0.0,
Tax Rate For Calcs,0.283932,0.3,0.085927,0.3,
Normalized EBITDA,15537400000.0,10224200000.0,12280900000.0,11405400000.0,
Total Unusual Items,2120700000.0,2003900000.0,2688000000.0,2127600000.0,
Total Unusual Items Excluding Goodwill,2120700000.0,2003900000.0,2688000000.0,2127600000.0,
Net Income From Continuing Operation Net Minority Interest,5339000000.0,2822200000.0,6374400000.0,4460300000.0,
Reconciled Depreciation,2719600000.0,2489000000.0,2603400000.0,3141200000.0,
Reconciled Cost Of Revenue,188451500000.0,168071100000.0,163007200000.0,147938400000.0,
EBITDA,17658100000.0,12228100000.0,14968900000.0,11405400000.0,
EBIT,14938500000.0,9739100000.0,12365500000.0,8264200000.0,
Net Interest Income,-5034400000.0,-3338600000.0,-1905800000.0,-3559600000.0,
Interest Expense,7482500000.0,7312500000.0,5209400000.0,3559600000.0,
Interest Income,4026300000.0,4937800000.0,4211200000.0,3027900000.0,
Normalized Income,3820435447.961373,1419470000.0,3917370947.862663,4460300000.0,
Net Income From Continuing And Discontinued Operation,5339000000.0,2822200000.0,6374400000.0,4460300000.0,
Total Expenses,265470500000.0,227407200000.0,220398000000.0,197319200000.0,
Rent Expense Supplemental,627400000.0,576000000.0,608600000.0,609900000.0,
Diluted Average Shares,3482100000.0,3482100000.0,3482100000.0,3482063355.0,
Basic Average Shares,3482100000.0,3482100000.0,3482100000.0,3482063355.0,
Diluted EPS,1.53,0.81,1.88,0.12,
Basic EPS,1.53,0.81,1.88,0.12,
Diluted NI Availto Com Stockholders,5339000000.0,2822200000.0,6374400000.0,4460300000.0,
Net Income Common Stockholders,5339000000.0,2822200000.0,6374400000.0,4460300000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5339000000.0,2822200000.0,6374400000.0,4460300000.0,
Minority Interests,0.0,-825500000.0,-166800000.0,13200000.0,
Net Income Including Noncontrolling Interests,5339000000.0,2822200000.0,6541200000.0,4447100000.0,
Net Income Continuous Operations,5339000000.0,2822200000.0,6541200000.0,4962100000.0,
Tax Provision,2117000000.0,-395600000.0,614900000.0,-257500000.0,
Pretax Income,7456000000.0,2426600000.0,7156100000.0,4704600000.0,
Other Non Operating Income Expenses,344700000.0,271500000.0,254300000.0,3545400000.0,
Special Income Charges,2063100000.0,2015300000.0,2435400000.0,2127600000.0,
Other Special Charges,-2063100000.0,-2015300000.0,-2435400000.0,-2127600000.0,
Write Off,,,,,2783500000.0
Net Non Operating Interest Income Expense,-5034400000.0,-3338600000.0,-1905800000.0,-3559600000.0,
Total Other Finance Cost,1578200000.0,963900000.0,907600000.0,935700000.0,
Interest Expense Non Operating,7482500000.0,7312500000.0,5209400000.0,3559600000.0,
Interest Income Non Operating,4026300000.0,4937800000.0,4211200000.0,3027900000.0,
Operating Income,8081200000.0,1798000000.0,965000000.0,4214600000.0,
Operating Expense,77019000000.0,59336100000.0,57390800000.0,49380800000.0,
Other Operating Expenses,17032100000.0,3722000000.0,2858600000.0,1626200000.0,
Depreciation And Amortization In Income Statement,2719600000.0,2489000000.0,2603400000.0,3141200000.0,
Amortization,208300000.0,152400000.0,,,
Depreciation Income Statement,2511300000.0,2336600000.0,2603400000.0,3141200000.0,
Research And Development,273200000.0,234400000.0,242800000.0,249300000.0,
Selling General And Administration,5137000000.0,3979000000.0,4088700000.0,3715000000.0,
Selling And Marketing Expense,2465300000.0,2030300000.0,2531700000.0,2431700000.0,
General And Administrative Expense,2671700000.0,1948700000.0,1557000000.0,1283300000.0,
Rent And Landing Fees,627400000.0,576000000.0,608600000.0,609900000.0,
Gross Profit,85100200000.0,61134100000.0,58355800000.0,53595400000.0,
Cost Of Revenue,188451500000.0,168071100000.0,163007200000.0,147938400000.0,
Total Revenue,273551700000.0,229205200000.0,221363000000.0,201533800000.0,
Operating Revenue,273551700000.0,229205200000.0,221363000000.0,201533800000.0,
