,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,2533910000.0,1555350000.0,-149700000.0,-219120000.0,
Tax Rate For Calcs,0.23,0.15,0.15,0.22,
Normalized EBITDA,33596000000.0,30315000000.0,25290000000.0,19645000000.0,
Total Unusual Items,11017000000.0,10369000000.0,-998000000.0,-996000000.0,
Total Unusual Items Excluding Goodwill,11017000000.0,10369000000.0,-998000000.0,-996000000.0,
Net Income From Continuing Operation Net Minority Interest,10133000000.0,10225000000.0,4627000000.0,6484000000.0,
Reconciled Depreciation,16870000000.0,15688000000.0,11131000000.0,8142000000.0,
Reconciled Cost Of Revenue,51980000000.0,49066000000.0,36668000000.0,27236000000.0,
EBITDA,44613000000.0,40684000000.0,24292000000.0,18649000000.0,
EBIT,27743000000.0,24996000000.0,13161000000.0,10507000000.0,
Net Interest Income,-7887000000.0,-8131000000.0,-3066000000.0,445000000.0,
Interest Expense,8877000000.0,9744000000.0,4190000000.0,676000000.0,
Interest Income,1087000000.0,1613000000.0,1124000000.0,1121000000.0,
Normalized Income,1649910000.0,1411350000.0,5475300000.0,7260880000.0,
Net Income From Continuing And Discontinued Operation,10133000000.0,10225000000.0,4627000000.0,6484000000.0,
Total Expenses,134263000000.0,127613000000.0,93070000000.0,68383000000.0,
Rent Expense Supplemental,195000000.0,3000000.0,29000000.0,38000000.0,
Diluted Average Shares,1198201789.0,1196870502.0,1195925590.0,1196351671.0,
Basic Average Shares,1197455499.0,1195428813.0,1193095945.0,1191074681.0,
Diluted EPS,8.46,8.54,3.87,5.42,
Basic EPS,8.46,8.55,3.88,5.44,
Diluted NI Availto Com Stockholders,10133000000.0,10225000000.0,4627000000.0,6484000000.0,
Net Income Common Stockholders,10133000000.0,10225000000.0,4627000000.0,6484000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,10133000000.0,10225000000.0,4627000000.0,6484000000.0,
Minority Interests,-4161000000.0,-2753000000.0,-1803000000.0,-1232000000.0,
Net Income Including Noncontrolling Interests,14294000000.0,12978000000.0,6430000000.0,7716000000.0,
Net Income Discontinuous Operations,,,,,-97000000.0
Net Income Continuous Operations,14294000000.0,12978000000.0,6430000000.0,7716000000.0,
Tax Provision,4572000000.0,2274000000.0,2541000000.0,2115000000.0,
Pretax Income,18866000000.0,15252000000.0,8971000000.0,9831000000.0,
Other Non Operating Income Expenses,11000000.0,34000000.0,39000000.0,7000000.0,
Special Income Charges,11432000000.0,8668000000.0,-806000000.0,-843000000.0,
Other Special Charges,-11462000000.0,-8679000000.0,796000000.0,835000000.0,
Write Off,30000000.0,11000000.0,10000000.0,8000000.0,
Net Non Operating Interest Income Expense,-7887000000.0,-8131000000.0,-3066000000.0,445000000.0,
Total Other Finance Cost,97000000.0,,,,
Interest Expense Non Operating,8877000000.0,9744000000.0,4190000000.0,676000000.0,
Interest Income Non Operating,1087000000.0,1613000000.0,1124000000.0,1121000000.0,
Operating Income,16259000000.0,14345000000.0,16271000000.0,11865000000.0,
Operating Expense,82283000000.0,78547000000.0,56402000000.0,41147000000.0,
Other Operating Expenses,16583000000.0,22128000000.0,15917000000.0,9399000000.0,
Depreciation And Amortization In Income Statement,16870000000.0,15688000000.0,11131000000.0,8142000000.0,
Amortization,6859000000.0,6295000000.0,2914000000.0,1310000000.0,
Depreciation Income Statement,10011000000.0,9393000000.0,8217000000.0,6832000000.0,
Research And Development,6341000000.0,7123000000.0,4898000000.0,1919000000.0,
Selling General And Administration,12720000000.0,8860000000.0,4867000000.0,4307000000.0,
Selling And Marketing Expense,6499000000.0,2966000000.0,2216000000.0,2438000000.0,
General And Administrative Expense,6221000000.0,5894000000.0,2651000000.0,1869000000.0,
Rent And Landing Fees,195000000.0,3000000.0,29000000.0,38000000.0,
Gross Profit,98542000000.0,92892000000.0,72673000000.0,53012000000.0,
Cost Of Revenue,51980000000.0,49066000000.0,36668000000.0,27236000000.0,
Total Revenue,150522000000.0,141958000000.0,109341000000.0,80248000000.0,
Operating Revenue,150522000000.0,141958000000.0,109341000000.0,80248000000.0,
