,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,53091969.984585,39919852.466078,485199286.974684,6707333.599043,
Tax Rate For Calcs,0.24671,0.25639,0.27853,0.330411,
Normalized EBITDA,9316300000.0,6903300000.0,5129400000.0,3751200000.0,
Total Unusual Items,215200000.0,155700000.0,1742000000.0,20300000.0,
Total Unusual Items Excluding Goodwill,215200000.0,155700000.0,1742000000.0,20300000.0,
Net Income From Continuing Operation Net Minority Interest,5912400000.0,4149500000.0,4004600000.0,1677100000.0,
Reconciled Depreciation,1283700000.0,976100000.0,847800000.0,859800000.0,
Reconciled Cost Of Revenue,91134400000.0,74211600000.0,62068700000.0,47475700000.0,
EBITDA,9531500000.0,7059000000.0,6871400000.0,3771500000.0,
EBIT,8247800000.0,6082900000.0,6023600000.0,2911700000.0,
Net Interest Income,-337800000.0,-505800000.0,-491200000.0,-321300000.0,
Interest Expense,398500000.0,511300000.0,469800000.0,402700000.0,
Interest Income,150200000.0,75000000.0,55800000.0,142700000.0,
Normalized Income,5750291969.984585,4033719852.466078,2747799286.974684,1663507333.599043,
Net Income From Continuing And Discontinued Operation,5912400000.0,4149500000.0,4004600000.0,1677100000.0,
Total Expenses,110647200000.0,89955400000.0,74751200000.0,57334700000.0,
Rent Expense Supplemental,887900000.0,779000000.0,598100000.0,479600000.0,
Diluted Average Shares,205614788.0,199440635.0,192627776.0,192627776.0,
Basic Average Shares,205614788.0,199440635.0,192627776.0,192627776.0,
Diluted EPS,28.76,20.77,20.789318,8.706429,
Basic EPS,28.76,20.77,20.789318,8.706429,
Diluted NI Availto Com Stockholders,5912400000.0,4149500000.0,4004600000.0,1677100000.0,
Net Income Common Stockholders,5912400000.0,4149500000.0,4004600000.0,1677100000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,5912400000.0,4149500000.0,4004600000.0,1677100000.0,
Minority Interests,-400000.0,6400000.0,-2300000.0,-2900000.0,
Net Income Including Noncontrolling Interests,5912800000.0,4143100000.0,4006900000.0,1680000000.0,
Net Income Extraordinary,,,,,26000000.0
Net Income Continuous Operations,5912800000.0,4143100000.0,4006900000.0,1680000000.0,
Tax Provision,1936500000.0,1428500000.0,1546900000.0,829000000.0,
Pretax Income,7849300000.0,5571600000.0,5553800000.0,2509000000.0,
Other Non Operating Income Expenses,223800000.0,153100000.0,116800000.0,187700000.0,
Special Income Charges,-120100000.0,-36700000.0,1638600000.0,-6500000.0,
Other Special Charges,-79600000.0,36700000.0,-1638600000.0,6500000.0,
Write Off,199700000.0,382900000.0,0.0,257100000.0,
Net Non Operating Interest Income Expense,-337800000.0,-505800000.0,-491200000.0,-321300000.0,
Total Other Finance Cost,89500000.0,69500000.0,77200000.0,61300000.0,
Interest Expense Non Operating,398500000.0,511300000.0,469800000.0,402700000.0,
Interest Income Non Operating,150200000.0,75000000.0,55800000.0,142700000.0,
Operating Income,7879700000.0,5801100000.0,4233600000.0,2660600000.0,
Operating Expense,19512800000.0,15743800000.0,12682500000.0,9859000000.0,
Other Operating Expenses,3620700000.0,2879000000.0,2470300000.0,1311900000.0,
Depreciation And Amortization In Income Statement,1283700000.0,976100000.0,847800000.0,859800000.0,
Amortization,238000000.0,204600000.0,154200000.0,187300000.0,
Depreciation Income Statement,1045700000.0,771500000.0,693600000.0,672500000.0,
Selling General And Administration,5411600000.0,4232500000.0,3364500000.0,2512300000.0,
Selling And Marketing Expense,4033800000.0,3264600000.0,2517800000.0,1851900000.0,
General And Administrative Expense,1377800000.0,967900000.0,846700000.0,660400000.0,
Rent And Landing Fees,887900000.0,779000000.0,598100000.0,479600000.0,
Gross Profit,27392500000.0,21544900000.0,16916100000.0,12519600000.0,
Cost Of Revenue,91134400000.0,74211600000.0,62068700000.0,47475700000.0,
Total Revenue,118526900000.0,95756500000.0,78984800000.0,59995300000.0,
Operating Revenue,118526900000.0,95756500000.0,78984800000.0,59995300000.0,
