,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1026179921.677707,2415132675.197284,441794920.837318,320166000.0,
Tax Rate For Calcs,0.263258,0.217091,0.243279,0.189,
Normalized EBITDA,27274000000.0,25394000000.0,20932000000.0,16707000000.0,
Total Unusual Items,3898000000.0,11125000000.0,1816000000.0,1694000000.0,
Total Unusual Items Excluding Goodwill,3898000000.0,11125000000.0,1816000000.0,1694000000.0,
Net Income From Continuing Operation Net Minority Interest,20152000000.0,24913000000.0,14255000000.0,12183000000.0,
Reconciled Depreciation,3756000000.0,4295000000.0,3856000000.0,3243000000.0,
Reconciled Cost Of Revenue,120513000000.0,114458000000.0,100825000000.0,76762000000.0,
EBITDA,31172000000.0,36519000000.0,22748000000.0,18401000000.0,
EBIT,27416000000.0,32224000000.0,18892000000.0,15158000000.0,
Net Interest Income,3776000000.0,3507000000.0,2547000000.0,1806000000.0,
Interest Expense,93000000.0,417000000.0,70000000.0,159000000.0,
Interest Income,3947000000.0,4015000000.0,2668000000.0,2095000000.0,
Normalized Income,17280179921.677708,16203132675.197285,12880794920.837318,10809166000.0,
Net Income From Continuing And Discontinued Operation,20152000000.0,24913000000.0,14255000000.0,12183000000.0,
Total Expenses,158514000000.0,148358000000.0,133259000000.0,105281000000.0,
Rent Expense Supplemental,381000000.0,755000000.0,325000000.0,287000000.0,
Diluted Average Shares,29493640.0,29493640.0,29493640.0,29493640.0,
Basic Average Shares,29493640.0,29493640.0,29493640.0,29493640.0,
Diluted EPS,683.25,844.68,483.32,413.07,
Basic EPS,683.25,844.68,483.32,413.07,
Diluted NI Availto Com Stockholders,20152000000.0,24913000000.0,14255000000.0,12183000000.0,
Net Income Common Stockholders,20152000000.0,24913000000.0,14255000000.0,12183000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,20152000000.0,24913000000.0,14255000000.0,12183000000.0,
Net Income Including Noncontrolling Interests,20152000000.0,24913000000.0,14255000000.0,12183000000.0,
Net Income Discontinuous Operations,,,,,0.0
Net Income Continuous Operations,20152000000.0,24913000000.0,14255000000.0,12183000000.0,
Tax Provision,7193000000.0,6905000000.0,4579000000.0,2829000000.0,
Pretax Income,27323000000.0,31807000000.0,18822000000.0,14999000000.0,
Other Non Operating Income Expenses,1696000000.0,1595000000.0,1480000000.0,1160000000.0,
Special Income Charges,-25000000.0,8368000000.0,0.0,32000000.0,
Other Special Charges,3000000.0,-8438000000.0,,-32000000.0,
Write Off,36000000.0,70000000.0,,,
Restructuring And Mergern Acquisition,-14000000.0,-8438000000.0,0.0,0.0,
Net Non Operating Interest Income Expense,3776000000.0,3507000000.0,2547000000.0,1806000000.0,
Total Other Finance Cost,78000000.0,91000000.0,51000000.0,130000000.0,
Interest Expense Non Operating,93000000.0,417000000.0,70000000.0,159000000.0,
Interest Income Non Operating,3947000000.0,4015000000.0,2668000000.0,2095000000.0,
Operating Income,18306000000.0,15431000000.0,12859000000.0,10253000000.0,
Operating Expense,38001000000.0,33900000000.0,32434000000.0,28519000000.0,
Other Operating Expenses,8971000000.0,7374000000.0,8967000000.0,7443000000.0,
Depreciation And Amortization In Income Statement,3756000000.0,4295000000.0,3856000000.0,3243000000.0,
Depreciation Income Statement,3756000000.0,4295000000.0,3856000000.0,3243000000.0,
Selling General And Administration,12339000000.0,9982000000.0,9570000000.0,8013000000.0,
Selling And Marketing Expense,3902000000.0,3461000000.0,3286000000.0,3075000000.0,
General And Administrative Expense,8437000000.0,6521000000.0,6284000000.0,4938000000.0,
Rent And Landing Fees,381000000.0,755000000.0,325000000.0,287000000.0,
Gross Profit,56307000000.0,49331000000.0,45293000000.0,38772000000.0,
Cost Of Revenue,120513000000.0,114458000000.0,100825000000.0,76762000000.0,
Total Revenue,176820000000.0,163789000000.0,146118000000.0,115534000000.0,
Operating Revenue,176820000000.0,163789000000.0,146118000000.0,115534000000.0,
