,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-1182504870.0,-744073408.0,-6137167056.0,1957630114.0
Tax Rate For Calcs,0.26651,0.25792,0.24461,0.27158
Normalized EBITDA,294374500000.0,473546000000.0,156292000000.0,230815700000.0
Total Unusual Items,-4437000000.0,-2884900000.0,-25089600000.0,7208300000.0
Total Unusual Items Excluding Goodwill,-4437000000.0,-2884900000.0,-25089600000.0,7208300000.0
Net Income From Continuing Operation Net Minority Interest,133365500000.0,268588400000.0,21310500000.0,116815000000.0
Reconciled Depreciation,72566900000.0,67712600000.0,63688200000.0,54343500000.0
Reconciled Cost Of Revenue,3997930200000.0,3891367400000.0,4458827100000.0,3139793100000.0
EBITDA,289937500000.0,470661100000.0,131202400000.0,238024000000.0
EBIT,217370600000.0,402948500000.0,67514200000.0,183680500000.0
Net Interest Income,-20020200000.0,-27375100000.0,-31940200000.0,-12810100000.0
Interest Expense,35547600000.0,41004100000.0,39302900000.0,23313200000.0
Interest Income,15633700000.0,13733100000.0,7654100000.0,10887200000.0
Normalized Income,136619995130.0,270729226592.0,40262932944.0,111564330114.0
Net Income From Continuing And Discontinued Operation,133365500000.0,268588400000.0,21310500000.0,116815000000.0
Total Expenses,4199935100000.0,4089925200000.0,4588343600000.0,3308177000000.0
Rent Expense Supplemental,7398800000.0,6673700000.0,8698800000.0,4231000000.0
Diluted Average Shares,4272600000.0,4260800000.0,4259000000.0,4255000000.0
Basic Average Shares,4272600000.0,4260800000.0,4259000000.0,4255000000.0
Diluted EPS,31.21,63.04,5.005,27.455
Basic EPS,31.21,63.04,5.005,27.455
Diluted NI Availto Com Stockholders,133365500000.0,268588400000.0,21310500000.0,116815000000.0
Net Income Common Stockholders,133365500000.0,268588400000.0,21310500000.0,116815000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,133365500000.0,268588400000.0,21310500000.0,116815000000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,133365500000.0,268588400000.0,21310500000.0,116815000000.0
Net Income Continuous Operations,133365500000.0,268588400000.0,21310500000.0,116815000000.0
Tax Provision,48457500000.0,93356000000.0,6900800000.0,43552300000.0
Pretax Income,181823000000.0,361944400000.0,28211300000.0,160367300000.0
Other Non Operating Income Expenses,8508800000.0,6469700000.0,6651200000.0,7733500000.0
Special Income Charges,-4967900000.0,-3537400000.0,-12764000000.0,13996600000.0
Other Special Charges,3693800000.0,2678400000.0,1977000000.0,-13622300000.0
Write Off,63700000.0,28700000.0,10161100000.0,-374300000.0
Impairment Of Capital Assets,1210400000.0,830300000.0,625900000.0,0.0
Restructuring And Mergern Acquisition,,,0.0,-17201300000.0
Net Non Operating Interest Income Expense,-20020200000.0,-27375100000.0,-31940200000.0,-12810100000.0
Total Other Finance Cost,106300000.0,104100000.0,291400000.0,384100000.0
Interest Expense Non Operating,35547600000.0,41004100000.0,39302900000.0,23313200000.0
Interest Income Non Operating,15633700000.0,13733100000.0,7654100000.0,10887200000.0
Operating Income,187442600000.0,376737400000.0,74233700000.0,147783300000.0
Operating Expense,202004900000.0,198557800000.0,129516500000.0,168383900000.0
Other Operating Expenses,164254900000.0,160916800000.0,153197200000.0,134513700000.0
Selling General And Administration,11726900000.0,10335200000.0,9164900000.0,7509700000.0
General And Administrative Expense,11726900000.0,10335200000.0,9164900000.0,7509700000.0
Rent And Landing Fees,7398800000.0,6673700000.0,8698800000.0,4231000000.0
Gross Profit,389447500000.0,575295200000.0,203750200000.0,316167200000.0
Cost Of Revenue,3997930200000.0,3891367400000.0,4458827100000.0,3139793100000.0
Total Revenue,4387377700000.0,4466662600000.0,4662577300000.0,3455960300000.0
Operating Revenue,4387377700000.0,4466662600000.0,4662577300000.0,3455960300000.0
