,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,23608959.241663,-825406.20384,127687823.302997,-129630000.0,
Tax Rate For Calcs,0.217194,0.294788,0.200799,0.3,
Normalized EBITDA,16298700000.0,13446200000.0,9460600000.0,8092600000.0,
Total Unusual Items,108700000.0,-2800000.0,635900000.0,-432100000.0,
Total Unusual Items Excluding Goodwill,108700000.0,-2800000.0,635900000.0,-432100000.0,
Net Income From Continuing Operation Net Minority Interest,6857600000.0,4516100000.0,2914100000.0,827700000.0,
Reconciled Depreciation,2887800000.0,3020900000.0,3145800000.0,3505400000.0,
Reconciled Cost Of Revenue,23686500000.0,27727900000.0,18247400000.0,16265700000.0,
EBITDA,16407400000.0,13443400000.0,10096500000.0,7660500000.0,
EBIT,13519600000.0,10422500000.0,6950700000.0,4155100000.0,
Net Interest Income,-2898900000.0,-3618400000.0,-3560400000.0,-4098800000.0,
Interest Expense,4826900000.0,4735700000.0,4170800000.0,4305500000.0,
Interest Income,2056000000.0,1292000000.0,781100000.0,337200000.0,
Normalized Income,6772508959.241663,4518074593.79616,2405887823.302997,1130170000.0,
Net Income From Continuing And Discontinued Operation,6857600000.0,4516100000.0,2914100000.0,827700000.0,
Total Expenses,39130200000.0,39787100000.0,28488200000.0,25247800000.0,
Rent Expense Supplemental,48900000.0,37800000.0,27100000.0,16100000.0,
Diluted Average Shares,239100000.0,231500000.0,231100000.0,226100000.0,
Basic Average Shares,238600000.0,230900000.0,230500000.0,225500000.0,
Diluted EPS,28.68,19.51,12.61,3.66,
Basic EPS,28.74,19.56,12.64,3.67,
Diluted NI Availto Com Stockholders,6857600000.0,4516100000.0,2914100000.0,827700000.0,
Net Income Common Stockholders,6857600000.0,4516100000.0,2914100000.0,827700000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,6857600000.0,4516100000.0,2914100000.0,827700000.0,
Minority Interests,52900000.0,505700000.0,692400000.0,1475300000.0,
Net Income Including Noncontrolling Interests,6804700000.0,4010400000.0,2221700000.0,-647600000.0,
Net Income Continuous Operations,6804700000.0,4010400000.0,2221700000.0,-647600000.0,
Tax Provision,1888000000.0,1676400000.0,558200000.0,497200000.0,
Pretax Income,8692700000.0,5686800000.0,2779900000.0,-150400000.0,
Other Non Operating Income Expenses,278200000.0,437700000.0,189300000.0,164200000.0,
Special Income Charges,4300000.0,-40200000.0,449400000.0,-567500000.0,
Other Special Charges,-16300000.0,19500000.0,-288400000.0,373200000.0,
Write Off,12000000.0,20700000.0,9000000.0,194300000.0,
Impairment Of Capital Assets,,0.0,-170000000.0,0.0,185000000.0
Net Non Operating Interest Income Expense,-2898900000.0,-3618400000.0,-3560400000.0,-4098800000.0,
Total Other Finance Cost,128000000.0,174700000.0,170700000.0,130500000.0,
Interest Expense Non Operating,4826900000.0,4735700000.0,4170800000.0,4305500000.0,
Interest Income Non Operating,2056000000.0,1292000000.0,781100000.0,337200000.0,
Operating Income,11210200000.0,8873200000.0,5479900000.0,4190600000.0,
Operating Expense,15443700000.0,12059200000.0,10240800000.0,8982100000.0,
Other Operating Expenses,6314400000.0,4052200000.0,3371400000.0,2753900000.0,
Depreciation And Amortization In Income Statement,2887800000.0,3020900000.0,3145800000.0,3505400000.0,
Amortization,15100000.0,20800000.0,21300000.0,23900000.0,
Depreciation Income Statement,2872700000.0,3000100000.0,3124500000.0,3481500000.0,
Selling General And Administration,2382800000.0,1923600000.0,1451700000.0,1168300000.0,
Selling And Marketing Expense,1057100000.0,684900000.0,600600000.0,501500000.0,
General And Administrative Expense,1325700000.0,1238700000.0,851100000.0,666800000.0,
Rent And Landing Fees,48900000.0,37800000.0,27100000.0,16100000.0,
Gross Profit,26653900000.0,20932400000.0,15720700000.0,13172700000.0,
Cost Of Revenue,23686500000.0,27727900000.0,18247400000.0,16265700000.0,
Total Revenue,50340400000.0,48660300000.0,33968100000.0,29438400000.0,
Operating Revenue,50340400000.0,48660300000.0,33968100000.0,29438400000.0,
