,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,161382797.279596,1005436762.008426,70556000.0,133250000.0
Tax Rate For Calcs,0.24665,0.225273,0.31,0.25
Normalized EBITDA,17958500000.0,6558800000.0,3623200000.0,3444000000.0
Total Unusual Items,654300000.0,4463200000.0,227600000.0,533000000.0
Total Unusual Items Excluding Goodwill,654300000.0,4463200000.0,227600000.0,533000000.0
Net Income From Continuing Operation Net Minority Interest,13206300000.0,7754300000.0,2206700000.0,2543300000.0
Reconciled Depreciation,1129800000.0,949300000.0,603400000.0,482900000.0
Reconciled Cost Of Revenue,11375600000.0,6874800000.0,3159600000.0,3076200000.0
EBITDA,18612800000.0,11022000000.0,3850800000.0,3977000000.0
EBIT,17483000000.0,10072700000.0,3247400000.0,3494100000.0
Net Interest Income,1583400000.0,1200400000.0,557000000.0,166000000.0
Interest Expense,300000.0,150500000.0,274800000.0,221500000.0
Interest Income,1900500000.0,1587400000.0,925600000.0,447600000.0
Normalized Income,12713382797.279596,4296536762.008426,2049656000.0,2143550000.0
Net Income From Continuing And Discontinued Operation,13258900000.0,7783900000.0,2206700000.0,2543300000.0
Total Expenses,15344700000.0,10374500000.0,6667900000.0,5715900000.0
Rent Expense Supplemental,23300000.0,25300000.0,36900000.0,24000000.0
Diluted Average Shares,411979077.0,412115259.0,412238673.0,412238673.0
Basic Average Shares,411979077.0,412115259.0,412238673.0,412238673.0
Diluted EPS,32.183333,18.886667,5.353333,6.17
Basic EPS,32.183333,18.886667,5.353333,6.17
Diluted NI Availto Com Stockholders,13258900000.0,7783900000.0,2206700000.0,2543300000.0
Net Income Common Stockholders,13258900000.0,7783900000.0,2206700000.0,2543300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,13258900000.0,7783900000.0,2206700000.0,2543300000.0
Minority Interests,35700000.0,67300000.0,150200000.0,94000000.0
Net Income Including Noncontrolling Interests,13223200000.0,7716600000.0,2056500000.0,2449300000.0
Net Income Discontinuous Operations,52600000.0,29600000.0,,
Net Income Continuous Operations,13170600000.0,7687000000.0,2056500000.0,2449300000.0
Tax Provision,4312100000.0,2235200000.0,916100000.0,823300000.0
Pretax Income,17482700000.0,9922200000.0,2972600000.0,3272600000.0
Other Non Operating Income Expenses,194500000.0,206200000.0,219000000.0,222800000.0
Special Income Charges,23700000.0,4095000000.0,-200000.0,400000.0
Other Special Charges,-500000.0,-4088700000.0,200000.0,-900000.0
Write Off,-23200000.0,-6300000.0,-4500000.0,500000.0
Net Non Operating Interest Income Expense,1583400000.0,1200400000.0,557000000.0,166000000.0
Total Other Finance Cost,316800000.0,236500000.0,93800000.0,60100000.0
Interest Expense Non Operating,300000.0,150500000.0,274800000.0,221500000.0
Interest Income Non Operating,1900500000.0,1587400000.0,925600000.0,447600000.0
Operating Income,14228700000.0,3335900000.0,1487400000.0,1715600000.0
Operating Expense,3969100000.0,3499700000.0,3508300000.0,2639700000.0
Other Operating Expenses,1391900000.0,1104300000.0,597000000.0,469000000.0
Depreciation And Amortization In Income Statement,1129800000.0,949300000.0,603400000.0,482900000.0
Depreciation Income Statement,1129800000.0,949300000.0,603400000.0,482900000.0
Selling General And Administration,1113900000.0,1150700000.0,2031100000.0,1457600000.0
Selling And Marketing Expense,76900000.0,25400000.0,58700000.0,35000000.0
General And Administrative Expense,1037000000.0,1125300000.0,1972400000.0,1422600000.0
Rent And Landing Fees,23300000.0,25300000.0,36900000.0,24000000.0
Gross Profit,18197800000.0,6835600000.0,4995700000.0,4355300000.0
Cost Of Revenue,11375600000.0,6874800000.0,3159600000.0,3076200000.0
Total Revenue,29573400000.0,13710400000.0,8155300000.0,7431500000.0
Operating Revenue,29573400000.0,13710400000.0,8155300000.0,7431500000.0
