,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,5522373.306574,41275312.051526,746820796.787875,50805200.169599
Tax Rate For Calcs,0.243319,0.25304,0.241847,0.352312
Total Unusual Items,22696000.0,163118000.0,3087994000.0,144205000.0
Total Unusual Items Excluding Goodwill,22696000.0,163118000.0,3087994000.0,144205000.0
Net Income From Continuing Operation Net Minority Interest,175396241000.0,152785644000.0,112547457000.0,61248216000.0
Reconciled Depreciation,8697700000.0,9017300000.0,10209600000.0,8410500000.0
Net Interest Income,389204383000.0,384011653000.0,328946621000.0,275783158000.0
Interest Expense,826806753000.0,721175863000.0,529900640000.0,430354698000.0
Interest Income,1216011136000.0,1105187516000.0,858847261000.0,706137856000.0
Normalized Income,175379067373.30658,152663801312.0515,110206283796.78787,61154816200.1696
Net Income From Continuing And Discontinued Operation,175396241000.0,152785644000.0,112547457000.0,61248216000.0
Diluted Average Shares,9070600000.0,1814300000.0,9071500000.0,8738500000.0
Basic Average Shares,9070600000.0,1814300000.0,9071500000.0,8738500000.0
Diluted EPS,19.34,84.22,12.408,7.008
Basic EPS,19.34,84.22,12.408,7.008
Diluted NI Availto Com Stockholders,175396241000.0,152785644000.0,112547457000.0,61248216000.0
Net Income Common Stockholders,175396241000.0,152785644000.0,112547457000.0,61248216000.0
Net Income,175396241000.0,152785644000.0,112547457000.0,61248216000.0
Minority Interests,-1522755000.0,-1223532000.0,-898442000.0,-336038000.0
Net Income Including Noncontrolling Interests,176918996000.0,154009176000.0,113445931000.0,61584245000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,176918999000.0,154009174000.0,113445931000.0,61584245000.0
Tax Provision,56890299000.0,52172000000.0,36188600000.0,33499000000.0
Pretax Income,233809298000.0,206181174000.0,149634531000.0,95083245000.0
Special Income Charges,22696000.0,163118000.0,3087994000.0,144205000.0
Other Special Charges,-22696000.0,-163118000.0,-3087994000.0,-144205000.0
Gain On Sale Of Security,37109899000.0,46979852000.0,18386838000.0,40951439000.0
Operating Expense,383053856000.0,370273227000.0,312097785000.0,309700691000.0
Other Operating Expenses,156526751000.0,159252834000.0,130267698000.0,145578924000.0
Depreciation And Amortization In Income Statement,8697720000.0,9017343000.0,10209560000.0,8410519000.0
Depreciation Income Statement,8697720000.0,9017343000.0,10209560000.0,8410519000.0
Selling General And Administration,4983639000.0,5021540000.0,5004373000.0,3271968000.0
Selling And Marketing Expense,1714475000.0,2123032000.0,2226398000.0,1411443000.0
General And Administrative Expense,3269164000.0,2898508000.0,2777975000.0,1860525000.0
Insurance And Claims,15648732000.0,13815256000.0,12191779000.0,8776067000.0
Rent And Landing Fees,11104535000.0,12006095000.0,11473929000.0,11565091000.0
Total Revenue,710695975000.0,661201114000.0,553766487000.0,497740942000.0
Operating Revenue,710695975000.0,661201114000.0,553766487000.0,497740942000.0
