,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,120531.448473,271974.290552,-11359.473207,
Tax Rate For Calcs,0.204465,0.216006,0.246131,0.25817,
Total Unusual Items,0.0,558000.0,1105000.0,-44000.0,
Total Unusual Items Excluding Goodwill,0.0,558000.0,1105000.0,-44000.0,
Net Income From Continuing Operation Net Minority Interest,8571654000.0,7506987000.0,6212123000.0,4711051000.0,
Reconciled Depreciation,128681000.0,127147000.0,124554000.0,98058000.0,
Net Interest Income,13581345000.0,12617830000.0,10174994000.0,8197816000.0,
Interest Expense,24848081000.0,22284012000.0,16979173000.0,11498840000.0,
Interest Income,38429426000.0,34901842000.0,27154167000.0,19696656000.0,
Normalized Income,8571654000.0,7506549531.448473,6211289974.290552,4711083640.526793,
Net Income From Continuing And Discontinued Operation,8571654000.0,7506987000.0,6212123000.0,4711051000.0,
Diluted Average Shares,133154000.0,133154000.0,133154000.0,133154000.0,
Basic Average Shares,133154000.0,133154000.0,133154000.0,133154000.0,
Diluted EPS,64.37,56.38,46.65,35.38,
Basic EPS,64.37,56.38,46.65,35.38,
Diluted NI Availto Com Stockholders,8571654000.0,7506987000.0,6212123000.0,4711051000.0,
Net Income Common Stockholders,8571654000.0,7506987000.0,6212123000.0,4711051000.0,
Net Income,8571654000.0,7506987000.0,6212123000.0,4711051000.0,
Net Income Including Noncontrolling Interests,8571654000.0,7506987000.0,6212123000.0,4711051000.0,
Net Income Discontinuous Operations,,0.0,0.0,0.0,0.0
Net Income Continuous Operations,8571654000.0,7506987000.0,6212123000.0,4711051000.0,
Tax Provision,2203051000.0,2068327000.0,2028194000.0,1639528000.0,
Pretax Income,10774705000.0,9575314000.0,8240317000.0,6350579000.0,
Special Income Charges,0.0,558000.0,1105000.0,-44000.0,
Other Special Charges,,-558000.0,-1105000.0,44000.0,594000.0
Operating Expense,2106999000.0,1772956000.0,1474367000.0,1311722000.0,
Other Operating Expenses,487160000.0,432415000.0,318487000.0,299908000.0,
Depreciation And Amortization In Income Statement,128681000.0,127147000.0,124554000.0,98058000.0,
Depreciation Income Statement,128681000.0,127147000.0,124554000.0,98058000.0,
Selling General And Administration,253790000.0,165488000.0,133405000.0,95206000.0,
Selling And Marketing Expense,28913000.0,19512000.0,14953000.0,11900000.0,
General And Administrative Expense,224877000.0,145976000.0,118452000.0,83306000.0,
Insurance And Claims,,16025000.0,6902000.0,14571000.0,9346000.0
Rent And Landing Fees,91166000.0,58062000.0,49644000.0,32622000.0,
Total Revenue,13639739000.0,12682736000.0,10120918000.0,8125016000.0,
Operating Revenue,13639739000.0,12682736000.0,10120918000.0,8125016000.0,
