,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-404630829.961634,-14166223.585119,47614011.129332,-9818368.674522
Tax Rate For Calcs,0.361555,0.267691,0.238332,0.265505
Normalized EBITDA,8052600000.0,8637270000.0,7703500000.0,5998610000.0
Total Unusual Items,-1119140000.0,-52920000.0,199780000.0,-36980000.0
Total Unusual Items Excluding Goodwill,-1119140000.0,-52920000.0,199780000.0,-36980000.0
Net Income From Continuing Operation Net Minority Interest,2927390000.0,4612500000.0,4139860000.0,3333550000.0
Reconciled Depreciation,2120260000.0,1907450000.0,1873360000.0,1145650000.0
Reconciled Cost Of Revenue,20136390000.0,19165720000.0,18667810000.0,12899220000.0
EBITDA,6933460000.0,8584350000.0,7903280000.0,5961630000.0
EBIT,4813200000.0,6676900000.0,6029920000.0,4815980000.0
Net Interest Income,151210000.0,-4940000.0,-93240000.0,144180000.0
Interest Expense,134550000.0,174410000.0,230830000.0,50530000.0
Interest Income,290920000.0,178450000.0,142090000.0,200620000.0
Normalized Income,3641899170.038366,4651253776.414881,3987694011.129332,3360711631.325478
Net Income From Continuing And Discontinued Operation,2927390000.0,4612500000.0,4139860000.0,3333550000.0
Total Expenses,43258290000.0,40509370000.0,41115250000.0,28545110000.0
Rent Expense Supplemental,216390000.0,169000000.0,166500000.0,105380000.0
Total Operating Income As Reported,5267860000.0,6063920000.0,,
Diluted Average Shares,188231030.0,190450740.0,190391112.0,190271889.0
Basic Average Shares,187885104.0,190037418.0,189888066.0,189724609.0
Diluted EPS,15.55,24.22,21.74,17.52
Basic EPS,15.58,24.27,21.8,17.57
Diluted NI Availto Com Stockholders,2927390000.0,4612500000.0,4139860000.0,3333550000.0
Net Income Common Stockholders,2927390000.0,4612500000.0,4139860000.0,3333550000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2927390000.0,4612500000.0,4139860000.0,3333550000.0
Minority Interests,-59670000.0,-149330000.0,-277120000.0,-166650000.0
Net Income Including Noncontrolling Interests,2987060000.0,4761830000.0,4416980000.0,3500200000.0
Net Income Continuous Operations,2987060000.0,4761830000.0,4416980000.0,3500200000.0
Tax Provision,1691590000.0,1740660000.0,1382110000.0,1265250000.0
Pretax Income,4678650000.0,6502490000.0,5799090000.0,4765450000.0
Other Non Operating Income Expenses,88310000.0,38080000.0,91040000.0,56060000.0
Special Income Charges,-1118750000.0,-54510000.0,198690000.0,-42290000.0
Other Special Charges,47620000.0,20660000.0,-218210000.0,30670000.0
Write Off,1071130000.0,33850000.0,19520000.0,11620000.0
Net Non Operating Interest Income Expense,151210000.0,-4940000.0,-93240000.0,144180000.0
Total Other Finance Cost,5160000.0,8980000.0,4500000.0,5910000.0
Interest Expense Non Operating,134550000.0,174410000.0,230830000.0,50530000.0
Interest Income Non Operating,290920000.0,178450000.0,142090000.0,200620000.0
Operating Income,5076890000.0,5772780000.0,4895110000.0,4351030000.0
Operating Expense,23121900000.0,21343650000.0,22447440000.0,15645890000.0
Other Operating Expenses,9319820000.0,9173450000.0,10601790000.0,8439380000.0
Depreciation And Amortization In Income Statement,2120260000.0,1907450000.0,1873360000.0,1145650000.0
Amortization,306560000.0,278890000.0,273490000.0,88510000.0
Depreciation Income Statement,1813700000.0,1628560000.0,1599870000.0,1057140000.0
Selling General And Administration,3427660000.0,3050510000.0,3395120000.0,2094050000.0
Selling And Marketing Expense,2460260000.0,2392980000.0,2311280000.0,1468390000.0
General And Administrative Expense,967400000.0,657530000.0,1083840000.0,625660000.0
Rent And Landing Fees,216390000.0,169000000.0,166500000.0,105380000.0
Gross Profit,28198790000.0,27116430000.0,27342550000.0,19996920000.0
Cost Of Revenue,20136390000.0,19165720000.0,18667810000.0,12899220000.0
Total Revenue,48335180000.0,46282150000.0,46010360000.0,32896140000.0
Operating Revenue,48335180000.0,46282150000.0,46010360000.0,32896140000.0
