,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,0.0,0.0,-1724.485299,0.0
Tax Rate For Calcs,0.118996,0.094701,0.068979,0.218047
Normalized EBITDA,5592830000.0,4489467000.0,3999726000.0,3322352000.0
Total Unusual Items,,0.0,-25000.0,0.0
Total Unusual Items Excluding Goodwill,,0.0,-25000.0,0.0
Net Income From Continuing Operation Net Minority Interest,3103365000.0,2500777000.0,2839637000.0,2043505000.0
Reconciled Depreciation,984612000.0,976720000.0,637045000.0,574630000.0
Reconciled Cost Of Revenue,19719608000.0,17093631000.0,12300059000.0,8153855000.0
EBITDA,5592830000.0,4489467000.0,3999701000.0,3322352000.0
EBIT,4608218000.0,3512747000.0,3362656000.0,2747722000.0
Net Interest Income,-1107341000.0,-772164000.0,-342574000.0,-162254000.0
Interest Expense,1085685000.0,750370000.0,312630000.0,134386000.0
Interest Income,20974000.0,4970000.0,1435000.0,1336000.0
Normalized Income,3103365000.0,2500777000.0,2839660275.514701,2043505000.0
Net Income From Continuing And Discontinued Operation,3103365000.0,2500777000.0,2839637000.0,2043505000.0
Total Expenses,26692447000.0,23232317000.0,17484170000.0,11954039000.0
Rent Expense Supplemental,23437000.0,26794000.0,15141000.0,21295000.0
Diluted Average Shares,133421928.0,133291767.0,133027920.0,133027920.0
Basic Average Shares,133152334.0,133027920.0,133027920.0,133027920.0
Diluted EPS,23.26,18.76,21.35,15.36
Basic EPS,23.31,18.8,21.35,15.36
Diluted NI Availto Com Stockholders,3103365000.0,2500777000.0,2839637000.0,2043505000.0
Net Income Common Stockholders,3103365000.0,2500777000.0,2839637000.0,2043505000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3103365000.0,2500777000.0,2839637000.0,2043505000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,3103365000.0,2500777000.0,2839637000.0,2043505000.0
Net Income Continuous Operations,3103365000.0,2500778000.0,2839637000.0,2043505000.0
Tax Provision,419168000.0,261599000.0,210389000.0,569831000.0
Pretax Income,3522533000.0,2762377000.0,3050026000.0,2613336000.0
Other Non Operating Income Expenses,63562000.0,58190000.0,31123000.0,39596000.0
Special Income Charges,,0.0,-25000.0,0.0
Other Special Charges,,,25000.0,
Write Off,,,-1750000.0,0.0
Net Non Operating Interest Income Expense,-1107341000.0,-772164000.0,-342574000.0,-162254000.0
Total Other Finance Cost,42630000.0,26764000.0,31379000.0,29204000.0
Interest Expense Non Operating,1085685000.0,750370000.0,312630000.0,134386000.0
Interest Income Non Operating,20974000.0,4970000.0,1435000.0,1336000.0
Operating Income,4365051000.0,3304691000.0,3227990000.0,2666250000.0
Operating Expense,6972839000.0,6138686000.0,5184111000.0,3800184000.0
Other Operating Expenses,2530318000.0,2501048000.0,2077392000.0,1227158000.0
Depreciation And Amortization In Income Statement,984612000.0,976720000.0,637045000.0,574630000.0
Amortization,0.0,0.0,,
Depreciation Income Statement,984612000.0,976720000.0,637045000.0,574630000.0
Selling General And Administration,1698613000.0,1161071000.0,1301142000.0,987312000.0
Selling And Marketing Expense,1521199000.0,1003535000.0,1179962000.0,853404000.0
General And Administrative Expense,177414000.0,157536000.0,121180000.0,133908000.0
Rent And Landing Fees,23437000.0,26794000.0,15141000.0,21295000.0
Gross Profit,11337890000.0,9443377000.0,8412101000.0,6466434000.0
Cost Of Revenue,19719608000.0,17093631000.0,12300059000.0,8153855000.0
Total Revenue,31057498000.0,26537008000.0,20712160000.0,14620289000.0
Operating Revenue,31057498000.0,26537008000.0,20712160000.0,14620289000.0
