,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-43006584.805027,-25596240.540122,-55080942.815223,3232691.484829,
Tax Rate For Calcs,0.328907,0.25921,0.263526,0.331151,
Normalized EBITDA,4956066000.0,5752153000.0,6210455000.0,5491479000.0,
Total Unusual Items,-130756000.0,-98747000.0,-209015000.0,9762000.0,
Total Unusual Items Excluding Goodwill,-130756000.0,-98747000.0,-209015000.0,9762000.0,
Net Income From Continuing Operation Net Minority Interest,1853199000.0,3263900000.0,3762219000.0,3130555000.0,
Reconciled Depreciation,1382692000.0,1005851000.0,775080000.0,742817000.0,
Reconciled Cost Of Revenue,24337596000.0,20353535000.0,19162063000.0,15020790000.0,
EBITDA,4825310000.0,5653406000.0,6001440000.0,5501241000.0,
EBIT,3442618000.0,4647555000.0,5226360000.0,4758424000.0,
Net Interest Income,-654881000.0,-20695000.0,84783000.0,14686000.0,
Interest Expense,669793000.0,255955000.0,107690000.0,76369000.0,
Interest Income,35396000.0,255949000.0,207257000.0,103610000.0,
Normalized Income,1940948415.194973,3337050759.459878,3916153057.184777,3124025691.484829,
Net Income From Continuing And Discontinued Operation,1853199000.0,3263900000.0,3762219000.0,3130555000.0,
Total Expenses,41518602000.0,34249086000.0,31164576000.0,25467932000.0,
Rent Expense Supplemental,199441000.0,206419000.0,121616000.0,112459000.0,
Diluted Average Shares,222172990.0,222172990.0,222172990.0,222172990.0,
Basic Average Shares,222172990.0,222172990.0,222172990.0,222172990.0,
Diluted EPS,8.34,14.69,16.93,14.09,
Basic EPS,8.34,14.69,16.93,14.09,
Diluted NI Availto Com Stockholders,1853199000.0,3263900000.0,3762219000.0,3130555000.0,
Net Income Common Stockholders,1853199000.0,3263900000.0,3762219000.0,3130555000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1853199000.0,3263900000.0,3762219000.0,3130555000.0,
Minority Interests,-7624000.0,10648000.0,-7547000.0,-1035000.0,
Net Income Including Noncontrolling Interests,1860823000.0,3253252000.0,3769766000.0,3131590000.0,
Net Income Continuous Operations,1860823000.0,3253252000.0,3769766000.0,3131590000.0,
Tax Provision,912002000.0,1138348000.0,1348904000.0,1550465000.0,
Pretax Income,2772825000.0,4391600000.0,5118670000.0,4682055000.0,
Other Non Operating Income Expenses,50238000.0,11782000.0,147519000.0,3092000.0,
Special Income Charges,-130756000.0,-98747000.0,-209015000.0,9762000.0,
Other Special Charges,134397000.0,-11572000.0,132627000.0,-40882000.0,
Write Off,-3641000.0,110319000.0,76388000.0,31120000.0,
Impairment Of Capital Assets,,,,,0.0
Net Non Operating Interest Income Expense,-654881000.0,-20695000.0,84783000.0,14686000.0,
Total Other Finance Cost,20484000.0,20689000.0,14784000.0,12555000.0,
Interest Expense Non Operating,669793000.0,255955000.0,107690000.0,76369000.0,
Interest Income Non Operating,35396000.0,255949000.0,207257000.0,103610000.0,
Operating Income,3560626000.0,4377853000.0,5156936000.0,4619129000.0,
Operating Expense,17181006000.0,13895551000.0,12002513000.0,10447142000.0,
Other Operating Expenses,4381945000.0,3502423000.0,2883634000.0,2405669000.0,
Depreciation And Amortization In Income Statement,1371867000.0,947366000.0,775080000.0,742817000.0,
Amortization,764000.0,569000.0,1344000.0,1905000.0,
Depreciation Income Statement,1371103000.0,946797000.0,773736000.0,740912000.0,
Selling General And Administration,4513568000.0,4073789000.0,3617220000.0,3193616000.0,
Selling And Marketing Expense,4245178000.0,3719378000.0,3203847000.0,2767331000.0,
General And Administrative Expense,268390000.0,354411000.0,413373000.0,426285000.0,
Rent And Landing Fees,199441000.0,206419000.0,121616000.0,112459000.0,
Gross Profit,20741632000.0,18273404000.0,17159449000.0,15066271000.0,
Cost Of Revenue,24337596000.0,20353535000.0,19162063000.0,15020790000.0,
Total Revenue,45079228000.0,38626939000.0,36321512000.0,30087061000.0,
Operating Revenue,45079228000.0,38626939000.0,36321512000.0,30087061000.0,
