,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,109717616.860909,126571163.17616,115171780.389965,403999321.69125,
Tax Rate For Calcs,0.278189,0.247984,0.205371,0.162608,
Normalized EBITDA,14274600000.0,12047700000.0,10567600000.0,6701500000.0,
Total Unusual Items,394400000.0,510400000.0,560800000.0,2484500000.0,
Total Unusual Items Excluding Goodwill,394400000.0,510400000.0,560800000.0,2484500000.0,
Net Income From Continuing Operation Net Minority Interest,9746000000.0,8705200000.0,7960300000.0,6290800000.0,
Reconciled Depreciation,1118400000.0,948900000.0,945000000.0,985800000.0,
Reconciled Cost Of Revenue,69653800000.0,55875200000.0,48836900000.0,39219900000.0,
EBITDA,14669000000.0,12558100000.0,11128400000.0,9186000000.0,
EBIT,13550600000.0,11609200000.0,10183400000.0,8200200000.0,
Net Interest Income,507100000.0,465700000.0,7500000.0,-613800000.0,
Interest Expense,70900000.0,25400000.0,162000000.0,681500000.0,
Interest Income,717500000.0,632800000.0,289200000.0,201600000.0,
Normalized Income,9461317616.860909,8321371163.17616,7514671780.389965,4210299321.69125,
Net Income From Continuing And Discontinued Operation,9746000000.0,14270100000.0,9626700000.0,9125400000.0,
Total Expenses,86073400000.0,69084000000.0,59838100000.0,48555900000.0,
Rent Expense Supplemental,173700000.0,172800000.0,117800000.0,73800000.0,
Diluted Average Shares,1529443915.0,1528604000.0,1527359578.0,1438032637.0,
Basic Average Shares,1528289183.0,1527249399.0,1516108906.0,1358728604.0,
Diluted EPS,6.37,9.33,6.3,6.35,
Basic EPS,6.38,9.34,6.35,6.72,
Diluted NI Availto Com Stockholders,9746000000.0,14270100000.0,9626700000.0,9125400000.0,
Net Income Common Stockholders,9746000000.0,14270100000.0,9626700000.0,9125400000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,9746000000.0,14270100000.0,9626700000.0,9125400000.0,
Minority Interests,16200000.0,-6000000.0,-3000000.0,-5300000.0,
Net Income Including Noncontrolling Interests,9729800000.0,14276100000.0,9629700000.0,9130700000.0,
Net Income Discontinuous Operations,0.0,5564900000.0,1666400000.0,2834600000.0,
Net Income Continuous Operations,9729800000.0,8711200000.0,7963300000.0,6296100000.0,
Tax Provision,3749900000.0,2872600000.0,2058100000.0,1222600000.0,
Pretax Income,13479700000.0,11583800000.0,10021400000.0,7518700000.0,
Other Non Operating Income Expenses,465100000.0,108300000.0,345200000.0,167300000.0,
Special Income Charges,-5400000.0,270200000.0,541700000.0,2477700000.0,
Other Special Charges,5400000.0,-294700000.0,-541700000.0,-2477700000.0,
Write Off,,,,0.0,1761100000.0
Impairment Of Capital Assets,,,,0.0,180000000.0
Restructuring And Mergern Acquisition,0.0,24500000.0,,-1569000000.0,946700000.0
Net Non Operating Interest Income Expense,507100000.0,465700000.0,7500000.0,-613800000.0,
Total Other Finance Cost,139500000.0,141700000.0,119700000.0,133900000.0,
Interest Expense Non Operating,70900000.0,25400000.0,162000000.0,681500000.0,
Interest Income Non Operating,717500000.0,632800000.0,289200000.0,201600000.0,
Operating Income,12073800000.0,10473500000.0,9107900000.0,5480700000.0,
Operating Expense,16419600000.0,13208800000.0,11001200000.0,9336000000.0,
Other Operating Expenses,6297800000.0,5078800000.0,3954300000.0,3126000000.0,
Depreciation And Amortization In Income Statement,1118400000.0,948900000.0,945000000.0,985800000.0,
Amortization,284800000.0,237100000.0,207200000.0,273800000.0,
Depreciation Income Statement,833600000.0,711800000.0,737800000.0,712000000.0,
Selling General And Administration,3635300000.0,2825500000.0,2543000000.0,2287800000.0,
Selling And Marketing Expense,2297400000.0,2108700000.0,1891100000.0,1631000000.0,
General And Administrative Expense,1337900000.0,716800000.0,651900000.0,656800000.0,
Rent And Landing Fees,173700000.0,172800000.0,117800000.0,73800000.0,
Gross Profit,28493400000.0,23682300000.0,20109100000.0,14816700000.0,
Cost Of Revenue,69653800000.0,55875200000.0,48836900000.0,39219900000.0,
Total Revenue,98147200000.0,79557500000.0,68946000000.0,54036600000.0,
Operating Revenue,98147200000.0,79557500000.0,68946000000.0,54036600000.0,
