,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,22308000.0,-15627000.0,132989594.0,1668000.0,
Tax Rate For Calcs,0.3,0.3,0.3229,0.3,
Normalized EBITDA,7647100000.0,6095360000.0,5027950000.0,1134160000.0,
Total Unusual Items,74360000.0,-52090000.0,411860000.0,5560000.0,
Total Unusual Items Excluding Goodwill,74360000.0,-52090000.0,411860000.0,5560000.0,
Net Income From Continuing Operation Net Minority Interest,1425650000.0,2781650000.0,1833320000.0,-749920000.0,
Reconciled Depreciation,1787960000.0,1383700000.0,1173090000.0,1184230000.0,
Reconciled Cost Of Revenue,5521910000.0,4700620000.0,3961490000.0,2427560000.0,
EBITDA,7721460000.0,6043270000.0,5439810000.0,1139720000.0,
EBIT,5933500000.0,4659570000.0,4266720000.0,-44510000.0,
Net Interest Income,-1432630000.0,-1855600000.0,-1193220000.0,-1341660000.0,
Interest Expense,1590390000.0,1966040000.0,1538430000.0,1424340000.0,
Interest Income,158190000.0,110950000.0,347060000.0,83980000.0,
Normalized Income,1373598000.0,2818113000.0,1554449594.0,-753812000.0,
Net Income From Continuing And Discontinued Operation,1425650000.0,2781650000.0,1833320000.0,-815290000.0,
Total Expenses,11525480000.0,9624890000.0,7845510000.0,5246320000.0,
Rent Expense Supplemental,26630000.0,31300000.0,29370000.0,24200000.0,
Diluted Average Shares,218505316.0,205542997.0,205119035.0,205023864.0,
Basic Average Shares,218194561.0,205252002.0,205024434.0,205023864.0,
Diluted EPS,6.52,13.53,8.94,-3.98,
Basic EPS,6.53,13.54,8.94,-3.98,
Diluted NI Availto Com Stockholders,1425650000.0,2781650000.0,1833320000.0,-815290000.0,
Net Income Common Stockholders,1425650000.0,2781650000.0,1833320000.0,-815290000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1425650000.0,2781650000.0,1833320000.0,-815290000.0,
Minority Interests,710000.0,-160000.0,420000.0,-600000.0,
Net Income Including Noncontrolling Interests,1424940000.0,2781810000.0,1832900000.0,-814690000.0,
Net Income Discontinuous Operations,,,0.0,-65370000.0,-36760000.0
Net Income Continuous Operations,1424940000.0,2781810000.0,1832900000.0,-749320000.0,
Tax Provision,2918170000.0,-88280000.0,895390000.0,-719530000.0,
Pretax Income,4343110000.0,2693530000.0,2728290000.0,-1468850000.0,
Other Non Operating Income Expenses,68570000.0,67930000.0,100810000.0,70140000.0,
Special Income Charges,-15700000.0,-60430000.0,407550000.0,3440000.0,
Other Special Charges,-840000.0,1130000.0,-613240000.0,-3660000.0,
Write Off,0.0,1940000.0,184380000.0,220000.0,
Impairment Of Capital Assets,16540000.0,43860000.0,,,0.0
Restructuring And Mergern Acquisition,0.0,13500000.0,21310000.0,0.0,
Net Non Operating Interest Income Expense,-1432630000.0,-1855600000.0,-1193220000.0,-1341660000.0,
Total Other Finance Cost,430000.0,510000.0,1850000.0,1300000.0,
Interest Expense Non Operating,1590390000.0,1966040000.0,1538430000.0,1424340000.0,
Interest Income Non Operating,158190000.0,110950000.0,347060000.0,83980000.0,
Operating Income,5652770000.0,4547630000.0,3439160000.0,-168250000.0,
Operating Expense,6003570000.0,4924270000.0,3884020000.0,2818760000.0,
Other Operating Expenses,2853360000.0,2464070000.0,1914090000.0,1359500000.0,
Depreciation And Amortization In Income Statement,1787960000.0,1383700000.0,1173090000.0,1184230000.0,
Depreciation Income Statement,1787960000.0,1383700000.0,1173090000.0,1184230000.0,
Selling General And Administration,1186120000.0,855840000.0,652910000.0,305730000.0,
Selling And Marketing Expense,681250000.0,492170000.0,359050000.0,115600000.0,
General And Administrative Expense,504870000.0,363670000.0,293860000.0,190130000.0,
Rent And Landing Fees,26630000.0,31300000.0,29370000.0,24200000.0,
Gross Profit,11656340000.0,9471900000.0,7323180000.0,2650510000.0,
Cost Of Revenue,5521910000.0,4700620000.0,3961490000.0,2427560000.0,
Total Revenue,17178250000.0,14172520000.0,11284670000.0,5078070000.0,
Operating Revenue,17178250000.0,14172520000.0,11284670000.0,5078070000.0,
