,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,497703920.0,681453210.0,190096380.0,103912600.0,
Tax Rate For Calcs,0.3272,0.3239,0.2701,0.298,
Normalized EBITDA,26627400000.0,21502100000.0,19447800000.0,25994200000.0,
Total Unusual Items,1521100000.0,2103900000.0,703800000.0,348700000.0,
Total Unusual Items Excluding Goodwill,1521100000.0,2103900000.0,703800000.0,348700000.0,
Net Income From Continuing Operation Net Minority Interest,16495100000.0,12758000000.0,10342200000.0,15659800000.0,
Reconciled Depreciation,3301500000.0,3127900000.0,3082900000.0,2997400000.0,
Reconciled Cost Of Revenue,93161000000.0,109022600000.0,198825100000.0,97644000000.0,
EBITDA,28148500000.0,23606000000.0,20151600000.0,26342900000.0,
EBIT,24847000000.0,20478100000.0,17068700000.0,23345500000.0,
Net Interest Income,-266900000.0,-1467400000.0,-2809500000.0,-1116600000.0,
Interest Expense,329900000.0,1608300000.0,2905400000.0,1036500000.0,
Interest Income,210300000.0,262900000.0,272200000.0,93000000.0,
Normalized Income,15471703920.0,11335553210.0,9828496380.0,15415012600.0,
Net Income From Continuing And Discontinued Operation,16495100000.0,12758000000.0,10342200000.0,15659800000.0,
Total Expenses,144546800000.0,161946500000.0,261798900000.0,140841000000.0,
Rent Expense Supplemental,69200000.0,87700000.0,78900000.0,68600000.0,
Diluted Average Shares,400652297.0,413657761.0,416207852.0,416207852.0,
Basic Average Shares,400652297.0,413657761.0,416207852.0,416207852.0,
Diluted EPS,41.17,30.84,24.85,37.62,
Basic EPS,41.17,30.84,24.85,37.62,
Diluted NI Availto Com Stockholders,16495100000.0,12758000000.0,10342200000.0,15659800000.0,
Net Income Common Stockholders,16495100000.0,12758000000.0,10342200000.0,15659800000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,16495100000.0,12758000000.0,10342200000.0,15659800000.0,
Minority Interests,1200000.0,500000.0,4300000.0,-9800000.0,
Net Income Including Noncontrolling Interests,16493900000.0,12757500000.0,10337900000.0,15660600000.0,
Net Income Discontinuous Operations,,,,,0.0
Net Income Continuous Operations,16493900000.0,12757500000.0,10337900000.0,15660600000.0,
Tax Provision,8023200000.0,6112300000.0,3825400000.0,6648400000.0,
Pretax Income,24517100000.0,18869800000.0,14163300000.0,22309000000.0,
Other Non Operating Income Expenses,38600000.0,40500000.0,34000000.0,156500000.0,
Special Income Charges,138600000.0,414400000.0,336100000.0,150800000.0,
Other Special Charges,-247500000.0,-509400000.0,-426300000.0,-236400000.0,
Write Off,108900000.0,95000000.0,90200000.0,85600000.0,
Impairment Of Capital Assets,,,,,0.0
Net Non Operating Interest Income Expense,-266900000.0,-1467400000.0,-2809500000.0,-1116600000.0,
Total Other Finance Cost,147300000.0,122000000.0,176300000.0,173100000.0,
Interest Expense Non Operating,329900000.0,1608300000.0,2905400000.0,1036500000.0,
Interest Income Non Operating,210300000.0,262900000.0,272200000.0,93000000.0,
Operating Income,21914400000.0,17529800000.0,15915600000.0,19834000000.0,
Operating Expense,49617000000.0,51231400000.0,62973800000.0,43197000000.0,
Other Operating Expenses,43362900000.0,45380600000.0,57368600000.0,37892800000.0,
Depreciation And Amortization In Income Statement,3301500000.0,3127900000.0,3082900000.0,2997400000.0,
Depreciation Income Statement,3301500000.0,3127900000.0,3082900000.0,2997400000.0,
Research And Development,34000000.0,33300000.0,34400000.0,33600000.0,
Selling General And Administration,535800000.0,612900000.0,549700000.0,453000000.0,
Selling And Marketing Expense,137900000.0,167300000.0,90900000.0,34200000.0,
General And Administrative Expense,397900000.0,445600000.0,458800000.0,418800000.0,
Rent And Landing Fees,69200000.0,87700000.0,78900000.0,68600000.0,
Gross Profit,71531400000.0,68761200000.0,78889400000.0,63031000000.0,
Cost Of Revenue,94929800000.0,110715100000.0,198825100000.0,97644000000.0,
Total Revenue,166461200000.0,179476300000.0,277714500000.0,160675000000.0,
Operating Revenue,166461200000.0,179476300000.0,277714500000.0,160675000000.0,
