,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-24732578.621411,-6394862.048521,5567100.0,-31330830.0
Tax Rate For Calcs,0.139025,0.256822,0.2651,0.2671
Normalized EBITDA,11173600000.0,45250300000.0,57075300000.0,27605900000.0
Total Unusual Items,-177900000.0,-24900000.0,21000000.0,-117300000.0
Total Unusual Items Excluding Goodwill,-177900000.0,-24900000.0,21000000.0,-117300000.0
Net Income From Continuing Operation Net Minority Interest,2140900000.0,27450700000.0,35315300000.0,13520300000.0
Reconciled Depreciation,6063900000.0,6056300000.0,5734600000.0,5038900000.0
Reconciled Cost Of Revenue,572645400000.0,608823400000.0,693294700000.0,395300000000.0
EBITDA,10995700000.0,45225400000.0,57096300000.0,27488600000.0
EBIT,4931800000.0,39169100000.0,51361700000.0,22449700000.0
Net Interest Income,-2193700000.0,-2136800000.0,-3235000000.0,-3953400000.0
Interest Expense,2445200000.0,2232200000.0,3297500000.0,4037200000.0
Interest Income,252400000.0,104300000.0,71900000.0,103000000.0
Normalized Income,2294067421.378589,27469205137.95148,35299867100.0,13606269170.0
Net Income From Continuing And Discontinued Operation,2140900000.0,27450700000.0,35315300000.0,13520300000.0
Total Expenses,587789000000.0,623749900000.0,709819800000.0,409641700000.0
Rent Expense Supplemental,98600000.0,59500000.0,45700000.0,116000000.0
Diluted Average Shares,148911400.0,148911400.0,148911400.0,148911400.0
Basic Average Shares,148911400.0,148911400.0,148911400.0,148911400.0
Diluted EPS,14.38,184.34,237.16,90.79
Basic EPS,14.38,184.34,237.16,90.79
Diluted NI Availto Com Stockholders,2140900000.0,27450700000.0,35315300000.0,13520300000.0
Net Income Common Stockholders,2140900000.0,27450700000.0,35315300000.0,13520300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2140900000.0,27450700000.0,35315300000.0,13520300000.0
Net Income Including Noncontrolling Interests,2140900000.0,27450700000.0,35315300000.0,13520300000.0
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0
Net Income Continuous Operations,2140900000.0,27450700000.0,35315300000.0,13520300000.0
Tax Provision,345700000.0,9486200000.0,12748900000.0,4892200000.0
Pretax Income,2486600000.0,36936900000.0,48064200000.0,18412500000.0
Other Non Operating Income Expenses,252400000.0,400000.0,71900000.0,100000.0
Special Income Charges,-177900000.0,-24900000.0,21000000.0,-117300000.0
Other Special Charges,174700000.0,24900000.0,-21000000.0,121000000.0
Impairment Of Capital Assets,3200000.0,0.0,0.0,-3700000.0
Net Non Operating Interest Income Expense,-2193700000.0,-2136800000.0,-3235000000.0,-3953400000.0
Total Other Finance Cost,900000.0,8900000.0,9400000.0,19200000.0
Interest Expense Non Operating,2445200000.0,2232200000.0,3297500000.0,4037200000.0
Interest Income Non Operating,252400000.0,104300000.0,71900000.0,103000000.0
Operating Income,4901100000.0,39454300000.0,56455900000.0,23389400000.0
Operating Expense,15143600000.0,14926500000.0,16525100000.0,14341700000.0
Other Operating Expenses,8250200000.0,6934800000.0,9798300000.0,8010800000.0
Selling General And Administration,2973200000.0,3092300000.0,2072300000.0,1459300000.0
Selling And Marketing Expense,929700000.0,1173200000.0,777400000.0,273700000.0
General And Administrative Expense,2043500000.0,1919100000.0,1294900000.0,1185600000.0
Rent And Landing Fees,98600000.0,59500000.0,45700000.0,116000000.0
Gross Profit,20044700000.0,54380800000.0,72981000000.0,37731100000.0
Cost Of Revenue,572645400000.0,608823400000.0,693294700000.0,395300000000.0
Total Revenue,592690100000.0,663204200000.0,766275700000.0,433031100000.0
Operating Revenue,592690100000.0,663204200000.0,766275700000.0,433031100000.0
