,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,-2246690.840425,-15291624.0,26461658.3,
Tax Rate For Calcs,0.264727,0.27621,0.267,0.3239,
Normalized EBITDA,2908029000.0,2248690000.0,1124858000.0,830359000.0,
Total Unusual Items,16770000.0,-8134000.0,-57272000.0,81697000.0,
Total Unusual Items Excluding Goodwill,16770000.0,-8134000.0,-57272000.0,81697000.0,
Net Income From Continuing Operation Net Minority Interest,1627136000.0,1308588000.0,600679000.0,535762000.0,
Reconciled Depreciation,84968000.0,65994000.0,47981000.0,33763000.0,
Reconciled Cost Of Revenue,4789199000.0,3164889000.0,1873281000.0,1206094000.0,
EBITDA,2958810000.0,2240556000.0,1067586000.0,912056000.0,
EBIT,2873842000.0,2211705000.0,1019605000.0,878293000.0,
Net Interest Income,-605464000.0,-403739000.0,-183683000.0,-140047000.0,
Interest Expense,626862000.0,403739000.0,200089000.0,141935000.0,
Interest Income,,47378000.0,37246000.0,14176000.0,67880000.0
Normalized Income,1627136000.0,1314475309.159575,642659376.0,480526658.3,
Net Income From Continuing And Discontinued Operation,1627136000.0,1308588000.0,600679000.0,535762000.0,
Total Expenses,6301473000.0,5363133000.0,2848099000.0,1970776000.0,
Rent Expense Supplemental,,83902000.0,49562000.0,22812000.0,17154000.0
Diluted Average Shares,203618000.0,200703681.0,199440000.0,709624000.0,
Basic Average Shares,199403922.0,199176256.0,199024000.0,709624000.0,
Diluted EPS,7.99,6.52,3.01,0.755,
Basic EPS,8.16,6.57,3.02,0.755,
Diluted NI Availto Com Stockholders,1627136000.0,1308588000.0,600679000.0,535762000.0,
Average Dilution Earnings,,0.0,0.0,,
Net Income Common Stockholders,1627136000.0,1308588000.0,600679000.0,535762000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1627136000.0,1308588000.0,600679000.0,535762000.0,
Minority Interests,,,3098000.0,-283000.0,0.0
Net Income Including Noncontrolling Interests,1627136000.0,1308588000.0,600679000.0,536045000.0,
Net Income Continuous Operations,1627136000.0,1308588000.0,600679000.0,536045000.0,
Tax Provision,585833000.0,499378000.0,218837000.0,200313000.0,
Pretax Income,2212969000.0,1807966000.0,819516000.0,736358000.0,
Other Non Operating Income Expenses,112861000.0,34089000.0,18065000.0,7256000.0,
Special Income Charges,-33977000.0,-7584000.0,-1849000.0,-4163000.0,
Other Special Charges,32131000.0,,-33000.0,,411000.0
Write Off,,5097000.0,1882000.0,4163000.0,18577000.0
Net Non Operating Interest Income Expense,-660873000.0,-403739000.0,-183683000.0,-140047000.0,
Total Other Finance Cost,,40485000.0,20840000.0,12288000.0,13561000.0
Interest Expense Non Operating,626862000.0,366596000.0,200089000.0,141935000.0,
Interest Income Non Operating,,47378000.0,37246000.0,14176000.0,67880000.0
Operating Income,2760981000.0,2141684000.0,1044708000.0,787451000.0,
Operating Expense,1512274000.0,2198244000.0,974818000.0,764682000.0,
Other Operating Expenses,,1116053000.0,235974000.0,121647000.0,68576000.0
Depreciation And Amortization In Income Statement,84968000.0,65994000.0,47981000.0,33763000.0,
Amortization,,11949000.0,18082000.0,12623000.0,8540000.0
Depreciation Income Statement,84968000.0,54045000.0,29899000.0,33763000.0,
Selling General And Administration,3518145000.0,727126000.0,560819000.0,568481000.0,
Selling And Marketing Expense,257589000.0,428320000.0,444453000.0,46110000.0,
General And Administrative Expense,3518145000.0,298806000.0,116366000.0,522371000.0,
Rent And Landing Fees,,83902000.0,49562000.0,22812000.0,17154000.0
Gross Profit,4308268000.0,4339928000.0,2019526000.0,1552133000.0,
Cost Of Revenue,2739727000.0,3164889000.0,1873281000.0,1206094000.0,
Total Revenue,9097467000.0,7504817000.0,3892807000.0,2758227000.0,
Operating Revenue,9103821000.0,7504817000.0,3892807000.0,2758227000.0,
