,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,628799679.977998,654987841.910216,571732924.641774,219291802.03446
Tax Rate For Calcs,0.260265,0.261807,0.263071,0.263287
Normalized EBITDA,64985700000.0,52240300000.0,38002700000.0,31351600000.0
Total Unusual Items,2416000000.0,2501800000.0,2173300000.0,832900000.0
Total Unusual Items Excluding Goodwill,2416000000.0,2501800000.0,2173300000.0,832900000.0
Net Income From Continuing Operation Net Minority Interest,21736600000.0,17725200000.0,12902300000.0,10230700000.0
Reconciled Depreciation,2957300000.0,2475400000.0,1760600000.0,1541600000.0
Reconciled Cost Of Revenue,239936700000.0,191216000000.0,122215700000.0,95027900000.0
EBITDA,67401700000.0,54742100000.0,40176000000.0,32184500000.0
EBIT,64444400000.0,52266700000.0,38415400000.0,30642900000.0
Net Interest Income,2968700000.0,1720400000.0,978100000.0,1535900000.0
Interest Expense,448800000.0,268400000.0,171400000.0,207300000.0
Interest Income,4090400000.0,2555700000.0,1580000000.0,2117500000.0
Normalized Income,19949399679.977997,15878387841.910215,11300732924.641773,9617091802.03446
Net Income From Continuing And Discontinued Operation,21736600000.0,17725200000.0,12902300000.0,10230700000.0
Total Expenses,291450900000.0,225007500000.0,158732000000.0,128392000000.0
Rent Expense Supplemental,385600000.0,330900000.0,276600000.0,162000000.0
Diluted Average Shares,187777462.0,187753270.0,187753270.0,187745629.0
Basic Average Shares,187777462.0,187753270.0,187753270.0,187732278.0
Diluted EPS,115.76,94.39,68.72,54.49
Basic EPS,115.76,94.39,68.72,54.5
Diluted NI Availto Com Stockholders,21736600000.0,17725200000.0,12902300000.0,10230700000.0
Net Income Common Stockholders,21736600000.0,17725200000.0,12902300000.0,10230700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,21736600000.0,17725200000.0,12902300000.0,10230700000.0
Minority Interests,-25662200000.0,-20780400000.0,-15193900000.0,-12162900000.0
Net Income Including Noncontrolling Interests,47398800000.0,38505600000.0,28096200000.0,22393600000.0
Net Income Continuous Operations,47398800000.0,38505600000.0,28096200000.0,22393600000.0
Tax Provision,16655800000.0,13613500000.0,10060900000.0,8013300000.0
Pretax Income,63995600000.0,51998300000.0,38244000000.0,30435600000.0
Other Non Operating Income Expenses,101600000.0,27700000.0,11200000.0,80800000.0
Special Income Charges,2416000000.0,2501800000.0,2173300000.0,832900000.0
Other Special Charges,20100000.0,8600000.0,6000000.0,-1200000.0
Write Off,-2436100000.0,-2510400000.0,-2179300000.0,-831700000.0
Net Non Operating Interest Income Expense,2968700000.0,1720400000.0,978100000.0,1535900000.0
Total Other Finance Cost,672900000.0,566900000.0,430500000.0,374300000.0
Interest Expense Non Operating,448800000.0,268400000.0,171400000.0,207300000.0
Interest Income Non Operating,4090400000.0,2555700000.0,1580000000.0,2117500000.0
Operating Income,58509300000.0,47748400000.0,35081400000.0,27986000000.0
Operating Expense,51514200000.0,33791500000.0,36516300000.0,33364100000.0
Other Operating Expenses,41339900000.0,27527300000.0,21459600000.0,19694300000.0
Depreciation And Amortization In Income Statement,2957300000.0,2475400000.0,1760600000.0,1541600000.0
Depreciation Income Statement,2957300000.0,2475400000.0,1760600000.0,1541600000.0
Selling General And Administration,4117100000.0,3798600000.0,11664000000.0,11809700000.0
Selling And Marketing Expense,881700000.0,841200000.0,9169100000.0,9822100000.0
General And Administrative Expense,3235400000.0,2957400000.0,2494900000.0,1987600000.0
Rent And Landing Fees,385600000.0,330900000.0,276600000.0,162000000.0
Gross Profit,110023500000.0,81539900000.0,71597700000.0,61350100000.0
Cost Of Revenue,239936700000.0,191216000000.0,122215700000.0,95027900000.0
Total Revenue,349960200000.0,272755900000.0,193813400000.0,156378000000.0
Operating Revenue,349960200000.0,272755900000.0,193813400000.0,156378000000.0
